year,country_index,population,gdp,temperature_change_from_co2,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1,co2_including_luc
1958,Egypt,0.017847858187665676,0.003537826631607691,0.0,0.00153801317628439,8.969754395893157e-05,0.0,0.0,0.09935762501101207,0.004259510920690473,0.02763595725895687
1959,Egypt,0.01833657544822168,0.003715698999817689,0.0,0.0015933220871881164,0.0001359733223195622,0.0,0.0,0.09944125595819751,0.004858789330863867,0.027530656934597348
1960,Egypt,0.018858593703451627,0.00389994189193504,0.0,0.001878375704922706,4.26063333804925e-05,0.0,0.0,0.09951514349406036,0.004600541132957025,0.02801227645093025
1961,Egypt,0.019399289196271596,0.004170545389111964,0.0,0.0021485384620293694,8.439723454317653e-05,0.0,0.0,0.0996377480865361,0.005786027108931229,0.027873646515707878
1962,Egypt,0.01995801161137227,0.004461448182807234,0.0,0.0021655565884612852,0.00015921314052710355,0.0,0.0,0.09879413105618984,0.006047047910189832,0.027961950066400287
1963,Egypt,0.02053474124222912,0.0047716187757618714,0.0,0.0023506287134083693,0.00014412764449764687,0.0,0.0,0.09845311165989973,0.006638008510307945,0.028349821752975533
1964,Egypt,0.02112647511768187,0.005105438262737269,0.0,0.0026356823311429593,0.00014412764449764687,0.0,0.0,0.09843890251838763,0.0077553676610674594,0.029336962498610716
1965,Egypt,0.021726629742652725,0.0054560326320919166,0.0,0.002652700457574875,0.0002472798200504182,0.0,8.426543100065626e-05,0.09984723142997146,0.00908344466656078,0.029669196308885027
1966,Egypt,0.022328939958229294,0.005488991500797919,0.0,0.0025442099015714112,0.00020915836386787228,0.0,8.086076712184186e-05,0.10000353198660443,0.010018208082297204,0.029285573815726558
1967,Egypt,0.02293171706684845,0.005417619247013759,0.0,0.002567609825415296,0.00013740032870072702,0.0,9.022359278858144e-05,0.09926790443175003,0.009721935609851932,0.0281794556544216
1968,Egypt,0.023535203610350504,0.0055089965358282745,0.0,0.002890954227621696,0.00022628244044185013,0.0,9.022359278858144e-05,0.09868005194862135,0.0067627756611371714,0.028599461866211227
1969,Egypt,0.024134985327241888,0.00589679243918688,0.0,0.0033078983252036328,0.00023525219483774327,0.0,9.022359278858144e-05,0.09865569342031492,0.007944300775180288,0.028071897946059413
1970,Egypt,0.024730752976676217,0.006284686825220903,0.0,0.003797169460121212,0.0002570650066641198,0.018474429739974728,0.00011575857187968941,0.09834512218440786,0.005978921084975144,0.028276523166536116
1971,Egypt,0.02531738589405004,0.0065542619892408685,0.0,0.0038716237632608437,0.00025013383281274784,0.024659174037374477,0.00014044238500109376,0.09816324517305312,0.006570277771286366,0.02839656288056009
1972,Egypt,0.02590464032488965,0.006684090632357799,0.0,0.004120513862327612,0.00018673397787813937,0.019977389106869723,0.00013703772112227936,0.09797852633339597,0.0073264063139307865,0.028675017836653306
1973,Egypt,0.026503421556689773,0.006871932295011749,0.0,0.004020532369540106,0.00019121885507608594,0.016080335173239344,0.00011575857187968941,0.0978303452861985,0.008437824171793673,0.028388994004786453
1974,Egypt,0.027117049380889595,0.007144420805967927,0.0,0.0038035512575331806,0.00018306453289800126,0.019684777548713173,0.00014384704887990816,0.09765171607861796,0.007694766473521836,0.028644476758970215
1975,Egypt,0.027757669080142412,0.007885946308271644,0.0,0.003433407007639012,0.00031455297801961685,0.03435525703265279,6.894444354599149e-05,0.09748770198802129,0.008027874961926215,0.029135524173196595
1976,Egypt,0.02841971128744021,0.009132475940625757,0.0,0.00376526047306137,0.0007259385319039895,0.033530624459666154,7.490260533391667e-05,0.09697089521245304,0.009157512784672098,0.029445582505327098
1977,Egypt,0.029123310007301347,0.01035372360680331,0.0,0.0035270067030145485,0.0004654079383141836,0.03865132672740573,0.0006204999919139233,0.09654218511425976,0.010644816439795096,0.02977914418854415
1978,Egypt,0.029880710570888237,0.011161548911838116,0.0,0.0034121343495991173,0.0005175956002539257,0.026654252842987298,0.0017840438724987427,0.09619629401230835,0.011713060902609138,0.0298843117256094
1979,Egypt,0.030680959182338097,0.012058464255438711,0.0,0.003135589795080485,0.00040567752835971325,0.02114783533949591,0.002619888854747676,0.09593078605376819,0.012329767105279315,0.0304383003173218
1980,Egypt,0.0315268966129555,0.013381240836253718,0.006622516556291391,0.003084535415784738,0.000370410084939497,0.013114318015561614,0.004706096646491196,0.09615163671041323,0.01311362168144134,0.030869062299947646
1981,Egypt,0.03239930445366924,0.013925578709557749,0.006622516556291391,0.003154735187316391,0.000370410084939497,0.0012635499102214539,0.002619888854747676,0.09654015523690089,0.015329723931884266,0.03160974982740972
1982,Egypt,0.03330055961451431,0.015432480715202559,0.006622516556291391,0.0036376245248220013,0.0005901690676388794,0.0005320210148300858,0.003115267449115171,0.09647966489160657,0.016872479654042476,0.03235256195158018
1983,Egypt,0.034259372985836874,0.016633757360446488,0.006622516556291391,0.004416203809082149,0.0006566267933902696,0.000638425217796103,0.003474459488330089,0.09650645927274365,0.01861803150707232,0.03253182479885049
1984,Egypt,0.03526195909578856,0.01766549034502627,0.006622516556291391,0.005692563291475834,0.0004601076288984286,0.0,0.0035740459067854103,0.09683123965016281,0.018951932167862912,0.033534103296032944
1985,Egypt,0.03629230715113621,0.018841623453557076,0.006622516556291391,0.0067157781431947715,0.0004601076288984286,0.0,0.004553737937914252,0.09716616941437631,0.020969199149365292,0.03371336614330325
1986,Egypt,0.03734469013267562,0.019338091627379216,0.006622516556291391,0.0059286897957186654,0.0004637770738785667,0.0,0.005856873037530462,0.09767242082767842,0.020542614319387267,0.0349802897179744
1987,Egypt,0.03841869571927826,0.019833253027066514,0.006622516556291391,0.007830465424485256,0.0005632598044511999,0.0,0.006845076728356339,0.09724817645967465,0.02372793948436707,0.03508080969974005
1988,Egypt,0.0395231190844282,0.020672217842145013,0.006622516556291391,0.008979188958639573,0.0005960809512179908,0.0,0.008498041041520727,0.09746618528801726,0.02276861872465791,0.0349694011598439
1989,Egypt,0.04063532501087895,0.0213047392387857,0.006622516556291391,0.010030058265810372,0.0005265653546498188,0.0,0.009807985468894566,0.09724858243514642,0.021978030683213034,0.03486250738795309
1990,Egypt,0.04173342106576993,0.02181796924306625,0.006622516556291391,0.012763594823936847,0.0005773260102083959,0.0,0.010477853087051299,0.09789854916545651,0.020106127334581534,0.035177611637266015
1991,Egypt,0.042791813021402905,0.023106420063102005,0.006622516556291391,0.014395207695596775,0.0006849630629591139,0.0,0.011077925095692335,0.09751652624651723,0.020626188506133198,0.03647520907691452
1992,Egypt,0.043836346742635424,0.02434893603204196,0.006622516556291391,0.016709672890337323,0.0005498051728573602,0.0,0.012685777612462432,0.10064010152634598,0.02053271216455955,0.03706266006678405
1993,Egypt,0.0448922041360372,0.025874003147391682,0.006622516556291391,0.017230853012314744,0.0005279923610309836,0.0,0.0137190930996826,0.1013627378661036,0.021044851612249043,0.03812535678286131
1994,Egypt,0.045948504168297544,0.027441269891400923,0.006622516556291391,0.01615871104710405,0.0006961752559539803,0.0,0.015755933265183313,0.09960283419596354,0.024857181220919844,0.03743287104322081
1995,Egypt,0.04700285173874342,0.029349641071777108,0.006622516556291391,0.01619912909737985,0.0007528477950916689,0.05076810534016094,0.01715780361728514,0.09907100632793966,0.02102781990594537,0.038458387316901266
1996,Egypt,0.048062674691234195,0.03154056972676709,0.006622516556291391,0.017709487818212372,0.0004996560914621393,0.05458535612156681,0.0221396780379603,0.097894083435267,0.023014192164385276,0.0384318298580464
1997,Egypt,0.04914542391117985,0.034035157252751656,0.006622516556291391,0.018677393759027584,0.0006992331267707621,0.058282902174635894,0.023583255522577604,0.0982367267334442,0.021250816432665545,0.04013947446241396
1998,Egypt,0.05024616670390316,0.03655038738032389,0.006622516556291391,0.019602754383763007,0.0005811993132429863,0.055755802354192995,0.02133277269868129,0.0978737846616783,0.027878130615759555,0.042501494852965296
1999,Egypt,0.05135418878360864,0.03938775157059371,0.006622516556291391,0.02081955042364499,0.0005691716880303113,0.047349870319877634,0.022379706841416717,0.09968727709409252,0.03271434303361623,0.04227522530352188
2000,Egypt,0.05246342357251564,0.04270119604331072,0.006622516556291391,0.02302765232818606,0.0005108682844570057,0.04954445700605174,0.026918123791876303,0.09769840325787196,0.0315046957998624,0.044368616997756294
2001,Egypt,0.05358736852403718,0.04573597488690026,0.006622516556291391,0.02375730449895445,0.0006409297231974566,0.046365631442441976,0.03465777595439113,0.09775929957863805,0.03379407399603042,0.042359943597268884
2002,Egypt,0.05475422519065475,0.04826908219089345,0.006622516556291391,0.024997500462680313,0.0005602019336344182,0.044729666821839466,0.036907407612317734,0.09818638577494423,0.02631359015298037,0.0423676452603368
2003,Egypt,0.05594386866316903,0.05086059248999781,0.013245033112582781,0.027063075558354095,0.0006028082670149106,0.044862672075546985,0.04508626141519961,0.09760178109558976,0.022629592470876772,0.04521035565616112
2004,Egypt,0.057125574953959306,0.054032367458808274,0.013245033112582781,0.0253038267384548,0.000624417220786835,0.04597991620669016,0.04954807342838588,0.09786322929941219,0.029030345351512634,0.04557857482318376
2005,Egypt,0.05830257593304766,0.057769222571724115,0.013245033112582781,0.026992875786822444,0.000650511051756706,0.045647403072421364,0.049048439004169865,0.09791032245413796,0.02995916747435243,0.047581007220840285
2006,Egypt,0.059480686541055414,0.0626075332393125,0.013245033112582781,0.030090174797431115,0.0006252326530046436,0.04220256700139655,0.05840871117300034,0.09768257021447277,0.03137398735613654,0.04898417055943686
2007,Egypt,0.06068513112937433,0.06869650585649494,0.013245033112582781,0.03311940130231213,0.0005968963834357993,0.042229168052138055,0.06284413704112579,0.09751612027104546,0.0331480574150702,0.050164384030946876
1929,France,0.029053516318923694,0.029694904720251186,0.019867549668874173,0.004460876390965928,0.042637319804769216,0.0,0.0,0.0775092430465536,0.00014655189145020226,0.050059614855764455
1930,France,0.029154338688108922,0.028829313986662535,0.026490066225165563,0.006083980199409897,0.04707714437268189,0.0,0.0,0.07843973882785948,0.00019447832081634947,0.05013782657209202
1931,France,0.029206624645332774,0.02709182330005454,0.026490066225165563,0.005250092004246023,0.04767240989168207,0.0,0.0,0.07731802859934808,0.0005208533439378809,0.04721637331076304
1932,France,0.029210132406698192,0.02531332901535112,0.026490066225165563,0.005156492308870486,0.043565689384744165,0.0,0.0,0.07656291422184854,0.0005398654812070965,0.043714772360749624
1933,France,0.02916461715653512,0.027135649277153073,0.026490066225165563,0.005288382788717834,0.03801524613617637,0.0,0.0,0.07629821821425192,0.0011130022026353199,0.04463219977689079
1934,France,0.02911916860537813,0.026870991127674375,0.026490066225165563,0.004894838614979781,0.038553023683821054,0.0,0.0,0.07601281745759483,0.00315641087288287,0.0447789297370639
1935,France,0.029073787511170474,0.026180131600013968,0.026490066225165563,0.005126710587614634,0.03836628970594291,0.0,0.0,0.07566449050281279,0.004253569627793843,0.043846497356669734
1936,France,0.029028473115968904,0.027181073125772413,0.026490066225165563,0.004631057655285086,0.03637887753308922,0.0,0.0,0.07524065211028079,0.005839894831194005,0.04409507517155123
1937,France,0.02898322617771667,0.02876102000863245,0.026490066225165563,0.004877820488547865,0.036452878006855344,0.0,0.0,0.07490125661587778,0.006721978783246979,0.04657102706058992
