year_range,country_index,country_t-2,population_t-2,gdp_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,cumulative_co2_including_luc_t-2,co2_including_luc_t-2,country_t-1,population_t-1,gdp_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,cumulative_co2_including_luc_t-1,co2_including_luc_t-1,co2_including_luc_t+1
2000-2000,Iran,Iran,63461424.0,541099753472.0,7.862,4.884,17.247,98.652,-37.292,174.87,8340.97,266.222,Iran,64474748.0,563869057024.0,8.477,4.976,16.516,114.287,12.972,227.718,8725.916,384.946,370.352
2001-2001,Iran,Iran,64474748.0,563869057024.0,8.477,4.976,16.516,114.287,12.972,227.718,8725.916,384.946,Iran,65544380.0,595554533376.0,9.118,5.328,19.291,120.448,6.05,210.118,9096.268,370.352,392.235
2002-2002,Iran,Iran,65544380.0,595554533376.0,9.118,5.328,19.291,120.448,6.05,210.118,9096.268,370.352,Iran,66674856.0,636570238976.0,9.922,4.14,16.988,127.654,6.077,227.454,9488.503,392.235,399.804
2003-2003,Iran,Iran,66674856.0,636570238976.0,9.922,4.14,16.988,127.654,6.077,227.454,9488.503,392.235,Iran,67327120.0,698059653120.0,10.446,4.664,16.556,143.816,6.394,217.927,9888.306,399.804,415.646
2004-2004,Iran,Iran,67327120.0,698059653120.0,10.446,4.664,16.556,143.816,6.394,217.927,9888.306,399.804,Iran,67954704.0,779969691648.0,10.749,5.188,21.881,158.468,8.57,210.79,10303.953,415.646,448.493
2005-2005,Iran,Iran,67954704.0,779969691648.0,10.749,5.188,21.881,158.468,8.57,210.79,10303.953,415.646,Iran,69061680.0,849441914880.0,11.32,4.994,20.699,178.9,10.814,221.765,10752.445,448.493,474.057
2006-2006,Iran,Iran,69061680.0,849441914880.0,11.32,4.994,20.699,178.9,10.814,221.765,10752.445,448.493,Iran,70182592.0,908856000512.0,11.344,6.086,21.924,200.161,12.055,222.489,11226.503,474.057,474.643
2007-2007,Iran,Iran,70182592.0,908856000512.0,11.344,6.086,21.924,200.161,12.055,222.489,11226.503,474.057,Iran,71275768.0,995245162496.0,12.305,5.983,22.879,221.54,-21.427,233.364,11701.146,474.643,485.278
2008-2008,Iran,Iran,71275768.0,995245162496.0,12.305,5.983,22.879,221.54,-21.427,233.364,11701.146,474.643,Iran,72319424.0,1098784571392.0,14.191,6.577,20.097,236.52,-17.287,225.18,12186.424,485.278,501.069
2009-2009,Iran,Iran,72319424.0,1098784571392.0,14.191,6.577,20.097,236.52,-17.287,225.18,12186.424,485.278,Iran,73318400.0,1132365742080.0,15.627,5.859,20.251,246.875,-21.488,233.945,12687.493,501.069,512.786
2010-2010,Iran,Iran,73318400.0,1132365742080.0,15.627,5.859,20.251,246.875,-21.488,233.945,12687.493,501.069,Iran,74322688.0,1208128372736.0,17.753,4.393,20.475,261.065,-23.819,232.918,13200.279,512.786,527.494
2011-2011,Iran,Iran,74322688.0,1208128372736.0,17.753,4.393,20.475,261.065,-23.819,232.918,13200.279,512.786,Iran,75373864.0,1310507008000.0,21.561,5.448,21.191,277.22,-25.459,227.533,13727.773,527.494,539.674
2012-2012,Iran,Iran,75373864.0,1310507008000.0,21.561,5.448,21.191,277.22,-25.459,227.533,13727.773,527.494,Iran,76342968.0,1345049329664.0,23.057,5.313,20.961,293.263,-26.615,223.695,14267.447,539.674,561.408
2013-2013,Iran,Iran,76342968.0,1345049329664.0,23.057,5.313,20.961,293.263,-26.615,223.695,14267.447,539.674,Iran,77324448.0,1324570771456.0,24.068,4.129,20.731,292.274,-26.956,247.162,14828.856,561.408,573.919
2014-2014,Iran,Iran,77324448.0,1324570771456.0,24.068,4.129,20.731,292.274,-26.956,247.162,14828.856,561.408,Iran,78458928.0,1287095582720.0,24.831,4.118,20.74,294.934,-24.033,253.329,15402.775,573.919,607.201
2015-2015,Iran,Iran,78458928.0,1287095582720.0,24.831,4.118,20.74,294.934,-24.033,253.329,15402.775,573.919,Iran,79961672.0,1352736964608.0,23.491,3.591,22.785,335.007,-25.472,247.8,16009.977,607.201,607.996
2016-2016,Iran,Iran,79961672.0,1352736964608.0,23.491,3.591,22.785,335.007,-25.472,247.8,16009.977,607.201,Iran,81790848.0,1331012173824.0,20.9,4.302,22.557,356.769,-23.586,227.053,16617.971,607.996,609.817
2017-2017,Iran,Iran,81790848.0,1331012173824.0,20.9,4.302,22.557,356.769,-23.586,227.053,16617.971,607.996,Iran,83306232.0,1413723717632.0,19.761,3.451,29.786,380.704,-24.01,200.124,17227.789,609.817,661.289
2018-2018,Iran,Iran,83306232.0,1413723717632.0,19.761,3.451,29.786,380.704,-24.01,200.124,17227.789,609.817,Iran,84505080.0,1486668300288.0,18.91,4.708,33.22,399.504,-24.112,229.059,17889.078,661.289,706.721
2019-2019,Iran,Iran,84505080.0,1486668300288.0,18.91,4.708,33.22,399.504,-24.112,229.059,17889.078,661.289,Iran,85617560.0,1483607244800.0,19.091,4.459,32.439,418.29,-3.494,235.936,18595.799,706.721,683.864
2020-2020,Iran,Iran,85617560.0,1483607244800.0,19.091,4.459,32.439,418.29,-3.494,235.936,18595.799,706.721,Iran,86564208.0,1438754537472.0,20.893,3.73,25.963,415.107,-10.803,228.973,19279.662,683.864,666.421
2021-2021,Iran,Iran,86564208.0,1438754537472.0,20.893,3.73,25.963,415.107,-10.803,228.973,19279.662,683.864,Iran,87290192.0,1446203752448.0,23.87,3.723,24.925,419.401,-12.587,207.088,19946.082,666.421,674.846
2022-2022,Iran,Iran,87290192.0,1446203752448.0,23.87,3.723,24.925,419.401,-12.587,207.088,19946.082,666.421,Iran,87923432.0,1525523152896.0,22.525,3.257,32.496,418.911,-13.231,210.887,20620.93,674.846,677.454
1930-1930,Italy,Italy,39475845.0,188592898048.0,1.519,34.738,0.0,0.011,38.437,1.88,3014.5,76.586,Italy,39817412.0,197852938240.0,1.73,40.124,0.0,0.011,38.081,2.162,3096.607,82.108,75.867
1931-1931,Italy,Italy,39817412.0,197852938240.0,1.73,40.124,0.0,0.011,38.081,2.162,3096.607,82.108,Italy,40159184.0,188903129088.0,1.723,35.522,0.0,0.015,36.317,2.29,3172.474,75.867,71.783
1932-1932,Italy,Italy,40159184.0,188903129088.0,1.723,35.522,0.0,0.015,36.317,2.29,3172.474,75.867,Italy,40501139.0,186657013760.0,1.519,30.43,0.0,0.022,37.61,2.202,3244.257,71.783,63.894
1933-1933,Italy,Italy,40501139.0,186657013760.0,1.519,30.43,0.0,0.022,37.61,2.202,3244.257,71.783,Italy,40843255.0,190665457664.0,1.545,24.347,0.0,0.022,35.829,2.151,3308.151,63.894,65.244
1934-1934,Italy,Italy,40843255.0,190665457664.0,1.545,24.347,0.0,0.022,35.829,2.151,3308.151,63.894,Italy,41185511.0,188473049088.0,1.756,26.644,0.0,0.022,34.77,2.052,3373.395,65.244,72.038
1935-1935,Italy,Italy,41185511.0,188473049088.0,1.756,26.644,0.0,0.022,34.77,2.052,3373.395,65.244,Italy,41530635.0,187987345408.0,2.013,35.336,0.0,0.026,32.377,2.286,3445.433,72.038,80.435
1936-1936,Italy,Italy,41530635.0,187987345408.0,2.013,35.336,0.0,0.026,32.377,2.286,3445.433,72.038,Italy,41878651.0,198143426560.0,2.086,40.637,0.0,0.022,35.059,2.631,3525.868,80.435,65.463
1937-1937,Italy,Italy,41878651.0,198143426560.0,2.086,40.637,0.0,0.022,35.059,2.631,3525.868,80.435,Italy,42229584.0,191135252480.0,1.89,27.905,0.0,0.022,33.473,2.173,3591.331,65.463,76.975
1938-1938,Italy,Italy,42229584.0,191135252480.0,1.89,27.905,0.0,0.022,33.473,2.173,3591.331,65.463,Italy,42583457.0,210128764928.0,2.155,38.728,0.0,0.026,31.801,4.265,3668.306,76.975,80.811
1939-1939,Italy,Italy,42583457.0,210128764928.0,2.155,38.728,0.0,0.026,31.801,4.265,3668.306,76.975,Italy,42940295.0,216270045184.0,2.279,37.472,0.0,0.029,35.832,5.199,3749.116,80.811,80.017
1940-1940,Italy,Italy,42940295.0,216270045184.0,2.279,37.472,0.0,0.029,35.832,5.199,3749.116,80.811,Italy,43279914.0,230115786752.0,2.526,37.292,0.0,0.033,33.897,6.269,3829.134,80.017,79.602
1941-1941,Italy,Italy,43279914.0,230115786752.0,2.526,37.292,0.0,0.033,33.897,6.269,3829.134,80.017,Italy,43602046.0,226094759936.0,2.373,42.704,0.0,0.048,30.571,3.906,3908.736,79.602,72.187
1942-1942,Italy,Italy,43602046.0,226094759936.0,2.373,42.704,0.0,0.048,30.571,3.906,3908.736,79.602,Italy,43906421.0,222193778688.0,1.381,40.34,0.0,0.07,29.293,1.103,3980.923,72.187,73.773
1943-1943,Italy,Italy,43906421.0,222193778688.0,1.381,40.34,0.0,0.07,29.293,1.103,3980.923,72.187,Italy,44192767.0,209763647488.0,1.108,39.029,0.0,0.095,31.884,1.656,4054.696,73.773,39.892
1944-1944,Italy,Italy,44192767.0,209763647488.0,1.108,39.029,0.0,0.095,31.884,1.656,4054.696,73.773,Italy,44460808.0,177590779904.0,0.846,6.138,0.0,0.095,32.78,0.033,4094.588,39.892,36.992
1945-1945,Italy,Italy,44460808.0,177590779904.0,0.846,6.138,0.0,0.095,32.78,0.033,4094.588,39.892,Italy,44730474.0,143206973440.0,0.668,2.804,0.0,0.084,33.414,0.022,4131.58,36.992,37.091
1946-1946,Italy,Italy,44730474.0,143206973440.0,0.668,2.804,0.0,0.084,33.414,0.022,4131.58,36.992,Italy,45001776.0,128646299648.0,0.564,3.696,0.0,0.07,32.739,0.022,4168.671,37.091,53.936
1947-1947,Italy,Italy,45001776.0,128646299648.0,0.564,3.696,0.0,0.07,32.739,0.022,4168.671,37.091,Italy,45274723.0,173983629312.0,0.999,19.928,0.0,0.11,31.77,1.129,4222.607,53.936,65.459
1948-1948,Italy,Italy,45274723.0,173983629312.0,0.999,19.928,0.0,0.11,31.77,1.129,4222.607,53.936,Italy,45549326.0,207087927296.0,1.363,29.749,0.0,0.161,28.673,5.513,4288.067,65.459,61.05
1949-1949,Italy,Italy,45549326.0,207087927296.0,1.363,29.749,0.0,0.161,28.673,5.513,4288.067,65.459,Italy,45825595.0,223278137344.0,1.555,26.323,0.0,0.198,25.522,7.452,4349.117,61.05,68.455
1950-1950,Italy,Italy,45825595.0,223278137344.0,1.555,26.323,0.0,0.198,25.522,7.452,4349.117,61.05,Italy,46106450.0,242450808832.0,1.995,27.545,0.0,0.421,28.684,9.809,4417.571,68.455,59.525
1951-1951,Italy,Italy,46106450.0,242450808832.0,1.995,27.545,0.0,0.421,28.684,9.809,4417.571,68.455,Italy,46391944.0,262940114944.0,2.475,24.572,0.0,0.956,18.094,13.427,4477.096,59.525,56.157
1952-1952,Italy,Italy,46391944.0,262940114944.0,2.475,24.572,0.0,0.956,18.094,13.427,4477.096,59.525,Italy,46750764.0,282516455424.0,2.758,27.66,0.0,1.81,7.335,16.594,4533.253,56.157,54.533
1953-1953,Italy,Italy,46750764.0,282516455424.0,2.758,27.66,0.0,1.81,7.335,16.594,4533.253,56.157,Italy,47016488.0,303680094208.0,3.289,26.025,0.0,2.686,3.912,18.62,4587.786,54.533,52.591
1954-1954,Italy,Italy,47016488.0,303680094208.0,3.289,26.025,0.0,2.686,3.912,18.62,4587.786,54.533,Italy,47412148.0,325628035072.0,3.871,26.835,0.0,4.272,-3.404,21.017,4640.377,52.591,53.506
1955-1955,Italy,Italy,47412148.0,325628035072.0,3.871,26.835,0.0,4.272,-3.404,21.017,4640.377,52.591,Italy,47833768.0,342536519680.0,4.328,27.962,0.0,5.562,-11.432,27.086,4693.882,53.506,58.034
1956-1956,Italy,Italy,47833768.0,342536519680.0,4.328,27.962,0.0,5.562,-11.432,27.086,4693.882,53.506,Italy,48130728.0,362461757440.0,5.27,28.993,0.0,6.797,-15.233,32.207,4751.916,58.034,61.044
1957-1957,Italy,Italy,48130728.0,362461757440.0,5.27,28.993,0.0,6.797,-15.233,32.207,4751.916,58.034,Italy,48403440.0,378893139968.0,5.604,30.979,0.0,8.387,-22.431,38.505,4812.96,61.044,59.533
1958-1958,Italy,Italy,48403440.0,378893139968.0,5.604,30.979,0.0,8.387,-22.431,38.505,4812.96,61.044,Italy,48660256.0,401226760192.0,5.906,29.887,0.0,9.347,-27.545,41.938,4872.494,59.533,54.552
1959-1959,Italy,Italy,48660256.0,401226760192.0,5.906,29.887,0.0,9.347,-27.545,41.938,4872.494,59.533,Italy,48930472.0,422722928640.0,6.338,27.001,0.0,9.703,-33.046,44.556,4927.046,54.552,35.812
1960-1960,Italy,Italy,48930472.0,422722928640.0,6.338,27.001,0.0,9.703,-33.046,44.556,4927.046,54.552,Italy,49224672.0,449036156928.0,7.12,26.011,0.0,11.465,-58.273,49.49,4962.858,35.812,58.288
1961-1961,Italy,Italy,49224672.0,449036156928.0,7.12,26.011,0.0,11.465,-58.273,49.49,4962.858,35.812,Italy,49517708.0,473363382272.0,7.915,27.883,0.0,12.08,-50.915,61.324,5021.146,58.288,80.338
1962-1962,Italy,Italy,49517708.0,473363382272.0,7.915,27.883,0.0,12.08,-50.915,61.324,5021.146,58.288,Italy,49812724.0,513214676992.0,8.911,30.169,0.0,12.802,-44.037,72.492,5101.483,80.338,101.532
1963-1963,Italy,Italy,49812724.0,513214676992.0,8.911,30.169,0.0,12.802,-44.037,72.492,5101.483,80.338,Italy,50162244.0,553275686912.0,9.969,31.873,0.0,13.399,-44.723,91.014,5203.016,101.532,120.006
1964-1964,Italy,Italy,50162244.0,553275686912.0,9.969,31.873,0.0,13.399,-44.723,91.014,5203.016,101.532,Italy,50555128.0,592671539200.0,10.917,32.744,0.0,13.619,-44.55,107.276,5323.022,120.006,134.052
1965-1965,Italy,Italy,50555128.0,592671539200.0,10.917,32.744,0.0,13.619,-44.55,107.276,5323.022,120.006,Italy,50997780.0,615796768768.0,11.288,27.781,0.0,14.305,-41.669,122.347,5457.074,134.052,148.736
1966-1966,Italy,Italy,50997780.0,615796768768.0,11.288,27.781,0.0,14.305,-41.669,122.347,5457.074,134.052,Italy,51452860.0,629615755264.0,10.227,30.536,0.0,14.506,-40.793,134.26,5605.81,148.736,175.95
1967-1967,Italy,Italy,51452860.0,629615755264.0,10.227,30.536,0.0,14.506,-40.793,134.26,5605.81,148.736,Italy,51882568.0,662465740800.0,11.081,31.672,0.0,15.839,-38.032,155.39,5781.759,175.95,200.452
1968-1968,Italy,Italy,51882568.0,662465740800.0,11.081,31.672,0.0,15.839,-38.032,155.39,5781.759,175.95,Italy,52294440.0,709741838336.0,12.978,35.181,0.0,17.301,-33.678,168.67,5982.211,200.452,211.496
1969-1969,Italy,Italy,52294440.0,709741838336.0,12.978,35.181,0.0,17.301,-33.678,168.67,5982.211,200.452,Italy,52661072.0,768994508800.0,14.563,32.752,0.0,20.222,-37.676,181.635,6193.708,211.496,232.765
1970-1970,Italy,Italy,52661072.0,768994508800.0,14.563,32.752,0.0,20.222,-37.676,181.635,6193.708,211.496,Italy,53001508.0,812977618944.0,15.493,32.906,0.0,22.347,-36.896,198.915,6426.473,232.765,202.427
1971-1971,Italy,Italy,53001508.0,812977618944.0,15.493,32.906,0.0,22.347,-36.896,198.915,6426.473,232.765,Italy,53324036.0,831317737472.0,16.347,32.881,0.0,22.072,-93.938,225.065,6628.899,202.427,225.957
1972-1972,Italy,Italy,53324036.0,831317737472.0,16.347,32.881,0.0,22.072,-93.938,225.065,6628.899,202.427,Italy,53636100.0,846968258560.0,15.562,30.708,0.0,25.054,-85.092,239.725,6854.856,225.957,245.159
1973-1973,Italy,Italy,53636100.0,846968258560.0,15.562,30.708,0.0,25.054,-85.092,239.725,6854.856,225.957,Italy,53995428.0,871751811072.0,16.211,29.121,0.0,28.949,-83.079,253.956,7100.015,245.159,278.016
1974-1974,Italy,Italy,53995428.0,871751811072.0,16.211,29.121,0.0,28.949,-83.079,253.956,7100.015,245.159,Italy,54379588.0,928806535168.0,17.411,29.418,0.0,32.697,-75.334,273.823,7378.031,278.016,286.288
1975-1975,Italy,Italy,54379588.0,928806535168.0,17.411,29.418,0.0,32.697,-75.334,273.823,7378.031,278.016,Italy,54750684.0,972368707584.0,17.233,31.675,0.0,37.065,-71.965,272.279,7664.318,286.288,271.914
1976-1976,Italy,Italy,54750684.0,972368707584.0,17.233,31.675,0.0,37.065,-71.965,272.279,7664.318,286.288,Italy,55093992.0,951557554176.0,16.081,30.605,0.0,42.173,-69.139,252.193,7936.232,271.914,298.247
1977-1977,Italy,Italy,55093992.0,951557554176.0,16.081,30.605,0.0,42.173,-69.139,252.193,7936.232,271.914,Italy,55388904.0,1013301903360.0,16.887,30.961,0.0,51.007,-67.549,266.941,8234.479,298.247,293.436
1978-1978,Italy,Italy,55388904.0,1013301903360.0,16.887,30.961,0.0,51.007,-67.549,266.941,8234.479,298.247,Italy,55649672.0,1042645975040.0,17.572,31.368,0.0,50.04,-60.982,255.438,8527.914,293.436,312.349
1979-1979,Italy,Italy,55649672.0,1042645975040.0,17.572,31.368,0.0,50.04,-60.982,255.438,8527.914,293.436,Italy,55877016.0,1081497944064.0,17.397,35.541,0.0,51.952,-58.924,266.384,8840.264,312.349,328.163
1980-1980,Italy,Italy,55877016.0,1081497944064.0,17.397,35.541,0.0,51.952,-58.924,266.384,8840.264,312.349,Italy,56070680.0,1142855303168.0,17.683,40.128,0.0,50.878,-57.092,276.566,9168.427,328.163,331.58
1981-1981,Italy,Italy,56070680.0,1142855303168.0,17.683,40.128,0.0,50.878,-57.092,276.566,9168.427,328.163,Italy,56329480.0,1183161647104.0,18.597,44.913,0.0,52.241,-54.853,270.682,9500.008,331.58,323.049
1982-1982,Italy,Italy,56329480.0,1183161647104.0,18.597,44.913,0.0,52.241,-54.853,270.682,9500.008,331.58,Italy,56532908.0,1188868915200.0,18.295,47.771,0.0,50.45,-52.252,258.785,9823.056,323.049,313.225
1983-1983,Italy,Italy,56532908.0,1188868915200.0,18.295,47.771,0.0,50.45,-52.252,258.785,9823.056,323.049,Italy,56585840.0,1194202234880.0,17.297,49.842,0.0,52.802,-53.654,246.938,10136.281,313.225,306.385
1984-1984,Italy,Italy,56585840.0,1194202234880.0,17.297,49.842,0.0,52.802,-53.654,246.938,10136.281,313.225,Italy,56607516.0,1208770101248.0,16.88,44.481,0.0,51.512,-52.024,245.536,10442.666,306.385,311.674
1985-1985,Italy,Italy,56607516.0,1208770101248.0,16.88,44.481,0.0,51.512,-52.024,245.536,10442.666,306.385,Italy,56620236.0,1239849238528.0,16.078,54.66,0.0,60.929,-52.927,232.935,10754.34,311.674,318.578
1986-1986,Italy,Italy,56620236.0,1239849238528.0,16.078,54.66,0.0,60.929,-52.927,232.935,10754.34,311.674,Italy,56636468.0,1274693681152.0,15.428,59.397,0.0,62.504,-50.405,231.653,11072.917,318.578,314.409
1987-1987,Italy,Italy,56636468.0,1274693681152.0,15.428,59.397,0.0,62.504,-50.405,231.653,11072.917,318.578,Italy,56639056.0,1310891966464.0,14.943,53.285,0.0,59.631,-48.778,235.329,11387.326,314.409,330.822
1988-1988,Italy,Italy,56639056.0,1310891966464.0,14.943,53.285,0.0,59.631,-48.778,235.329,11387.326,314.409,Italy,56644528.0,1351528480768.0,15.307,55.624,0.0,66.11,-49.277,243.057,11718.149,330.822,338.963
1989-1989,Italy,Italy,56644528.0,1351528480768.0,15.307,55.624,0.0,66.11,-49.277,243.057,11718.149,330.822,Italy,56670880.0,1403770109952.0,15.378,52.692,0.0,70.412,-46.999,247.48,12057.112,338.963,359.986
1990-1990,Italy,Italy,56670880.0,1403770109952.0,15.378,52.692,0.0,70.412,-46.999,247.48,12057.112,338.963,Italy,56711524.0,1444197040128.0,15.794,52.157,0.0,84.334,-44.756,252.457,12417.098,359.986,387.466
1991-1991,Italy,Italy,56711524.0,1444197040128.0,15.794,52.157,0.0,84.334,-44.756,252.457,12417.098,359.986,Italy,56756560.0,1475485368320.0,15.846,69.58,4.048,88.992,-51.438,255.519,12804.563,387.466,383.96
1992-1992,Italy,Italy,56756560.0,1475485368320.0,15.846,69.58,4.048,88.992,-51.438,255.519,12804.563,387.466,Italy,56794488.0,1509175721984.0,15.692,65.966,3.98,94.755,-54.425,252.944,13188.524,383.96,381.011
1993-1993,Italy,Italy,56794488.0,1509175721984.0,15.692,65.966,3.98,94.755,-54.425,252.944,13188.524,383.96,Italy,56833184.0,1531924054016.0,16.427,58.065,3.956,94.458,-57.76,260.754,13569.535,381.011,372.228
1994-1994,Italy,Italy,56833184.0,1531924054016.0,16.427,58.065,3.956,94.458,-57.76,260.754,13569.535,381.011,Italy,56869456.0,1529550209024.0,14.065,52.079,4.18,96.872,-58.949,258.907,13941.763,372.228,364.925
1995-1995,Italy,Italy,56869456.0,1529550209024.0,14.065,52.079,4.18,96.872,-58.949,258.907,13941.763,372.228,Italy,56883820.0,1573414633472.0,13.791,54.772,4.07,92.794,-60.503,255.143,14306.688,364.925,397.015
1996-1996,Italy,Italy,56883820.0,1573414633472.0,13.791,54.772,4.07,92.794,-60.503,255.143,14306.688,364.925,Italy,56885124.0,1630199218176.0,15.31,58.417,4.002,102.913,-52.415,263.803,14703.703,397.015,391.958
1997-1997,Italy,Italy,56885124.0,1630199218176.0,15.31,58.417,4.002,102.913,-52.415,263.803,14703.703,397.015,Italy,56898972.0,1662793023488.0,13.988,53.524,3.85,106.19,-51.699,261.467,15095.661,391.958,412.248
1998-1998,Italy,Italy,56898972.0,1662793023488.0,13.988,53.524,3.85,106.19,-51.699,261.467,15095.661,391.958,Italy,56925808.0,1705187999744.0,14.233,54.146,4.013,109.923,-37.183,262.446,15507.909,412.248,443.245
1999-1999,Italy,Italy,56925808.0,1705187999744.0,14.233,54.146,4.013,109.923,-37.183,262.446,15507.909,412.248,Italy,56938736.0,1744897441792.0,14.538,54.867,3.887,118.555,-18.402,265.187,15951.154,443.245,435.962
2000-2000,Italy,Italy,56938736.0,1744897441792.0,14.538,54.867,3.887,118.555,-18.402,265.187,15951.154,443.245,Italy,56945064.0,1784529158144.0,15.277,53.94,3.109,129.051,-30.432,260.347,16387.115,435.962,435.81
2001-2001,Italy,Italy,56945064.0,1784529158144.0,15.277,53.94,3.109,129.051,-30.432,260.347,16387.115,435.962,Italy,56966400.0,1863751565312.0,15.862,56.032,3.262,134.813,-34.714,255.622,16822.926,435.81,430.2
2002-2002,Italy,Italy,56966400.0,1863751565312.0,15.862,56.032,3.262,134.813,-34.714,255.622,16822.926,435.81,Italy,56994992.0,1910271901696.0,16.394,59.024,3.071,135.107,-40.377,251.794,17253.127,430.2,430.419
2003-2003,Italy,Italy,56994992.0,1910271901696.0,16.394,59.024,3.071,135.107,-40.377,251.794,17253.127,430.2,Italy,57107576.0,1929301852160.0,16.289,60.016,2.843,135.865,-47.583,257.674,17683.545,430.419,453.65
2004-2004,Italy,Italy,57107576.0,1929301852160.0,16.289,60.016,2.843,135.865,-47.583,257.674,17683.545,430.419,Italy,57425176.0,1947667660800.0,16.938,65.126,3.384,149.024,-42.356,255.992,18137.195,453.65,457.06
2005-2005,Italy,Italy,57425176.0,1947667660800.0,16.938,65.126,3.384,149.024,-42.356,255.992,18137.195,453.65,Italy,57860664.0,1994293772288.0,17.408,72.217,2.646,154.662,-44.572,248.866,18594.254,457.06,451.216
2006-2006,Italy,Italy,57860664.0,1994293772288.0,17.408,72.217,2.646,154.662,-44.572,248.866,18594.254,457.06,Italy,58199876.0,2029243465728.0,17.403,71.265,2.557,165.66,-51.131,239.503,19045.471,451.216,443.536
2007-2007,Italy,Italy,58199876.0,2029243465728.0,17.403,71.265,2.557,165.66,-51.131,239.503,19045.471,451.216,Italy,58429904.0,2086553649152.0,17.474,70.787,2.591,162.585,-53.398,237.558,19489.006,443.536,464.46
2008-2008,Italy,Italy,58429904.0,2086553649152.0,17.474,70.787,2.591,162.585,-53.398,237.558,19489.006,443.536,Italy,58778480.0,2134371860480.0,17.914,70.675,2.526,163.512,-26.194,230.103,19953.465,464.46,434.9
2009-2009,Italy,Italy,58778480.0,2134371860480.0,17.914,70.675,2.526,163.512,-26.194,230.103,19953.465,464.46,Italy,59224228.0,2129113251840.0,16.127,68.139,2.596,167.142,-44.177,219.649,20388.367,434.9,395.374
2010-2010,Italy,Italy,59224228.0,2129113251840.0,16.127,68.139,2.596,167.142,-44.177,219.649,20388.367,434.9,Italy,59562844.0,2029023002624.0,13.341,52.388,2.232,154.034,-29.579,199.0,20783.74,395.374,391.515
2011-2011,Italy,Italy,59562844.0,2029023002624.0,13.341,52.388,2.232,154.034,-29.579,199.0,20783.74,395.374,Italy,59822452.0,2080545964032.0,13.276,58.218,2.377,164.347,-45.02,194.205,21175.256,391.515,390.181
2012-2012,Italy,Italy,59822452.0,2080545964032.0,13.276,58.218,2.377,164.347,-45.02,194.205,21175.256,391.515,Italy,60025952.0,2110883364864.0,12.583,65.439,2.615,153.0,-34.558,186.918,21565.436,390.181,356.078
2013-2013,Italy,Italy,60025952.0,2110883364864.0,12.583,65.439,2.615,153.0,-34.558,186.918,21565.436,390.181,Italy,60190152.0,2047959891968.0,10.071,66.959,2.528,147.714,-48.182,173.243,21921.514,356.078,322.81
2014-2014,Italy,Italy,60190152.0,2047959891968.0,10.071,66.959,2.528,147.714,-48.182,173.243,21921.514,356.078,Italy,60312600.0,2010255327232.0,8.877,57.782,2.702,137.701,-47.443,159.757,22244.326,322.81,301.954
2015-2015,Italy,Italy,60312600.0,2010255327232.0,8.877,57.782,2.702,137.701,-47.443,159.757,22244.326,322.81,Italy,60322792.0,2010164101120.0,8.339,55.837,2.501,121.589,-48.173,158.481,22546.279,301.954,318.796
2016-2016,Italy,Italy,60322792.0,2010164101120.0,8.339,55.837,2.501,121.589,-48.173,158.481,22546.279,301.954,Italy,60232908.0,2025809510400.0,8.196,53.063,2.574,132.756,-43.14,162.218,22865.074,318.796,320.757
2017-2017,Italy,Italy,60232908.0,2025809510400.0,8.196,53.063,2.574,132.756,-43.14,162.218,22865.074,318.796,Italy,60118628.0,2052012376064.0,7.68,48.302,2.189,140.792,-38.057,156.807,23185.83,320.757,310.855
2018-2018,Italy,Italy,60118628.0,2052012376064.0,7.68,48.302,2.189,140.792,-38.057,156.807,23185.83,320.757,Italy,60004024.0,2086237110272.0,7.711,41.798,2.351,148.758,-42.563,149.602,23496.686,310.855,307.65
2019-2019,Italy,Italy,60004024.0,2086237110272.0,7.711,41.798,2.351,148.758,-42.563,149.602,23496.686,310.855,Italy,59877432.0,2105551749120.0,7.757,39.214,2.295,143.672,-42.177,153.617,23804.336,307.65,300.026
2020-2020,Italy,Italy,59877432.0,2105551749120.0,7.757,39.214,2.295,143.672,-42.177,153.617,23804.336,307.65,Italy,59727936.0,2115725819904.0,7.912,30.483,2.756,146.769,-40.377,149.356,24104.361,300.026,263.102
2021-2021,Italy,Italy,59727936.0,2115725819904.0,7.912,30.483,2.756,146.769,-40.377,149.356,24104.361,300.026,Italy,59500576.0,1925752029184.0,7.059,22.129,2.112,140.816,-40.179,128.33,24367.465,263.102,297.446
2022-2022,Italy,Italy,59500576.0,1925752029184.0,7.059,22.129,2.112,140.816,-40.179,128.33,24367.465,263.102,Italy,59240336.0,2060299927552.0,7.919,24.486,1.816,152.11,-39.784,147.625,24664.91,297.446,298.672
1930-1930,Japan,Japan,62926919.0,221638213632.0,1.897,89.643,0.0,0.048,66.483,0.802,4081.378,158.874,Japan,63798063.0,231794737152.0,2.112,91.864,0.0,0.051,69.462,0.854,4245.72,164.342,154.377
1931-1931,Japan,Japan,63798063.0,231794737152.0,2.112,91.864,0.0,0.051,69.462,0.854,4245.72,164.342,Japan,64665549.0,214059745280.0,1.853,83.371,0.0,0.077,68.211,0.865,4400.097,154.377,146.333
