country_order,year,country_index,population_lag_1,population_lag_2,gdp_lag_1,gdp_lag_2,temperature_change_from_co2_lag_1,temperature_change_from_co2_lag_2,total_ghg_lag_1,total_ghg_lag_2,cement_co2_lag_1,cement_co2_lag_2,coal_co2_lag_1,coal_co2_lag_2,flaring_co2_lag_1,flaring_co2_lag_2,gas_co2_lag_1,gas_co2_lag_2,land_use_change_co2_lag_1,land_use_change_co2_lag_2,oil_co2_lag_1,oil_co2_lag_2
20,2000,Argentyna,36794686.0,36372863.0,14629.030863858983,15246.727741173412,2.174227006584592e-10,1.924511688837912e-10,1.0196472392779762e-05,9.903399685639262e-06,8.941508564579135e-08,9.025959820649807e-08,7.577181117947303e-08,8.674049111833731e-08,5.1175868167484836e-08,4.6545689845751216e-08,1.8377381994780442e-06,1.69395518851513e-06,1.4162371164140387e-06,1.5399942534080972e-06,1.976453882498141e-06,1.9128546466083792e-06
20,2001,Argentyna,37213985.0,36794686.0,14416.111921365045,14629.030863858983,2.1497294632649526e-10,2.174227006584592e-10,1.0120791954959942e-05,1.0196472392779762e-05,7.446125428383979e-08,8.941508564579135e-08,6.34170191663161e-08,7.577181117947303e-08,3.939379241433026e-08,5.1175868167484836e-08,1.8659114308773973e-06,1.8377381994780442e-06,1.4120766695638749e-06,1.4162371164140387e-06,1.81206070782261e-06,1.976453882498141e-06
20,2002,Argentyna,37624818.0,37213985.0,13684.246008472386,14416.111921365045,2.1262561323220223e-10,2.1497294632649526e-10,9.973071497648176e-06,1.0120791954959942e-05,6.594051830363671e-08,7.446125428383979e-08,5.336902892128276e-08,6.34170191663161e-08,4.005334989261609e-08,3.939379241433026e-08,1.722453514592416e-06,1.8659114308773973e-06,1.3222123758844495e-06,1.4120766695638749e-06,1.7098820252100623e-06,1.81206070782261e-06
20,2003,Argentyna,38029346.0,37624818.0,12110.608807419407,13684.246008472386,2.1036385953100536e-10,2.1262561323220223e-10,1.1523153724494762e-05,9.973071497648176e-06,4.546488914113853e-08,6.594051830363671e-08,4.152056677493218e-08,5.336902892128276e-08,3.970617848647726e-08,4.005334989261609e-08,1.6465705195140617e-06,1.722453514592416e-06,4.708994995601555e-06,1.3222123758844495e-06,1.511858762966894e-06,1.7098820252100623e-06
21,1952,Iran,16921281.0,16510553.0,2649.9350993580215,2716.498520673414,5.909718064489325e-11,6.05673232144314e-11,2.6294108584332357e-06,2.6369195507866997e-06,1.9502069612814774e-09,1.998721666076236e-09,2.665282847084686e-08,3.2161248626863077e-08,0.0,0.0,0.0,0.0,1.5880003411089267e-06,1.2593157842744578e-06,3.799948715466636e-07,5.473468998888166e-07
21,1953,Iran,17344434.0,16921281.0,2585.449104882869,2649.9350993580215,5.7655383853978746e-11,5.909718064489325e-11,2.5871700396795883e-06,2.6294108584332357e-06,1.4413845963494688e-09,1.9502069612814774e-09,2.300449815773752e-08,2.665282847084686e-08,0.0,0.0,0.0,0.0,1.825946006655507e-06,1.5880003411089267e-06,2.1147994797639405e-07,3.799948715466636e-07
21,1954,Iran,17778109.0,17344434.0,2524.8259193370905,2585.449104882869,5.6248952011712834e-11,5.7655383853978746e-11,2.657087995129291e-06,2.5871700396795883e-06,1.8562154163865236e-09,1.4413845963494688e-09,2.3118319276813972e-08,2.300449815773752e-08,0.0,0.0,0.0,0.0,2.0011127167686957e-06,1.825946006655507e-06,1.9040270255964792e-07,2.1147994797639405e-07
21,1955,Iran,18226205.0,17778109.0,2462.62813964838,2524.8259193370905,5.486605686702196e-11,5.6248952011712834e-11,2.5749189148262077e-06,2.657087995129291e-06,1.8105798766117247e-09,1.8562154163865236e-09,3.6485927816569606e-08,2.3118319276813972e-08,0.0,0.0,0.0,0.0,2.1379107718803778e-06,2.0011127167686957e-06,1.903852173285662e-08,1.9040270255964792e-07
21,1956,Iran,18700800.0,18226205.0,2398.978015058179,2462.62813964838,5.3473648186173854e-11,5.486605686702196e-11,3.4179286447638603e-06,2.5749189148262077e-06,3.4757871321013004e-09,1.8105798766117247e-09,3.470439767282683e-08,3.6485927816569606e-08,6.224867385352498e-07,0.0,3.117513689253935e-08,0.0,2.2355728097193704e-06,2.1379107718803778e-06,1.53790212183436e-07,1.903852173285662e-08
21,1957,Iran,19204391.0,18700800.0,2544.818965204364,2398.978015058179,5.2071424706984984e-11,5.3473648186173854e-11,4.322448964926823e-06,3.4179286447638603e-06,5.6757852930613626e-09,3.4757871321013004e-09,2.63481409017344e-08,3.470439767282683e-08,6.641189507128864e-07,6.224867385352498e-07,4.4260711000937234e-08,3.117513689253935e-08,2.3213961848620975e-06,2.2355728097193704e-06,4.4718939538358697e-07,1.53790212183436e-07
21,1958,Iran,19726844.0,19204391.0,2823.6073103229287,2544.818965204364,5.069234592213534e-11,5.2071424706984984e-11,4.570320523647878e-06,4.322448964926823e-06,7.908005963853113e-09,5.6757852930613626e-09,2.3571940853792934e-08,2.63481409017344e-08,4.3919848506938055e-07,6.641189507128864e-07,7.112136132875588e-08,4.4260711000937234e-08,2.4468181529696285e-06,2.3213961848620975e-06,5.632426555408458e-07,4.4718939538358697e-07
21,1959,Iran,20266510.0,19726844.0,3068.054167392412,2823.6073103229287,4.93424866935649e-11,5.069234592213534e-11,4.903212245226238e-06,4.570320523647878e-06,1.006586728548724e-08,7.908005963853113e-09,2.5312695673798796e-08,2.3571940853792934e-08,4.870596861521792e-07,4.3919848506938055e-07,7.105318083873345e-08,7.112136132875588e-08,2.473390830488328e-06,2.4468181529696285e-06,6.513701668417503e-07,5.632426555408458e-07
21,1960,Iran,20846778.0,20266510.0,3239.2329120595996,3068.054167392412,4.796904346561373e-11,4.93424866935649e-11,4.789948835258859e-06,4.903212245226238e-06,1.3767115474631139e-08,1.006586728548724e-08,3.022049738333665e-08,2.5312695673798796e-08,5.376370391625986e-07,4.870596861521792e-07,8.437754745601453e-08,7.105318083873345e-08,2.4324622250978066e-06,2.473390830488328e-06,5.604703038522308e-07,6.513701668417503e-07
