year,country_index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1985,Italy,0.013484557855234752,-0.07397835594510928,0.08277183421227868,-0.04535285283889814,0.010054596808959121,0.06232027032548931,-0.020585240184748877,-0.02394846247753
1986,Italy,0.014025663406785606,-0.0720163153613933,0.08354472542155468,-0.046499212323919896,0.009681328083841877,0.06774972369585829,0.005284744044444188,-0.020607854944475878
1987,Italy,0.01371655457533305,-0.07068421142672118,0.0840627907252899,-0.047167428320394396,0.008839396935815093,0.07252627229999109,0.022888868085626433,-0.022937036246197324
1988,Italy,0.02298375671507867,-0.07503650383361617,0.08573575577089397,-0.047061865565225174,0.01785533825775908,0.07099909006093384,-0.02324736911322971,-0.027924794288510572
1989,Italy,0.02533161608675205,-0.07645358803707354,0.08490566121660127,-0.04884078976809564,0.013081841073395252,0.07555465546069642,-0.010193945231838995,-0.026553160666451664
1990,Italy,0.03834344066685543,-0.08384578525156831,0.08220830934745163,-0.05125008746602179,0.014460299706405041,0.0701409888073556,-0.05368874370439722,-0.029317095009616975
1991,Italy,0.047933601311399496,-0.10239675976622559,0.06935260897291894,-0.003462053967986495,0.02213733484977369,0.07098464342373563,-0.013008048171822105,-0.02488950338992855
1992,Italy,0.048224309359387936,-0.10574700604618399,0.06930780932482074,-0.008350546376276516,0.010474436198295354,0.07435608844106908,-0.006736489837740603,-0.027106455179907424
1993,Italy,0.04812196492114445,-0.10519285190996863,0.0724118019485457,-0.00890598701698293,0.01324729133226424,0.0788142895209321,0.010608419992275495,-0.02640160976041385
1994,Italy,0.04755692174475755,-0.1108273913133764,0.06640158790853458,-0.008575737913834258,-0.0010341871416619404,0.07950110061261753,0.009825239005861157,-0.028752970197467483
1995,Italy,0.05048064844539144,-0.10657071448540706,0.07195983877420872,-0.010270420749484983,0.008303481826915884,0.08128009599262603,0.03931131646360264,-0.02224728605025133
1996,Italy,0.06386168258743186,-0.10991222025436799,0.07146157234465028,-0.010302878746877318,0.02185929704857176,0.08025693731934225,-0.03644435279028013,-0.023531399817777056
1997,Italy,0.06015684065095852,-0.11160444852772877,0.06798515676398181,-0.015659681124505952,0.0025173726937115343,0.0831353694884403,0.007131247573602924,-0.02763401123481335
1998,Italy,0.06663686344177544,-0.10832870927341569,0.06611680522201714,-0.013479058730901645,0.010390090019123348,0.08915306725121074,-0.0008327908081295115,-0.018278938410937695
1999,Italy,0.0747173625445472,-0.10710074013661386,0.061200487728776114,-0.016443813237115964,0.01056532439672643,0.09133027749642744,-0.02452652779755983,-0.018912594211915008
