country,population,gdp,primary_energy_consumption,cement_co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2,trade_co2,co2,co2_including_luc
Congo,0.0,60.115606936416185,75.72254335260115,63.005780346820806,57.80346820809249,100.0,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,100.0,57.80346820809249,57.80346820809249
Djibouti,0.0,60.115606936416185,75.72254335260115,68.78612716763006,57.80346820809249,100.0,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,100.0,57.80346820809249,57.80346820809249
East Timor,0.0,100.0,89.01734104046243,87.86127167630057,87.86127167630057,100.0,83.23699421965318,87.86127167630057,0.0,87.86127167630057,100.0,100.0,83.23699421965318,83.23699421965318
Egypt,0.0,58.95953757225434,66.47398843930635,45.08670520231214,35.26011560693642,81.5028901734104,35.26011560693642,35.26011560693642,0.0,35.26011560693642,100.0,81.5028901734104,35.26011560693642,35.26011560693642
Eswatini,0.0,60.115606936416185,75.72254335260115,58.95953757225434,58.95953757225434,100.0,58.95953757225434,58.95953757225434,0.0,58.95953757225434,100.0,100.0,58.95953757225434,58.95953757225434
Ghana,0.0,58.95953757225434,75.72254335260115,57.80346820809249,57.80346820809249,81.5028901734104,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,81.5028901734104,57.80346820809249,57.80346820809249
Guinea,16.483516483516482,74.72527472527473,84.61538461538461,0.0,73.26007326007326,88.27838827838828,73.26007326007326,73.26007326007326,36.63003663003663,73.26007326007326,100.0,88.27838827838828,0.0,36.63003663003663
Haiti,0.0,57.22543352601156,75.72254335260115,57.80346820809249,57.80346820809249,100.0,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,100.0,57.80346820809249,57.80346820809249
Honduras,0.0,42.77456647398844,75.72254335260115,57.80346820809249,57.80346820809249,81.5028901734104,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,81.5028901734104,57.80346820809249,57.80346820809249
India,0.0,19.653179190751445,66.47398843930635,45.08670520231214,10.982658959537572,81.5028901734104,10.982658959537572,10.982658959537572,0.0,10.982658959537572,100.0,81.5028901734104,10.982658959537572,10.982658959537572
Iran,0.0,58.95953757225434,66.47398843930635,34.68208092485549,34.68208092485549,81.5028901734104,34.68208092485549,34.68208092485549,0.0,34.68208092485549,100.0,81.5028901734104,34.68208092485549,34.68208092485549
Jordan,0.0,58.95953757225434,75.72254335260115,57.80346820809249,57.80346820809249,81.5028901734104,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,81.5028901734104,57.80346820809249,57.80346820809249
Kenya,0.0,60.115606936416185,75.72254335260115,57.80346820809249,57.80346820809249,81.5028901734104,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,81.5028901734104,57.80346820809249,57.80346820809249
Kiribati,0.0,100.0,75.72254335260115,64.16184971098265,64.16184971098265,100.0,64.16184971098265,64.16184971098265,0.0,64.16184971098265,100.0,100.0,64.16184971098265,64.16184971098265
Kyrgyzstan,0.0,77.40112994350282,83.05084745762711,48.0225988700565,3.389830508474576,81.92090395480226,3.389830508474576,3.389830508474576,2.2598870056497176,3.389830508474576,100.0,81.92090395480226,3.389830508474576,5.649717514124294
Laos,0.0,60.115606936416185,75.72254335260115,61.849710982658955,60.69364161849711,81.5028901734104,60.69364161849711,60.69364161849711,0.0,60.69364161849711,100.0,81.5028901734104,60.69364161849711,60.69364161849711
Lebanon,0.0,58.95953757225434,75.72254335260115,47.398843930635834,47.398843930635834,100.0,47.398843930635834,47.398843930635834,0.0,47.398843930635834,100.0,100.0,47.398843930635834,47.398843930635834
Lesotho,0.0,60.115606936416185,75.72254335260115,80.92485549132948,80.92485549132948,100.0,80.92485549132948,80.92485549132948,0.0,80.92485549132948,100.0,100.0,80.92485549132948,80.92485549132948
Mauritania,16.483516483516482,74.72527472527473,84.61538461538461,0.0,76.55677655677655,100.0,76.55677655677655,76.55677655677655,36.63003663003663,76.55677655677655,100.0,100.0,0.0,36.63003663003663
Micronesia (country),0.0,100.0,75.72254335260115,82.08092485549133,82.08092485549133,100.0,82.08092485549133,82.08092485549133,0.0,82.08092485549133,100.0,100.0,82.08092485549133,82.08092485549133
Mongolia,0.0,60.115606936416185,75.72254335260115,57.80346820809249,57.80346820809249,81.5028901734104,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,81.5028901734104,57.80346820809249,57.80346820809249
Morocco,0.0,58.95953757225434,66.47398843930635,45.08670520231214,45.08670520231214,81.5028901734104,45.08670520231214,45.08670520231214,0.0,45.08670520231214,100.0,81.5028901734104,45.08670520231214,45.08670520231214
Myanmar,0.0,53.75722543352601,75.72254335260115,45.08670520231214,45.08670520231214,100.0,45.08670520231214,45.08670520231214,0.0,45.08670520231214,100.0,100.0,45.08670520231214,45.08670520231214
Nepal,0.0,58.95953757225434,75.72254335260115,57.80346820809249,57.80346820809249,81.5028901734104,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,81.5028901734104,57.80346820809249,57.80346820809249
Nicaragua,0.0,42.77456647398844,75.72254335260115,53.75722543352601,53.75722543352601,81.5028901734104,53.75722543352601,53.75722543352601,0.0,53.75722543352601,100.0,81.5028901734104,53.75722543352601,53.75722543352601
Nigeria,0.0,60.115606936416185,75.72254335260115,37.57225433526011,37.57225433526011,81.5028901734104,37.57225433526011,37.57225433526011,0.0,37.57225433526011,100.0,81.5028901734104,37.57225433526011,37.57225433526011
Pakistan,0.0,60.115606936416185,66.47398843930635,55.49132947976878,55.49132947976878,81.5028901734104,55.49132947976878,55.49132947976878,0.0,55.49132947976878,100.0,81.5028901734104,55.49132947976878,55.49132947976878
Papua New Guinea,16.483516483516482,100.0,84.61538461538461,0.0,73.26007326007326,100.0,73.26007326007326,73.26007326007326,36.63003663003663,73.26007326007326,100.0,100.0,0.0,36.63003663003663
Philippines,0.0,34.68208092485549,66.47398843930635,46.82080924855491,34.68208092485549,81.5028901734104,34.68208092485549,34.68208092485549,0.0,34.68208092485549,100.0,81.5028901734104,34.68208092485549,34.68208092485549
Samoa,0.0,100.0,75.72254335260115,57.80346820809249,57.80346820809249,100.0,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,100.0,57.80346820809249,57.80346820809249
Sao Tome and Principe,0.0,60.115606936416185,75.72254335260115,58.38150289017341,58.38150289017341,100.0,58.38150289017341,58.38150289017341,0.0,58.38150289017341,100.0,100.0,58.38150289017341,58.38150289017341
Senegal,0.0,60.115606936416185,75.72254335260115,62.42774566473989,57.22543352601156,81.5028901734104,57.22543352601156,57.22543352601156,0.0,57.22543352601156,100.0,81.5028901734104,57.22543352601156,57.22543352601156
Solomon Islands,0.0,100.0,75.72254335260115,58.95953757225434,58.95953757225434,100.0,58.95953757225434,58.95953757225434,0.0,58.95953757225434,100.0,100.0,58.95953757225434,58.95953757225434
Sri Lanka,0.0,13.294797687861271,66.47398843930635,57.80346820809249,57.80346820809249,81.5028901734104,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,81.5028901734104,57.80346820809249,57.80346820809249
Tajikistan,0.0,77.40112994350282,83.05084745762711,48.0225988700565,3.389830508474576,81.92090395480226,3.389830508474576,3.389830508474576,2.2598870056497176,3.389830508474576,100.0,81.92090395480226,3.389830508474576,5.649717514124294
Tanzania,0.0,60.115606936416185,75.72254335260115,57.80346820809249,57.80346820809249,81.5028901734104,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,81.5028901734104,57.80346820809249,57.80346820809249
Tunisia,0.0,58.95953757225434,75.72254335260115,45.08670520231214,45.08670520231214,81.5028901734104,45.08670520231214,45.08670520231214,0.0,45.08670520231214,100.0,81.5028901734104,45.08670520231214,45.08670520231214
Ukraine,0.0,77.40112994350282,78.53107344632768,48.0225988700565,3.389830508474576,81.92090395480226,3.389830508474576,3.389830508474576,2.2598870056497176,3.389830508474576,81.35593220338984,81.92090395480226,3.389830508474576,5.649717514124294
Uzbekistan,0.0,77.40112994350282,78.53107344632768,48.0225988700565,3.389830508474576,100.0,3.389830508474576,3.389830508474576,2.2598870056497176,3.389830508474576,100.0,100.0,3.389830508474576,5.649717514124294
Vanuatu,0.0,100.0,75.72254335260115,64.73988439306359,64.73988439306359,100.0,64.73988439306359,64.73988439306359,0.0,64.73988439306359,100.0,100.0,64.73988439306359,64.73988439306359
Vietnam,0.0,58.95953757225434,66.47398843930635,45.08670520231214,24.277456647398843,81.5028901734104,24.277456647398843,24.277456647398843,0.0,24.277456647398843,100.0,81.5028901734104,24.277456647398843,24.277456647398843
Zambia,0.0,60.115606936416185,75.72254335260115,57.80346820809249,57.80346820809249,81.5028901734104,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,81.5028901734104,57.80346820809249,57.80346820809249
Zimbabwe,0.0,60.115606936416185,75.72254335260115,30.63583815028902,30.63583815028902,81.5028901734104,30.63583815028902,30.63583815028902,0.0,30.63583815028902,100.0,81.5028901734104,30.63583815028902,30.63583815028902
