year,country,population,gdp,temperature_change_from_co2,cement_co2,coal_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,co2,country_order
1968,Wielka Brytania,55240654.0,916165885952.0,0.022,8.835,370.301,0.245,6.265,12.503,220.842,618.991,7
1969,Wielka Brytania,55456208.0,932854038528.0,0.022,8.61,367.944,1.48,12.252,4.328,238.096,632.711,7
1970,Wielka Brytania,55663801.0,954756366336.0,0.023,8.432,352.909,2.957,23.105,5.637,265.175,658.215,7
1971,Wielka Brytania,55890372.0,975018065920.0,0.023,8.749,341.419,3.451,37.226,4.843,269.542,665.231,7
1972,Wielka Brytania,56079239.0,1009534173184.0,0.023,8.922,293.155,3.942,52.659,4.182,289.348,652.209,7
1973,Wielka Brytania,56188788.0,1077433270272.0,0.023,9.884,295.861,4.928,56.994,3.796,291.911,663.373,7
1974,Wielka Brytania,56224550.0,1062802292736.0,0.024,8.798,263.376,5.423,68.161,3.42,271.425,620.603,7
1975,Wielka Brytania,56220138.0,1061564055552.0,0.024,8.356,276.2,5.914,71.382,3.637,241.395,606.884,7
1976,Wielka Brytania,56201144.0,1085394059264.0,0.024,7.809,274.969,5.914,74.038,3.64,235.797,602.166,7
1977,Wielka Brytania,56175831.0,1108973453312.0,0.025,7.65,271.09,6.372,79.01,3.498,240.24,607.86,7
1978,Wielka Brytania,56175552.0,1148502802432.0,0.025,7.881,259.146,8.596,81.524,3.691,247.568,608.405,7
1979,Wielka Brytania,56218759.0,1180113305600.0,0.025,7.992,281.573,12.491,89.193,6.073,253.264,650.586,7
1980,Wielka Brytania,56282102.0,1160744140800.0,0.025,7.334,260.719,8.028,88.423,2.769,214.531,581.804,7
1981,Wielka Brytania,56304591.0,1145637961728.0,0.026,6.305,261.417,7.977,89.607,2.527,195.249,563.081,7
1982,Wielka Brytania,56292761.0,1163414863872.0,0.026,6.423,244.751,7.507,93.314,1.874,196.245,550.114,7
1983,Wielka Brytania,56332059.0,1204671086592.0,0.026,6.639,247.234,7.159,97.169,3.172,187.284,548.657,7
1984,Wielka Brytania,56451312.0,1234772426752.0,0.026,6.68,177.559,6.456,99.61,5.205,238.803,534.313,7
1985,Wielka Brytania,56606416.0,1278428446720.0,0.027,6.612,234.315,5.034,107.941,2.83,205.725,562.458,7
1986,Wielka Brytania,56751925.0,1334598565888.0,0.027,6.65,248.487,3.836,108.267,3.014,201.314,571.568,7
1987,Wielka Brytania,56886020.0,1398100983808.0,0.027,7.096,259.298,4.038,107.509,21.842,193.727,593.51,7
1988,Wielka Brytania,57026540.0,1467801403392.0,0.027,8.188,249.779,0.0,105.863,8.394,206.463,578.688,7
1989,Wielka Brytania,57182137.0,1499837497344.0,0.028,8.358,245.895,0.0,104.71,5.492,222.613,587.068,7
1990,Wielka Brytania,57367867.0,1505692221440.0,0.028,7.295,252.69,6.787,113.518,4.202,217.8,606.147,7
1991,Wielka Brytania,57555199.0,1488075358208.0,0.028,5.994,253.623,6.26,121.693,2.816,218.39,612.229,7
1992,Wielka Brytania,57719272.0,1491752058880.0,0.029,5.456,237.747,6.444,122.296,-9.168,218.447,584.678,7
1993,Wielka Brytania,57861036.0,1527509024768.0,0.029,5.525,207.686,6.636,137.591,-7.851,219.163,571.761,7
1994,Wielka Brytania,58003200.0,1585373249536.0,0.029,6.368,195.376,7.426,145.455,-3.735,215.736,570.282,7
1995,Wielka Brytania,58154632.0,1623858085888.0,0.029,6.285,181.699,8.341,154.254,7.502,211.595,573.661,7
1996,Wielka Brytania,58298563.0,1663446679552.0,0.03,6.416,173.072,8.707,177.543,13.57,216.892,600.331,7
1997,Wielka Brytania,58447090.0,1713864572928.0,0.03,6.71,154.729,7.211,182.887,6.46,207.743,569.168,7
1998,Wielka Brytania,58626822.0,1766619873280.0,0.03,6.838,154.088,7.448,191.361,-4.812,204.934,563.731,7
1999,Wielka Brytania,58838660.0,1823341936640.0,0.03,6.531,138.313,6.171,205.231,-5.499,201.663,556.151,7
2000,Wielka Brytania,59057336.0,1889565278208.0,0.031,6.332,144.443,6.446,210.131,0.798,198.238,569.832,7
2001,Wielka Brytania,59288095.0,1939268304896.0,0.031,5.844,153.534,6.493,210.16,0.05,198.651,578.021,7
2002,Wielka Brytania,59540763.0,1983994265600.0,0.031,5.988,141.691,6.179,207.03,1.925,196.13,562.198,7
2003,Wielka Brytania,59820385.0,2050625372160.0,0.031,5.868,153.103,5.563,208.462,4.477,194.397,576.095,7
2004,Wielka Brytania,60169964.0,2099526631424.0,0.032,5.977,147.662,5.619,211.734,6.693,197.952,580.123,7
2005,Wielka Brytania,60596108.0,2161729470464.0,0.032,5.941,148.033,5.991,205.438,43.692,200.448,614.031,7
2006,Wielka Brytania,61051093.0,2212618829824.0,0.032,5.893,160.844,5.272,194.126,22.279,197.183,590.124,7
2007,Wielka Brytania,61535860.0,2267631583232.0,0.032,6.117,150.844,5.417,196.52,18.254,196.16,577.821,7
2008,Wielka Brytania,62027303.0,2252034801664.0,0.033,5.205,139.219,4.75,202.655,11.244,188.8,556.177,7
2009,Wielka Brytania,62506221.0,2151479246848.0,0.033,3.721,113.823,4.881,188.07,7.641,180.264,501.749,7
2010,Wielka Brytania,63006484.0,2190919860224.0,0.033,3.792,118.03,4.738,201.927,6.868,179.848,518.772,7
2011,Wielka Brytania,63509285.0,2223011266560.0,0.033,4.097,117.15,4.453,168.236,10.683,172.06,480.396,7
2012,Wielka Brytania,63960487.0,2255210414080.0,0.034,3.724,148.005,3.646,158.24,17.036,170.288,504.513,7
2013,Wielka Brytania,64389386.0,2296252465152.0,0.034,4.029,142.457,4.216,157.622,15.913,165.756,493.524,7
2014,Wielka Brytania,64865914.0,2369725399040.0,0.034,4.215,115.434,4.436,144.492,12.032,166.511,450.839,7
2015,Wielka Brytania,65382107.0,2426435796992.0,0.034,4.393,91.548,4.641,147.899,19.914,170.773,442.375,7
2016,Wielka Brytania,65893359.0,2478973124608.0,0.034,4.553,47.825,4.559,165.742,19.141,173.93,418.571,7
2017,Wielka Brytania,66354474.0,2539548573696.0,0.035,4.41,39.129,4.301,161.697,13.583,174.851,400.951,7
2018,Wielka Brytania,66752473.0,2582848208896.0,0.035,4.364,33.28,4.476,161.485,18.843,173.087,398.573,7
2019,Wielka Brytania,67110958.0,2624285048832.0,0.035,4.448,24.513,4.283,159.321,11.504,168.996,376.257,7
2020,Wielka Brytania,67351860.0,2334803886080.0,0.035,3.9,22.809,3.443,149.42,9.097,143.981,335.361,7
2021,Wielka Brytania,67668789.0,2512190177280.0,0.035,4.215,23.739,3.502,158.404,9.849,151.894,354.359,7
2022,Wielka Brytania,68179315.0,2615230595072.0,0.035,4.073,19.666,3.192,134.872,9.763,149.52,323.598,7
2023,Wielka Brytania,68682965.0,2615230595072.0,0.035,3.616,17.556,3.26,123.221,9.528,154.927,314.675,7
1928,Kanada,9880096.0,83322109952.0,0.006,0.869,81.605,0.0,1.194,301.853,10.109,395.63,8
1929,Kanada,10041248.0,83202572288.0,0.006,0.963,83.899,0.0,1.502,307.997,12.666,407.028,8
1930,Kanada,10191122.0,80432472064.0,0.006,0.927,79.498,0.0,1.557,343.331,12.366,437.679,8
1931,Kanada,10329362.0,68012974080.0,0.007,0.8,61.214,0.0,1.37,350.862,12.465,426.711,8
1932,Kanada,10455609.0,63166488576.0,0.007,0.363,57.737,0.0,1.238,328.952,10.868,399.159,8
1933,Kanada,10569491.0,58656866304.0,0.007,0.189,56.44,0.0,1.224,346.416,11.63,415.898,8
1934,Kanada,10684614.0,64889491456.0,0.007,0.273,65.156,0.0,1.227,358.293,13.257,438.206,8
1935,Kanada,10800991.0,70134530048.0,0.007,0.273,62.933,0.0,1.319,361.116,14.271,439.912,8
1936,Kanada,10918635.0,73911484416.0,0.007,0.389,68.843,0.0,1.488,341.595,15.444,427.758,8
1937,Kanada,11037560.0,80861331456.0,0.007,0.483,74.207,0.0,1.715,336.357,17.078,429.84,8
1938,Kanada,11157781.0,82981191680.0,0.008,0.432,66.469,0.0,1.77,343.828,16.873,429.372,8
1939,Kanada,11296195.0,87932002304.0,0.008,0.451,74.195,0.0,1.861,348.218,18.497,443.222,8
1940,Kanada,11453308.0,100014219264.0,0.008,0.592,84.718,0.0,2.184,306.053,21.127,414.675,8
1941,Kanada,11629639.0,113984610304.0,0.008,0.658,93.714,0.0,2.305,334.087,23.475,454.239,8
1942,Kanada,11825718.0,134172491776.0,0.008,0.716,105.482,0.0,2.418,329.72,22.461,460.798,8
1943,Kanada,12042086.0,140255363072.0,0.008,0.574,110.547,0.0,2.345,310.057,24.596,448.119,8
1944,Kanada,12262412.0,145547558912.0,0.009,0.563,109.809,0.0,2.385,315.038,27.649,455.445,8
1945,Kanada,12486770.0,141033472000.0,0.009,0.665,100.397,0.0,2.565,330.11,26.894,460.631,8
1946,Kanada,12715233.0,139580424192.0,0.009,0.909,105.733,0.0,2.535,298.235,29.245,436.657,8
1947,Kanada,12947875.0,145755504640.0,0.009,0.938,108.436,0.0,2.788,329.819,31.386,473.367,8
1948,Kanada,13184774.0,148419985408.0,0.009,1.108,118.104,0.0,3.074,320.624,36.219,479.131,8
1949,Kanada,13449459.0,151660937216.0,0.009,1.25,101.281,0.0,3.202,295.719,39.288,440.741,8
1950,Kanada,13741739.0,162840739840.0,0.01,1.312,96.82,0.0,3.554,360.731,52.448,514.864,8
1951,Kanada,14083297.0,172068421632.0,0.01,1.334,96.881,0.0,4.082,382.87,60.381,545.548,8
1952,Kanada,14482799.0,184612798464.0,0.01,1.454,89.849,0.0,4.276,351.799,63.831,511.208,8
1953,Kanada,14897875.0,193223622656.0,0.01,1.744,82.936,1.271,4.811,396.821,69.845,557.43,8
1954,Kanada,15318985.0,191887998976.0,0.01,1.759,80.084,0.0,5.947,398.427,75.178,561.395,8
1955,Kanada,15728280.0,209810259968.0,0.011,1.973,72.214,2.092,7.438,396.159,85.756,565.632,8
1956,Kanada,16159621.0,226794209280.0,0.011,2.253,78.483,3.32,8.541,418.283,97.206,608.085,8
1957,Kanada,16641328.0,233362309120.0,0.011,2.711,64.922,4.192,10.864,391.114,100.122,573.925,8
1958,Kanada,17104090.0,237535641600.0,0.011,2.758,57.265,4.137,13.429,424.568,104.567,606.724,8
1959,Kanada,17515523.0,247152361472.0,0.011,2.817,53.546,3.155,17.305,423.723,107.659,608.204,8
1960,Kanada,17898792.0,254857920512.0,0.012,2.595,49.636,3.206,21.537,360.166,115.742,552.882,8
1961,Kanada,18263079.0,262380453888.0,0.012,2.784,45.595,3.994,22.966,359.16,118.662,553.161,8
1962,Kanada,18613596.0,280743772160.0,0.012,3.086,47.031,4.609,25.978,352.794,126.287,559.785,8
1963,Kanada,18964256.0,294939656192.0,0.012,3.144,46.599,4.532,22.365,334.78,134.271,545.691,8
1964,Kanada,19321670.0,314154745856.0,0.012,3.547,51.919,4.232,34.159,339.983,143.72,577.56,8
1965,Kanada,19685519.0,335067021312.0,0.013,3.747,54.176,4.21,38.036,366.577,151.748,618.494,8
1966,Kanada,20053665.0,356785356800.0,0.013,4.001,52.582,4.243,42.422,289.846,155.826,548.92,8
1967,Kanada,20408776.0,367635464192.0,0.013,3.583,57.316,4.184,45.064,277.773,171.49,559.41,8
1968,Kanada,20734171.0,386855305216.0,0.013,3.66,60.578,4.294,55.525,265.065,179.205,568.327,8
1969,Kanada,21037620.0,407256006656.0,0.013,3.7,59.119,4.474,58.298,258.335,181.529,565.455,8
1970,Kanada,21440020.0,417751990272.0,0.014,3.562,58.815,4.804,62.625,258.883,211.372,600.06,8
1971,Kanada,21895693.0,441056624640.0,0.014,4.068,55.876,4.547,67.469,252.564,220.327,604.852,8
1972,Kanada,22230876.0,464342122496.0,0.014,4.477,62.155,4.356,76.485,251.151,233.318,631.942,8
1973,Kanada,22512230.0,497617436672.0,0.014,4.995,52.014,4.221,81.868,251.229,238.175,632.502,8
1974,Kanada,22824083.0,517951848448.0,0.015,5.135,48.507,3.536,83.516,235.103,248.922,624.72,8
1975,Kanada,23148980.0,529610735616.0,0.015,4.933,61.285,2.667,85.914,231.036,241.987,627.822,8
1976,Kanada,23455783.0,558634696704.0,0.015,4.767,59.1,2.433,98.928,252.468,233.734,651.43,8
1977,Kanada,23730341.0,577419673600.0,0.015,4.776,65.032,2.327,101.954,250.905,233.701,658.695,8
1978,Kanada,23978742.0,600763269120.0,0.016,5.113,69.509,2.532,104.551,257.043,233.823,672.572,8
1979,Kanada,24237173.0,625737072640.0,0.016,5.833,76.028,2.95,112.573,226.859,244.294,668.536,8
1980,Kanada,24533779.0,634113622016.0,0.016,5.208,81.172,3.133,112.041,275.901,241.294,718.747,8
1981,Kanada,24844977.0,653774422016.0,0.017,5.034,83.689,2.972,110.026,271.369,227.908,700.998,8
1982,Kanada,25140164.0,633852985344.0,0.017,4.182,88.445,2.862,110.326,224.486,208.641,638.941,8
1983,Kanada,25412604.0,652317687808.0,0.017,3.906,93.524,3.067,114.031,229.389,193.811,637.728,8
1984,Kanada,25670376.0,689733500928.0,0.017,4.276,102.914,4.305,121.231,251.962,192.507,677.195,8
1985,Kanada,25927463.0,727013326848.0,0.018,5.063,99.763,5.009,125.225,262.174,186.659,683.892,8
1986,Kanada,26211035.0,746074603520.0,0.018,5.27,92.487,4.741,115.782,254.791,186.428,659.499,8
1987,Kanada,26540914.0,776472494080.0,0.018,6.259,99.031,4.708,119.12,243.208,201.864,674.19,8
1988,Kanada,26927938.0,814240038912.0,0.018,5.986,106.406,5.192,127.203,265.156,210.882,720.825,8
1989,Kanada,27366047.0,833918730240.0,0.019,6.263,106.897,4.661,138.422,239.785,206.642,702.67,8
1990,Kanada,27789436.0,835996811264.0,0.019,5.823,99.005,11.835,125.716,260.476,212.496,718.491,8
1991,Kanada,28157153.0,820274266112.0,0.019,4.771,103.905,12.145,125.377,230.619,200.273,680.375,8
1992,Kanada,28500065.0,829742120960.0,0.02,4.804,106.721,13.05,132.662,227.628,203.27,691.125,8
1993,Kanada,28830635.0,853776007168.0,0.02,4.893,98.808,13.189,137.763,211.7,206.551,675.86,8
1994,Kanada,29147382.0,894851940352.0,0.02,5.769,102.481,14.458,140.978,237.697,211.68,716.327,8
1995,Kanada,29459136.0,921360072704.0,0.02,6.529,104.309,14.716,148.261,204.584,214.36,695.998,8
1996,Kanada,29767210.0,938872537088.0,0.021,6.185,106.238,15.911,155.033,234.708,221.116,742.437,8
1997,Kanada,30059087.0,981728100352.0,0.021,6.657,113.044,16.052,153.691,203.208,229.102,725.23,8
1998,Kanada,30329968.0,1022474584064.0,0.021,6.828,119.192,17.756,150.444,225.404,232.034,755.04,8
1999,Kanada,30599458.0,1078414934016.0,0.022,7.118,119.515,16.058,162.93,241.411,234.96,785.276,8
2000,Kanada,30891800.0,1137681367040.0,0.022,7.232,128.952,16.037,173.423,221.185,237.231,787.446,8
2001,Kanada,31213577.0,1161459924992.0,0.022,6.983,126.48,15.457,165.5,262.882,241.069,821.242,8
2002,Kanada,31535580.0,1199865593856.0,0.023,7.148,123.972,15.817,171.755,214.5,242.086,778.229,8
2003,Kanada,31836484.0,1224575811584.0,0.023,7.248,123.102,15.3,174.245,214.011,257.945,794.803,8
2004,Kanada,32132680.0,1265917231104.0,0.023,7.52,115.514,15.79,170.262,232.531,266.975,811.694,8
2005,Kanada,32440173.0,1310077878272.0,0.024,7.614,116.624,15.451,169.2,230.584,260.961,803.439,8
2006,Kanada,32759174.0,1348293361664.0,0.024,7.728,114.03,15.799,168.452,197.441,259.202,765.615,8
2007,Kanada,33092172.0,1379925884928.0,0.024,7.731,118.821,15.845,180.77,177.619,265.861,769.508,8
2008,Kanada,33449089.0,1397938716672.0,0.025,6.988,112.68,15.094,181.2,137.416,257.097,713.186,8
2009,Kanada,33826369.0,1360538107904.0,0.025,5.364,93.362,14.17,174.223,110.915,253.423,653.726,8
2010,Kanada,34196901.0,1406355374080.0,0.025,6.005,95.844,14.451,178.268,85.622,257.905,640.357,8
2011,Kanada,34555450.0,1454221426688.0,0.026,6.02,86.835,14.619,193.976,137.445,259.433,700.765,8
2012,Kanada,34922512.0,1479829618688.0,0.026,6.532,81.544,15.49,197.213,109.047,260.897,673.268,8
2013,Kanada,35293420.0,1514296442880.0,0.026,5.973,79.249,16.365,204.25,120.787,260.549,689.641,8
2014,Kanada,35634265.0,1557757558784.0,0.026,5.912,76.962,16.511,211.465,164.189,253.107,730.657,8
2015,Kanada,35962236.0,1568025739264.0,0.027,6.185,73.719,15.766,213.612,142.859,254.034,708.503,8
2016,Kanada,36353345.0,1583728033792.0,0.027,6.114,74.001,13.82,210.439,133.098,252.214,691.969,8
2017,Kanada,36808500.0,1631871434752.0,0.027,6.863,73.401,14.54,216.781,143.742,255.803,713.345,8
2018,Kanada,37294997.0,1677189185536.0,0.028,6.99,61.32,15.213,231.731,101.589,261.649,680.668,8
2019,Kanada,37782931.0,1708858146816.0,0.028,7.195,58.777,15.657,234.935,99.272,263.306,681.297,8
2020,Kanada,38171901.0,1622144450560.0,0.028,6.713,48.575,16.158,224.905,89.206,228.175,615.787,8
2021,Kanada,38454058.0,1703443300352.0,0.029,7.379,45.795,16.971,230.942,85.726,237.083,626.038,8
2022,Kanada,38821260.0,1761295597568.0,0.029,6.752,38.198,17.495,239.741,107.143,246.265,657.755,8
2023,Kanada,39299099.0,1761295597568.0,0.029,6.752,36.769,17.495,237.269,104.724,248.853,654.023,8
1928,Japonia,62926919.0,221638213632.0,0.002,1.897,89.643,0.0,0.048,67.526,0.802,159.917,9
1929,Japonia,63798063.0,231794737152.0,0.002,2.112,91.864,0.0,0.051,68.936,0.854,163.817,9
1930,Japonia,64665549.0,214059745280.0,0.002,1.853,83.371,0.0,0.077,68.544,0.865,154.71,9
1931,Japonia,65529121.0,216533467136.0,0.002,1.788,75.138,0.0,0.139,68.246,0.839,146.15,9
1932,Japonia,66388515.0,233600040960.0,0.002,1.843,75.354,0.0,0.092,70.792,0.692,148.773,9
1933,Japonia,67243463.0,254404919296.0,0.002,2.366,88.273,0.0,0.084,70.806,0.619,162.149,9
1934,Japonia,68109421.0,255724781568.0,0.002,2.304,98.034,0.0,0.084,74.779,0.78,175.981,9
1935,Japonia,68986531.0,264856322048.0,0.002,2.904,102.442,0.0,0.073,69.773,0.964,176.155,9
1936,Japonia,69874936.0,279669735424.0,0.002,3.082,112.613,0.0,0.073,68.908,1.081,185.757,9
1937,Japonia,70774782.0,290452307968.0,0.002,2.984,121.268,0.0,0.095,71.457,1.085,196.888,9
1938,Japonia,71686216.0,305977491456.0,0.002,2.729,127.833,0.0,0.092,78.424,1.081,210.159,9
1939,Japonia,72625078.0,347620933632.0,0.002,2.508,124.151,0.0,0.099,73.509,0.989,201.256,9
1940,Japonia,73591941.0,356253958144.0,0.003,2.101,150.125,0.0,0.103,74.989,0.916,228.233,9
1941,Japonia,74587386.0,369006706688.0,0.003,2.882,150.832,0.0,0.099,73.67,0.791,228.275,9
1942,Japonia,75612006.0,370533728256.0,0.003,2.151,144.816,0.0,0.099,76.079,0.725,223.87,9
1943,Japonia,76666406.0,366773534720.0,0.003,1.861,147.949,0.0,0.081,80.428,0.747,231.066,9
1944,Japonia,77735509.0,371697713152.0,0.003,1.465,136.484,0.0,0.081,77.032,0.703,215.765,9
1945,Japonia,78819521.0,280326701056.0,0.003,0.578,75.306,0.0,0.073,73.55,0.678,150.186,9
1946,Japonia,79918650.0,213947006976.0,0.003,0.458,51.593,0.0,0.066,77.594,0.59,130.301,9
1947,Japonia,81033105.0,211776700416.0,0.003,0.611,68.795,0.0,0.07,74.005,0.557,144.038,9
1948,Japonia,82163102.0,229021270016.0,0.003,0.919,86.584,0.0,0.092,76.315,0.487,164.397,9
1949,Japonia,83270008.0,234992009216.0,0.003,1.621,96.103,0.0,0.103,73.684,0.594,172.104,9
1950,Japonia,86443279.0,256610910208.0,0.003,2.206,95.729,0.0,0.136,80.192,4.47,182.733,9
1951,Japonia,87849930.0,288620281856.0,0.003,3.238,111.001,0.0,0.161,69.379,9.057,192.837,9
1952,Japonia,89135134.0,321973420032.0,0.003,3.518,113.94,0.0,0.18,73.745,12.791,204.173,9
1953,Japonia,90324185.0,345711968256.0,0.004,4.332,119.179,0.0,0.216,73.644,22.175,219.546,9
1954,Japonia,91407672.0,365311000576.0,0.004,5.277,113.009,0.0,0.275,66.709,24.12,209.39,9
1955,Japonia,92425476.0,396713132032.0,0.004,5.222,108.89,0.0,0.344,70.25,27.579,212.286,9
1956,Japonia,93342005.0,426510417920.0,0.004,6.436,121.381,0.0,0.469,68.305,32.536,229.128,9
1957,Japonia,94108980.0,457723478016.0,0.004,7.501,136.042,0.0,0.638,75.553,44.106,263.84,9
1958,Japonia,94846958.0,484394336256.0,0.004,7.407,126.489,0.0,0.927,71.711,46.599,253.132,9
1959,Japonia,95622973.0,528525000704.0,0.004,8.533,125.851,0.0,1.172,85.241,57.364,278.162,9
1960,Japonia,96399754.0,597858254848.0,0.004,11.139,139.146,0.0,1.601,68.207,80.944,301.036,9
1961,Japonia,97217594.0,669824974848.0,0.004,12.175,160.866,0.0,2.045,70.675,108.045,353.806,9
1962,Japonia,98076406.0,729663012864.0,0.005,14.228,154.22,0.0,2.66,60.206,122.17,353.484,9
1963,Japonia,98958230.0,791534370816.0,0.005,14.802,155.343,0.0,3.671,62.508,151.448,387.772,9
1964,Japonia,99890178.0,883860307968.0,0.005,16.3,160.21,0.0,4.005,57.624,178.834,416.973,9
1965,Japonia,100916017.0,935329857536.0,0.005,16.158,165.748,0.0,3.609,52.779,201.454,439.749,9
1966,Japonia,101887833.0,1034825433088.0,0.005,18.913,170.454,0.0,3.701,50.598,226.712,470.378,9
1967,Japonia,102965529.0,1149408247808.0,0.006,21.239,181.502,0.0,3.909,51.887,283.262,541.799,9
1968,Japonia,104237475.0,1297449615360.0,0.006,23.565,200.137,0.0,4.228,42.755,334.631,605.316,9
1969,Japonia,105475170.0,1459365609472.0,0.006,25.4,221.022,0.0,4.719,46.463,402.704,700.309,9
1970,Japonia,106712370.0,1615677620224.0,0.006,28.267,229.266,0.04,7.676,42.653,504.49,812.393,9
1971,Japonia,107952031.0,1691571453952.0,0.007,29.269,206.388,0.04,8.094,36.249,555.853,835.893,9
1972,Japonia,109238963.0,1833991274496.0,0.007,32.528,200.216,0.077,7.984,29.518,620.242,890.564,9
1973,Japonia,110614742.0,1981290119168.0,0.008,38.189,214.385,0.081,10.582,28.384,651.026,942.647,9
1974,Japonia,112009690.0,1957033279488.0,0.008,35.609,229.191,0.062,14.161,27.352,635.279,941.655,9
1975,Japonia,113321198.0,2017465204736.0,0.008,33.082,213.422,0.11,17.155,24.289,606.028,894.086,9
1976,Japonia,114502794.0,2097612062720.0,0.009,35.637,208.383,0.092,20.683,16.971,644.761,926.527,9
1977,Japonia,115574280.0,2189767737344.0,0.009,37.527,204.52,0.103,24.684,16.433,668.696,951.963,9
1978,Japonia,116576941.0,2305153040384.0,0.01,44.215,174.739,0.103,34.504,16.937,651.504,922.001,9
1979,Japonia,117521561.0,2431613140992.0,0.01,46.044,190.938,0.099,40.89,11.222,679.159,968.352,9
1980,Japonia,118358761.0,2500143611904.0,0.01,45.568,224.299,0.077,47.932,9.854,630.659,958.389,9
1981,Japonia,118994055.0,2579316867072.0,0.011,43.795,247.358,0.073,48.592,7.542,590.551,937.911,9
1982,Japonia,119485773.0,2658129674240.0,0.011,41.458,242.63,0.092,49.746,8.722,566.788,909.435,9
1983,Japonia,119948942.0,2719951093760.0,0.012,41.612,229.795,0.092,53.348,3.777,559.573,888.196,9
1984,Japonia,120384396.0,2826577117184.0,0.012,40.462,260.176,0.095,71.697,9.579,568.097,950.106,9
1985,Japonia,120832158.0,2950873743360.0,0.013,36.915,271.788,0.099,76.981,6.522,529.481,921.786,9
1986,Japonia,121366733.0,3036325871616.0,0.013,34.974,257.466,0.0,81.253,6.512,540.356,920.559,9
1987,Japonia,121943589.0,3162653851648.0,0.013,32.839,250.394,0.0,82.707,7.688,536.237,909.866,9
1988,Japonia,122476957.0,3358737825792.0,0.014,35.069,278.512,0.0,86.207,3.491,584.91,988.189,9
1989,Japonia,122947411.0,3520997621760.0,0.014,36.292,277.105,0.0,92.725,0.698,615.156,1021.976,9
1990,Japonia,123399767.0,3699821510656.0,0.015,38.701,318.767,0.192,116.917,3.359,671.548,1160.752,9
1991,Japonia,123889870.0,3824677552128.0,0.015,40.347,318.635,0.216,125.064,1.923,673.907,1171.016,9
1992,Japonia,124383707.0,3856515727360.0,0.016,41.666,313.007,0.209,126.491,0.968,687.491,1179.86,9
1993,Japonia,124839954.0,3860865220608.0,0.016,41.224,318.422,0.212,129.389,-2.579,672.881,1169.314,9
1994,Japonia,125286862.0,3893220605952.0,0.017,42.297,326.205,0.232,135.69,3.294,712.947,1230.187,9
1995,Japonia,125672659.0,3997430972416.0,0.017,42.142,336.139,0.523,140.649,-5.535,710.223,1233.66,9
1996,Japonia,125975305.0,4118875209728.0,0.018,42.56,344.945,0.572,146.434,-5.362,707.765,1246.332,9
1997,Japonia,126265926.0,4160709459968.0,0.018,39.926,350.478,0.582,151.069,-4.482,692.896,1239.913,9
1998,Japonia,126549181.0,4111245246464.0,0.019,35.363,328.119,0.5,154.61,-2.685,677.016,1201.909,9
1999,Japonia,126801566.0,4098283012096.0,0.02,35.01,346.12,0.541,163.856,-10.899,686.568,1230.296,9
2000,Japonia,127027796.0,4209652006912.0,0.02,35.086,372.971,0.513,168.728,6.705,677.303,1270.698,9
2001,Japonia,127260144.0,4224163250176.0,0.021,34.374,382.016,0.55,167.865,-5.943,655.581,1243.451,9
2002,Japonia,127484599.0,4226576285696.0,0.021,32.417,399.142,0.526,171.773,-11.873,666.48,1267.122,9
2003,Japonia,127671255.0,4288493387776.0,0.022,31.935,412.504,0.508,177.168,-13.452,656.529,1274.042,9
2004,Japonia,127815770.0,4380398190592.0,0.022,31.276,420.467,0.479,176.08,-17.559,645.38,1265.336,9
2005,Japonia,127913331.0,4450600615936.0,0.023,32.28,430.874,0.509,174.702,-14.829,642.359,1275.467,9
2006,Japonia,127997248.0,4514225061888.0,0.024,31.991,427.99,0.555,191.339,-6.755,605.588,1260.54,9
2007,Japonia,128087684.0,4590814101504.0,0.024,30.658,445.459,0.617,207.774,-12.583,608.164,1290.413,9
2008,Japonia,128155991.0,4542408163328.0,0.025,28.553,426.743,0.567,203.313,-9.902,563.407,1222.294,9
2009,Japonia,128192471.0,4298103324672.0,0.025,25.308,411.9,0.503,201.07,-13.042,516.483,1150.351,9
2010,Japonia,128185273.0,4480295763968.0,0.026,24.321,446.507,0.476,212.062,-12.946,522.307,1201.852,9
2011,Japonia,128096431.0,4468738359296.0,0.026,24.983,430.97,0.479,246.731,-10.531,552.861,1254.265,9
2012,Japonia,127928283.0,4530172329984.0,0.027,25.625,450.458,0.492,255.914,-8.698,564.639,1297.3,9
2013,Japonia,127723641.0,4621006798848.0,0.027,26.805,481.655,0.441,255.328,-7.069,541.959,1308.229,9
2014,Japonia,127486600.0,4634693337088.0,0.028,26.557,473.225,0.451,257.329,-4.952,497.145,1258.854,9
2015,Japonia,127275868.0,4707025158144.0,0.029,25.936,466.243,0.427,245.234,-4.236,476.886,1218.964,9
2016,Japonia,127159949.0,4742508969984.0,0.029,25.969,457.145,0.46,250.763,-5.933,460.518,1197.251,9
2017,Japonia,127064685.0,4821960097792.0,0.03,26.429,459.108,0.439,244.803,-4.065,448.259,1183.419,9
2018,Japonia,126913433.0,4852985364480.0,0.03,26.183,442.511,0.428,233.268,-0.549,431.787,1141.931,9
2019,Japonia,126699422.0,4833468219392.0,0.031,25.328,432.809,0.389,223.405,-1.399,415.812,1104.079,9
2020,Japonia,126304536.0,4626661244928.0,0.031,24.49,399.497,0.394,221.932,1.124,387.124,1041.607,9
