year,country_index,country_t-2,population_t-2,gdp_t-2,temperature_change_from_co2_t-2,total_ghg_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,country_t-1,population_t-1,gdp_t-1,temperature_change_from_co2_t-1,total_ghg_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2
1942,Wielka Brytania,41,0.03518129444652932,0.06106052268726153,0.09933774834437085,0.08502463905397728,0.00896961570010697,0.10643228512733953,0.0,0.0,0.05822039382453545,0.011562028506387458,41,0.03508169811440294,0.06039462212532473,0.09803921568627451,0.077989713345253,0.007630502438910246,0.09440537272746362,0.0,0.0,0.04368429481189417,0.013117548940269522,0.08251943484114846
1943,Wielka Brytania,41,0.03534067339165174,0.06664238831575152,0.09933774834437085,0.08519273641889447,0.0087137342736166,0.1046690894691269,0.0,0.0,0.05888416381621521,0.013117548940269522,41,0.0352323485269134,0.06190127433998038,0.09803921568627451,0.07753020089826652,0.0077538838555416345,0.09445980290567454,0.0,3.4035253715798825e-06,0.044034756773568995,0.010293687169669769,0.08237973550981194
1944,Wielka Brytania,41,0.03549224153980706,0.06830431071936846,0.09933774834437085,0.08469235963543754,0.008854631008456234,0.10472943727591356,0.0,3.4035253715798825e-06,0.059356568364611256,0.010293687169669769,41,0.035375164002387716,0.0632644348807253,0.10457516339869281,0.07734658768262143,0.0074454303139631604,0.0916231140300002,0.0,0.0,0.044632462447932224,0.014764570576144649,0.0824235521442292
1945,Wielka Brytania,41,0.03563592702187675,0.06980795371033457,0.10596026490066225,0.08449241773865715,0.008502389171357152,0.10158434464881079,0.0,0.0,0.060162244614957935,0.014764570576144649,41,0.035518533470985145,0.06076477303459066,0.10457516339869281,0.07744798244791892,0.004871438691135896,0.08919842287029696,0.0,3.4035253715798825e-06,0.044931486743999195,0.019736531993533916,0.07752474422715841
1946,Wielka Brytania,41,0.035780169871897596,0.06705068565394567,0.10596026490066225,0.08460282951716643,0.005562991772116536,0.09889604197495092,0.0,3.4035253715798825e-06,0.0605653138578164,0.019736531993533916,41,0.0356624576926414,0.058089057065654155,0.10457516339869281,0.07292932353391678,0.004328985911118581,0.08417902269086085,0.0,3.4035253715798825e-06,0.04505939507247739,0.01509413334695949,0.07905900261439251
1947,Wielka Brytania,41,0.03592497085443469,0.06409921996648607,0.10596026490066225,0.07968232730279687,0.004943531989631944,0.09333093448917841,0.0,3.4035253715798825e-06,0.060737727650919844,0.01509413334695949,41,0.035806938947163545,0.05555752353110551,0.10457516339869281,0.07497927160205886,0.007028486216381223,0.08707197646985435,0.0,0.0,0.04506179549687242,0.01346335218416538,0.08208221515265768
1948,Wielka Brytania,41,0.0360703322631833,0.06130679563945879,0.10596026490066225,0.08191457678225623,0.00802625537776115,0.09653840911880222,0.0,0.0,0.0607409632985116,0.01346335218416538,41,0.035951980274294394,0.05473060034874365,0.10457516339869281,0.07849728643158262,0.007436921250747203,0.09212807115145513,0.0,0.0,0.04558817427492609,0.011809596693598125,0.08465779478993167
1949,Wielka Brytania,41,0.036216257156403794,0.06039465271127049,0.10596026490066225,0.08574544786332328,0.008492672155161314,0.10214420051926237,0.0,0.0,0.061450494591846164,0.011809596693598125,41,0.03609758395384103,0.056471206229392806,0.11111111111111112,0.08131548561740422,0.009100443109466972,0.09331636144655435,0.0,0.0,0.04585119220506757,0.01643139766699663,0.0853880720302194
1950,Wielka Brytania,41,0.03636274782779145,0.06231463920900339,0.11258278145695365,0.08881426885607395,0.010392348821447397,0.10346168128989706,0.0,0.0,0.061805029120828324,0.01643139766699663,41,0.03624768417290686,0.05858545135971731,0.11111111111111112,0.08237761376169064,0.009849240672471267,0.09439558752688637,0.0,0.0,0.0463172174554747,0.015795246453140097,0.08389167987025947
1951,Wielka Brytania,41,0.036513762430821065,0.06464677088122701,0.11258278145695365,0.08997085181251506,0.011247446246681031,0.1046582404252102,0.0,0.0,0.06243320698899879,0.015795246453140097,41,0.036452438967301465,0.05822658747664741,0.11111111111111112,0.08145571242047522,0.010421475173744435,0.09253639941720976,0.0,0.0,0.044840613534758655,0.016623906689371644,0.08979624183103764
1952,Wielka Brytania,41,0.0367197645551774,0.06425092376978256,0.11258278145695365,0.0889669659965655,0.011900915585851053,0.10259692208103648,0.0,0.0,0.0604428214847,0.016623906689371644,41,0.036624033967557146,0.05996971463303803,0.11111111111111112,0.0876249726437882,0.01092350990348595,0.09908636805360332,0.0,1.2763220143424558e-05,0.04456627931818345,0.021408904611779418,0.08771441075011373
1953,Wielka Brytania,41,0.036892404881798874,0.06617369137691793,0.11258278145695365,0.09568485711593473,0.01247421954140542,0.10985900085278005,0.0,1.2763220143424558e-05,0.06007303318849958,0.021408904611779418,41,0.03673757520011134,0.05986616963751875,0.1176470588235294,0.08573047257870857,0.01189779764171313,0.09576184615748425,0.0,1.531586417210947e-05,0.04496166350782247,0.021131232133003934,0.08935510028329346
1954,Wielka Brytania,41,0.0370066377874427,0.0660594754044712,0.11920529801324503,0.09362187959478095,0.013586817895828728,0.10617303818207996,0.0,1.531586417210947e-05,0.06060599057039844,0.021131232133003934,41,0.03691297291859485,0.062225386063446714,0.1176470588235294,0.0876246130878829,0.01198288827387271,0.09752970572843989,0.0,1.8719389543689353e-05,0.045177015867834,0.022235980411612812,0.09101418198400638
1955,Wielka Brytania,41,0.037183103997778286,0.06866182423792569,0.11920529801324503,0.09568446558480527,0.013683988057787096,0.1081330987830311,0.0,1.8719389543689353e-05,0.060896274382915776,0.022235980411612812,41,0.037088676891164254,0.06477057593262789,0.1176470588235294,0.08958107662064431,0.012778485684564772,0.09865908096173029,0.0,2.807908431553403e-05,0.04499458361381149,0.024958834361830613,0.09451099283625074
1956,Wielka Brytania,41,0.037359878327845444,0.0714693122725932,0.11920529801324503,0.0978149169706036,0.014592529072097831,0.10938525926841733,0.0,2.807908431553403e-05,0.060650365165942494,0.024958834361830613,41,0.03725472512076748,0.06712871477221155,0.1176470588235294,0.0933167426248492,0.013374120109681826,0.10191551417049938,0.0,2.2122914915269233e-05,0.04565127114473839,0.028007289991867884,0.09419981358997259
1957,Wielka Brytania,41,0.03752693809386953,0.07407047246750856,0.11920529801324503,0.10188279489537376,0.015272720205806403,0.11299573067519703,0.0,2.2122914915269233e-05,0.06153554589997226,0.028007289991867884,41,0.037424730335545026,0.067972008977881,0.1241830065359477,0.09329660749415182,0.013637901069376521,0.10088643724312574,0.0,3.148260968711391e-05,0.0457634052557635,0.028912399284310084,0.09388214299044742
1958,Wielka Brytania,41,0.037697978950321155,0.07500067355811839,0.12582781456953643,0.1018608691521237,0.015573947707877341,0.11185477288995702,0.0,3.148260968711391e-05,0.06168669686604419,0.028912399284310084,41,0.03761885742921698,0.06905863737682315,0.1241830065359477,0.09305294844231991,0.012778485684564772,0.09837836802017055,0.0,5.275464325948818e-05,0.04619582456464017,0.032505901035310356,0.09186576638809744
1959,Wielka Brytania,41,0.03789328863188336,0.07619928599371695,0.12582781456953643,0.10159554155672255,0.014592529072097831,0.10907402732105688,0.0,5.275464325948818e-05,0.06226957566793011,0.032505901035310356,41,0.03783143272186949,0.06891667228356682,0.1241830065359477,0.09115113740716566,0.012461523079770342,0.09354407121832066,0.0,9.955311711871157e-05,0.04602025066603204,0.03623289155285462,0.09168617228159705
1960,Wielka Brytania,41,0.038107158895588605,0.07604269048566323,0.12582781456953643,0.099524602902603,0.014230570218802911,0.10371414758270871,0.0,9.955311711871157e-05,0.062032911158361834,0.03623289155285462,41,0.038052442540823087,0.07171119214696205,0.1241830065359477,0.09031816622653027,0.01344431988121348,0.08675375359274852,0.0,0.00011571986263371601,0.04889458742019875,0.04539093393415162,0.09559329075366234
1961,Wielka Brytania,41,0.03832951506723608,0.07912520357206287,0.12582781456953643,0.0986175557860079,0.015352885589422056,0.0961855891697611,0.0,0.00011571986263371601,0.06590736803180179,0.04539093393415162,41,0.03828960555295227,0.07585306104378105,0.13071895424836602,0.09516581879389129,0.014195244710021763,0.09133913935491474,0.0,0.00012763220143424559,0.04597189926036066,0.05115550965971457,0.09616263652803478
1962,Wielka Brytania,41,0.03856812283445253,0.08369391866471013,0.13245033112582782,0.10389630898383839,0.01621041226870465,0.10126949635347812,0.0,0.00012763220143424559,0.06196773597115651,0.05115550965971457,41,0.038552849558202755,0.07836615818119554,0.13071895424836602,0.09753661058153854,0.015114223537345218,0.09028519170940727,0.0,0.00012763220143424559,0.045839875918633845,0.054851999776594475,0.0965690222886023
1963,Wielka Brytania,41,0.03883297047558351,0.08646600660544919,0.13245033112582782,0.10647793474115748,0.01725985001785502,0.10010096391494983,0.0,0.00012763220143424559,0.061789775353610056,0.054851999776594475,41,0.03884761645610081,0.07916089192532391,0.13071895424836602,0.09840038371806215,0.01498233305749787,0.08914990458410145,0.0,0.00018379037006531365,0.045390310721221225,0.05876634989821978,0.09785633877939838
1964,Wielka Brytania,41,0.039129533041243884,0.08734264276701963,0.13245033112582782,0.10741852302451013,0.01710923626681955,0.09884224879886391,0.0,0.00018379037006531365,0.06118378478321161,0.05876634989821978,41,0.03913647105427614,0.08221164938770431,0.13725490196078433,0.09910607210821769,0.014782370071922858,0.08955639812474786,0.0,0.0002459047080966465,0.04506968260559895,0.062126147280493184,0.09819280725603464
1965,Wielka Brytania,41,0.03942014729049822,0.0907078003829664,0.13907284768211922,0.10818696812127443,0.016880886386217386,0.09929293616490366,0.0,0.0002459047080966465,0.06075159471202736,0.062126147280493184,41,0.03940715331012894,0.08657563231593908,0.13725490196078433,0.09930850208290735,0.017834996500647755,0.08689319270097426,0.0,0.00043650212890511994,0.04438624748855598,0.0684183403266395,0.09988272288467082
1966,Wielka Brytania,41,0.03969247849473746,0.0955215197847547,0.13907284768211922,0.10840740014716352,0.020366865946473817,0.09634018804557412,0.0,0.00043650212890511994,0.05983035961911805,0.0684183403266395,41,0.03967304797109058,0.08883692653663147,0.13725490196078433,0.10122193875899997,0.017834996500647755,0.0860830596365165,0.0,0.0014337350627780256,0.043786141389797716,0.07517081214644789,0.0993066152839994
1967,Wielka Brytania,41,0.03995999293890498,0.09801585490070387,0.13907284768211922,0.11049099830780247,0.020366865946473817,0.09544197761797035,0.0,0.0014337350627780256,0.05902144772117962,0.07517081214644789,41,0.03991419380620778,0.09053800019517542,0.13725490196078433,0.10056730730739848,0.017635033515072743,0.08222504045059217,0.0,0.0014031033344338065,0.04370967072692738,0.0811199747123951,0.09547915112573588
