country_order,year,country_index,country_t-2,population_t-2,gdp_t-2,temperature_change_from_co2_t-2,total_ghg_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,country_t-1,population_t-1,gdp_t-1,temperature_change_from_co2_t-1,total_ghg_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2
9,1930,Japonia,18,0.0465107078862444,0.07253790065290282,0.043303891049305064,0.0479861055771357,0.03821657094461597,0.0927305655950243,0.0,0.0001146844260770515,0.08269926861716748,0.0007316489371506221,18,0.04684611217250781,0.07513716669430535,0.04271258900829708,0.0486483723812319,0.0397182163456099,0.09373048272011669,0.0,0.00012018834630930118,0.0827873846371699,0.0007684493080284141,0.07657490277251429
9,1931,Japonia,18,0.0471767541776605,0.07513716669430535,0.04271258900829708,0.0486483723812319,0.04196693719359492,0.09373048272011669,0.0,0.00012018834630930118,0.0827873846371699,0.0007684493080284141,18,0.04750534575056205,0.06758068372142442,0.042139601172247756,0.04442886316834868,0.03437999163263514,0.08392378001119272,0.0,0.0001790265460277621,0.08254418483954487,0.0007679058652658412,0.07461423881454463
9,1932,Japonia,18,0.047840003689974625,0.06758068372142442,0.042139601172247756,0.04442886316834868,0.03632647893874002,0.08392378001119272,0.0,0.0001790265460277621,0.08254418483954487,0.0007679058652658412,18,0.04816160494029819,0.06744325948828009,0.04158426670250078,0.04075654170189802,0.0327368198420605,0.0746394247357541,0.0,0.0003189188097295778,0.08232512890868013,0.0007350086746477295,0.07474287231786782
9,1933,Japonia,18,0.04850026069452356,0.06744325948828009,0.04158426670250078,0.04075654170189802,0.03459027591458396,0.0746394247357541,0.0,0.0003189188097295778,0.08232512890868013,0.0007350086746477295,18,0.048814689118692245,0.07245669431730584,0.041045961706545855,0.04094998838885981,0.03330701382044365,0.07388501256243293,0.0,0.00020835050130932345,0.08261933041003137,0.0005983812634789092,0.07680351982135065
9,1934,Japonia,18,0.04915732334612334,0.07245669431730584,0.041045961706545855,0.04094998838885981,0.03519275248782052,0.07388501256243293,0.0,0.00020835050130932345,0.08261933041003137,0.0005983812634789092,18,0.0494643946229774,0.0786483620534452,0.04052409443047936,0.04496571045228094,0.042215115844523504,0.08545172029683713,0.0,0.00018781440187050136,0.08246140313302668,0.0005284518517493838,0.07888833934992165
9,1935,Japonia,18,0.04981098674132965,0.0786483620534452,0.04052409443047936,0.04496571045228094,0.04460520331153473,0.08545172029683713,0.0,0.00018781440187050136,0.08246140313302668,0.0005284518517493838,18,0.05012246701928661,0.07797637531345057,0.04000886227537369,0.049013129752387224,0.04058621977497891,0.09369416169201959,0.0,0.00018542648869451097,0.08299311546331054,0.0006574341517430948,0.07852163205283591
9,1936,Japonia,18,0.050473067998185114,0.07797637531345057,0.04000886227537369,0.049013129752387224,0.04288408425496291,0.09369416169201959,0.0,0.00018542648869451097,0.08299311546331054,0.0006574341517430948,18,0.050789014218488845,0.07995628404576226,0.03950018075911724,0.04842563122610026,0.0505051449016065,0.09666221368202271,0.0,0.00015909562237977046,0.08196950513728109,0.0008021906085439771,0.07979060985351186
9,1937,Japonia,18,0.05114367568493262,0.07995628404576226,0.03950018075911724,0.04842563122610026,0.053364587815218106,0.09666221368202271,0.0,0.00015909562237977046,0.08196950513728109,0.0008021906085439771,18,0.05146414489138878,0.08377400073435709,0.03899796694546446,0.05107744827556361,0.05291935322158212,0.10490836052632939,0.0,0.00015707284633886934,0.08167092594301616,0.0008881148198454906,0.08128354112614583
9,1938,Japonia,18,0.05182291913438014,0.08377400073435709,0.03899796694546446,0.05107744827556361,0.055915481038998786,0.10490836052632939,0.0,0.00015707284633886934,0.08167092594301616,0.0008881148198454906,18,0.05214796998859818,0.0861477087866386,0.03850213829615815,0.05394697188948555,0.05058521437398964,0.1115348711082443,0.0,0.00020181095691437166,0.08194867135867431,0.0008800676234422761,0.08309426035774065
9,1939,Japonia,18,0.05251090997303093,0.0861477087866386,0.03850213829615815,0.05394697188948555,0.053449190570019275,0.1115348711082443,0.0,0.00020181095691437166,0.08194867135867431,0.0008800676234422761,18,0.052840601220664495,0.08999367799956544,0.03801261381189997,0.05743786620228185,0.04567422589837496,0.1160781076924878,0.0,0.0001929531387377392,0.08294656875639231,0.0008656750162033268,0.08115379356704404
