country,population,gdp,primary_energy_consumption,cement_co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2,trade_co2,co2,co2_including_luc
New Caledonia,52.32558139534884,100.0,75.5813953488372,57.55813953488372,57.55813953488372,100.0,57.55813953488372,57.55813953488372,100.0,57.55813953488372,100.0,100.0,57.55813953488372,100.0
New Zealand,0.0,12.716763005780345,66.47398843930635,45.08670520231214,16.184971098265898,81.5028901734104,16.184971098265898,16.184971098265898,0.0,16.184971098265898,80.92485549132948,81.5028901734104,16.184971098265898,16.184971098265898
Norway,0.0,2.6178010471204187,69.63350785340315,49.73821989528796,0.0,90.0523560209424,0.0,0.0,9.424083769633508,0.0,82.72251308900523,90.0523560209424,0.0,9.424083769633508
Oman,0.0,60.115606936416185,66.47398843930635,65.89595375722543,65.89595375722543,81.5028901734104,65.89595375722543,65.89595375722543,0.0,65.89595375722543,100.0,81.5028901734104,65.89595375722543,65.89595375722543
Panama,0.0,34.68208092485549,75.72254335260115,56.64739884393064,56.64739884393064,84.97109826589595,56.64739884393064,56.64739884393064,0.0,56.64739884393064,100.0,84.97109826589595,56.64739884393064,56.64739884393064
Poland,0.0,60.0896860986547,73.99103139013454,57.399103139013455,0.0,85.65022421524664,0.0,0.0,22.421524663677133,0.0,85.20179372197309,85.65022421524664,0.0,22.421524663677133
Portugal,0.0,9.248554913294797,66.47398843930635,45.08670520231214,11.560693641618498,81.5028901734104,11.560693641618498,11.560693641618498,0.0,11.560693641618498,80.92485549132948,81.5028901734104,11.560693641618498,11.560693641618498
Qatar,0.0,60.115606936416185,66.47398843930635,57.22543352601156,57.22543352601156,81.5028901734104,57.22543352601156,57.22543352601156,0.0,57.22543352601156,100.0,81.5028901734104,57.22543352601156,57.22543352601156
Romania,0.0,39.884393063583815,66.47398843930635,45.08670520231214,4.624277456647398,81.5028901734104,4.624277456647398,4.624277456647398,0.0,4.624277456647398,80.92485549132948,81.5028901734104,4.624277456647398,4.624277456647398
Saint Kitts and Nevis,0.0,100.0,75.72254335260115,75.72254335260115,75.72254335260115,100.0,75.72254335260115,75.72254335260115,0.0,75.72254335260115,100.0,100.0,75.72254335260115,75.72254335260115
Saudi Arabia,0.0,58.95953757225434,66.47398843930635,63.005780346820806,49.71098265895954,81.5028901734104,49.71098265895954,49.71098265895954,0.0,49.71098265895954,100.0,81.5028901734104,49.71098265895954,49.71098265895954
Seychelles,0.0,60.115606936416185,75.72254335260115,65.3179190751445,65.3179190751445,100.0,65.3179190751445,65.3179190751445,0.0,65.3179190751445,100.0,100.0,65.3179190751445,65.3179190751445
Singapore,16.483516483516482,64.1025641025641,78.75457875457876,0.0,73.26007326007326,88.27838827838828,73.26007326007326,73.26007326007326,36.63003663003663,73.26007326007326,100.0,88.27838827838828,0.0,36.63003663003663
Sint Maarten (Dutch part),57.55813953488372,100.0,100.0,43.604651162790695,43.604651162790695,100.0,43.604651162790695,43.604651162790695,100.0,43.604651162790695,100.0,100.0,43.604651162790695,100.0
Slovakia,0.0,80.34682080924856,66.47398843930635,5.780346820809249,5.780346820809249,81.5028901734104,5.780346820809249,5.780346820809249,0.0,5.780346820809249,80.92485549132948,81.5028901734104,5.780346820809249,5.780346820809249
Slovenia,0.0,61.27167630057804,80.92485549132948,46.24277456647399,26.589595375722542,81.5028901734104,26.589595375722542,26.589595375722542,0.0,26.589595375722542,80.92485549132948,81.5028901734104,26.589595375722542,26.589595375722542
South Korea,0.0,38.15028901734104,66.47398843930635,34.104046242774565,34.104046242774565,81.5028901734104,34.104046242774565,34.104046242774565,0.0,34.104046242774565,80.92485549132948,81.5028901734104,34.104046242774565,34.104046242774565
Spain,0.0,11.398963730569948,69.94818652849742,50.77720207253886,0.0,83.41968911917098,0.0,0.0,10.362694300518134,0.0,82.90155440414507,83.41968911917098,0.0,10.362694300518134
Sweden,0.0,2.1621621621621623,68.64864864864865,37.83783783783784,0.0,82.70270270270271,0.0,0.0,6.486486486486487,0.0,82.16216216216216,82.70270270270271,0.0,6.486486486486487
Switzerland,0.0,2.8901734104046244,66.47398843930635,45.08670520231214,4.624277456647398,81.5028901734104,4.624277456647398,4.624277456647398,0.0,4.624277456647398,80.92485549132948,81.5028901734104,4.624277456647398,4.624277456647398
Taiwan,0.0,36.04651162790697,66.27906976744185,26.16279069767442,26.16279069767442,81.3953488372093,26.16279069767442,26.16279069767442,100.0,26.16279069767442,80.81395348837209,81.3953488372093,26.16279069767442,100.0
Trinidad and Tobago,0.0,60.115606936416185,66.47398843930635,34.104046242774565,34.104046242774565,81.5028901734104,34.104046242774565,34.104046242774565,0.0,34.104046242774565,100.0,81.5028901734104,34.104046242774565,34.104046242774565
Turks and Caicos Islands,52.32558139534884,100.0,75.5813953488372,80.81395348837209,80.81395348837209,100.0,80.81395348837209,80.81395348837209,100.0,80.81395348837209,100.0,100.0,80.81395348837209,100.0
United Arab Emirates,0.0,61.27167630057804,66.47398843930635,63.005780346820806,63.005780346820806,81.5028901734104,63.005780346820806,63.005780346820806,0.0,63.005780346820806,100.0,81.5028901734104,63.005780346820806,63.005780346820806
United Kingdom,16.483516483516482,27.106227106227106,78.75457875457876,65.93406593406593,0.0,88.27838827838828,0.0,0.0,36.63003663003663,0.0,87.91208791208791,88.27838827838828,0.0,36.63003663003663
United States,0.0,10.762331838565023,73.99103139013454,0.0,0.0,85.65022421524664,0.0,0.0,22.421524663677133,0.0,46.63677130044843,85.65022421524664,0.0,22.421524663677133
Uruguay,0.0,13.294797687861271,75.72254335260115,47.398843930635834,47.398843930635834,81.5028901734104,47.398843930635834,47.398843930635834,0.0,47.398843930635834,100.0,81.5028901734104,47.398843930635834,47.398843930635834
