year,country_index,population,gdp,temperature_change_from_co2,cement_co2_lag_1,cement_co2_lag_2,cement_co2_lag_3,coal_co2_lag_1,coal_co2_lag_2,coal_co2_lag_3,flaring_co2_lag_1,flaring_co2_lag_2,flaring_co2_lag_3,gas_co2_lag_1,gas_co2_lag_2,gas_co2_lag_3,land_use_change_co2_lag_1,land_use_change_co2_lag_2,land_use_change_co2_lag_3,oil_co2_lag_1,oil_co2_lag_2,oil_co2_lag_3,co2_including_luc
1990,United Kingdom,0.0413770224359449,0.13926521510688988,0.1830065359477124,0.0162297249801449,0.01741805240306582,0.017237986731414384,0.04648383033038028,0.050919460982995386,0.058606497166841076,0.0,0.0,0.053707521447097166,0.08912558868766379,0.09010698305073205,0.09150800223686417,0.09898493952792359,0.10015049510738659,0.10557107960651232,0.08817393570649695,0.08177714368779218,0.07673258993236036,0.0986932584331138
1991,United Kingdom,0.04148923559287926,0.1376335887782048,0.1830065359477124,0.014165571156994142,0.01777968758974403,0.01989073215287782,0.047768352696003546,0.05012767629950337,0.05645501413754212,0.0902706656912948,0.0,0.0,0.09662265854881309,0.08912558868766379,0.09010698305073205,0.09834715206176672,0.09898493952792359,0.10015049510738659,0.08626757285906501,0.08817393570649695,0.08177714368779218,0.09945264777813648
1992,United Kingdom,0.04160203614285567,0.1379741148718758,0.1830065359477124,0.011639264361209442,0.015518404040103217,0.02030370534120088,0.04794472640713328,0.0515128917795055,0.05557715300866334,0.08326128882090843,0.0902706656912948,0.0,0.10358094035114002,0.09662265854881309,0.08912558868766379,0.09779461944468239,0.09834715206176672,0.09898493952792359,0.0865012637129991,0.08626757285906501,0.08817393570649695,0.0960306083520642
1993,United Kingdom,0.04170612821444978,0.141285828552594,0.1895424836601307,0.010594565624751206,0.01275083122911291,0.017721408287157264,0.044943537727716795,0.051703091344309324,0.057112957944484996,0.08570858548912683,0.08326128882090843,0.0902706656912948,0.1040941934308713,0.10358094035114002,0.09662265854881309,0.0929419946305684,0.09779461944468239,0.09834715206176672,0.08652384062600631,0.0865012637129991,0.08626757285906501,0.09442329433965832
1994,United Kingdom,0.041810379936460446,0.14664505688836973,0.1895424836601307,0.010728551150430794,0.011606362226566573,0.014560948769461362,0.03926082590534724,0.04846664087182752,0.05732383447209671,0.08826228636031123,0.08570858548912683,0.08326128882090843,0.11711277693748784,0.1040941934308713,0.10358094035114002,0.09347260457217695,0.0929419946305684,0.09779461944468239,0.0868074383402721,0.08652384062600631,0.0865012637129991,0.09424137414778536
1995,United Kingdom,0.041919171152390904,0.15020941856956851,0.1895424836601307,0.012365504746777067,0.011753143567041848,0.01325401009112132,0.036933751538780285,0.04233846389694242,0.05373554320482598,0.09876970140320543,0.08826228636031123,0.08570858548912683,0.12380634612323693,0.11711277693748784,0.1040941934308713,0.09515050119701866,0.09347260457217695,0.0929419946305684,0.08545005095648874,0.0868074383402721,0.08652384062600631,0.0946610464974581
1996,United Kingdom,0.0420307908917392,0.15387600727421755,0.1895424836601307,0.01220433375211901,0.013546428639804974,0.013421628620499504,0.03434826038430943,0.039828971246636855,0.04694116025033959,0.11093968211744364,0.09876970140320543,0.08826228636031123,0.1312957554906589,0.12380634612323693,0.11711277693748784,0.09971082367145541,0.09515050119701866,0.09347260457217695,0.0838098580308258,0.08545005095648874,0.0868074383402721,0.09798659236994633
1997,United Kingdom,0.04216002338553278,0.15854557649240236,0.19607843137254902,0.012458712068988954,0.013369865578073847,0.015469489783772099,0.0327174179342385,0.03704080463589525,0.04415885579707033,0.11580767440313894,0.11093968211744364,0.09876970140320543,0.151118559759086,0.1312957554906589,0.12380634612323693,0.10220473099456276,0.09971082367145541,0.09515050119701866,0.08590792659572234,0.0838098580308258,0.08545005095648874,0.0941110581115018
1998,United Kingdom,0.04230169656272962,0.16343163003658037,0.19607843137254902,0.013029606917536763,0.013648537398396469,0.015267861697708485,0.02924986918477159,0.03528212120013683,0.041067582197771894,0.09591008844849372,0.11580767440313894,0.11093968211744364,0.155667190701182,0.151118559759086,0.1312957554906589,0.09931621551289113,0.10220473099456276,0.09971082367145541,0.08228413401497126,0.08590792659572234,0.0838098580308258,0.09343572758377655
1999,United Kingdom,0.042449963603357406,0.16868507446517816,0.19607843137254902,0.013278159776768463,0.014273953544769374,0.01558609397812214,0.02912869496308439,0.03154275290732165,0.039117708881902365,0.09906231296136198,0.09591008844849372,0.11580767440313894,0.16287997112845032,0.155667190701182,0.151118559759086,0.09474249584788585,0.09931621551289113,0.10220473099456276,0.08117152789852905,0.08228413401497126,0.08590792659572234,0.09249541282578388
