country,year,residual
Australia,1978,-2.832543423279746e-07
Australia,1979,-3.170459192166447e-07
Australia,1980,3.2975795771874775e-08
Australia,1981,3.7274160877182828e-06
Australia,1982,-3.9882874927930265e-06
Australia,1983,9.808085715660015e-06
Australia,1984,-4.251542359521779e-06
Australia,1985,-4.1304070759559815e-06
Australia,1986,-3.868923507101589e-06
Australia,1987,-2.538877757241567e-06
Australia,1988,-1.1188077769718124e-06
Australia,1989,-3.718535069444641e-07
Australia,1990,1.3355102383104937e-06
Australia,1991,-2.085391330973495e-06
Australia,1992,5.069774777814927e-06
Australia,1993,3.4663999274549903e-06
Australia,1994,-3.991935369124694e-07
Australia,1995,7.819203879419065e-06
Australia,1996,8.094841080000644e-07
Australia,1997,-3.650619816754244e-06
Australia,1998,3.2517486930343066e-06
Australia,1999,-2.373466398277542e-06
Australia,2000,1.165504927685258e-06
Australia,2001,-5.390253811317986e-06
Australia,2002,-3.714109174278591e-06
Australia,2003,7.759527987040856e-06
Belarus,1982,1.988792052825591e-05
Belarus,1983,1.0985816752102349e-07
Belarus,1984,2.244007710216191e-07
Belarus,1985,7.307143348630674e-07
Belarus,1986,1.2811682739665824e-06
Belarus,1987,-1.642757224454432e-06
Belarus,1988,-7.361467395642703e-08
Belarus,1989,-2.4606843952014814e-07
Belarus,1990,1.6475987086181537e-07
Belarus,1991,-8.34580184783296e-07
Belarus,1992,-6.183424198274931e-07
Belarus,1993,-4.324486692186096e-07
Belarus,1994,3.395037447043764e-07
Belarus,1995,-5.86190631069621e-07
Belarus,1996,3.901244548391537e-07
