country,year,residual
Colombia,1937,-2.8406592727933127e-07
Colombia,1938,-7.805009550007816e-07
Colombia,1939,4.120723814543581e-07
Colombia,1940,8.001657477998968e-06
Colombia,1941,3.458759496941778e-06
Colombia,1942,4.798872707564391e-06
Colombia,1943,3.0046380288189736e-07
Colombia,1944,2.911009857796626e-07
Colombia,1945,3.405131965155436e-07
Colombia,1946,-5.745143583646586e-07
Colombia,1947,-2.507574758948736e-07
Colombia,1948,-1.5546829940375156e-06
Colombia,1949,-1.0258921301913437e-06
Colombia,1950,1.1945514838585584e-06
Colombia,1951,-7.972722696233231e-07
Colombia,1952,-6.89865326238686e-07
Colombia,1953,1.0396411899216747e-06
Colombia,1954,-2.2466718722654123e-06
Colombia,1955,-9.741358127261211e-07
Colombia,1956,-6.474107890338102e-07
Colombia,1957,9.54795223899481e-07
Colombia,1958,1.600582113070642e-06
Colombia,1959,1.6935784793005016e-06
Colombia,1960,-1.0029752117626722e-05
Colombia,1961,4.159381062133056e-06
Colombia,1962,-5.531529659779542e-06
Colombia,1963,-4.037891468322961e-06
Colombia,1964,3.913522656039272e-06
Colombia,1965,-6.982032991448795e-06
Colombia,1966,-3.090396970326376e-06
Colombia,1967,3.016577165669915e-07
Colombia,1968,-4.357925342656304e-06
Colombia,1969,-1.3511715492862394e-06
Colombia,1970,2.0093332550898527e-05
Colombia,1971,-3.7663329402184916e-06
Colombia,1972,-7.1549245840674375e-06
Colombia,1973,-3.538009825009436e-06
Colombia,1974,-2.663789912161168e-06
Colombia,1975,-7.320191025769649e-07
Colombia,1976,7.114406996152551e-07
Colombia,1977,1.1645468106655754e-06
Colombia,1978,-8.019369062379855e-07
Colombia,1979,1.598250142322099e-07
Colombia,1980,-1.5223216084635708e-06
Colombia,1981,-4.292272743944591e-07
Colombia,1982,-1.3655619639902648e-06
Colombia,1983,1.0897269818099692e-06
Colombia,1984,2.9629937442476127e-07
Colombia,1985,1.974869684838461e-06
Colombia,1986,1.4403981965272992e-06
Colombia,1987,1.168556622070732e-06
Colombia,1988,-8.689947517923771e-07
Colombia,1989,-5.059130116261098e-07
Colombia,1990,-4.603385809814226e-07
Colombia,1991,6.739645633594474e-07
Colombia,1992,2.5928696409051735e-06
Colombia,1993,1.5841934128260573e-06
Colombia,1994,8.676181104331403e-07
Colombia,1995,3.2046087840362203e-06
Colombia,1996,8.747588757998622e-07
Colombia,1997,3.0218880641726437e-06
