year_range,country_index,country_t-3,population_t-3,gdp_t-3,temperature_change_from_co2_t-3,cement_co2_t-3,coal_co2_t-3,flaring_co2_t-3,gas_co2_t-3,land_use_change_co2_t-3,oil_co2_t-3,country_t-2,population_t-2,gdp_t-2,temperature_change_from_co2_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,country_t-1,population_t-1,gdp_t-1,temperature_change_from_co2_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2_including_luc_t+1,co2_including_luc_t+2
1957-1958,Democratic Republic of Congo,11,0.0086935037266944,0.0019161251914319006,0.006896551724137932,0.00046417442100348536,0.00040987795440655304,0.0,0.0,0.2407710610940308,0.0004253965713986952,11,0.008816228889327662,0.0017981061353423517,0.006802721088435375,0.00048585080979183723,0.00045972439138502704,0.0,0.0,0.24825318903882462,0.0004570834668473875,11,0.00894710989004405,0.0017547484054245303,0.013422818791946308,0.0004786348058976318,0.00034961656338538107,0.0,0.0,0.25533340126656223,0.0004891664484891887,0.0808361244116029,0.078765350060209
1958-1959,Democratic Republic of Congo,11,0.008916508228112196,0.002001411002422031,0.006896551724137932,0.0005428940596531993,0.0005303382692512269,0.0,0.0,0.24825318903882462,0.0004570834668473875,11,0.009047029593660988,0.0019356323990716421,0.01360544217687075,0.0005465821610158169,0.0003876240566496172,0.0,0.0,0.25533340126656223,0.0004891664484891887,11,0.009186317862387175,0.0018172037298253775,0.013422818791946308,0.0004871438691135897,0.0003630711949792208,0.0,0.0,0.26629514497993056,0.0005224376887103156,0.08411145581217291,0.08023700109972809
1959-1960,Democratic Republic of Congo,11,0.0091487370982648,0.002152494375031787,0.013793103448275864,0.0006107558171098491,0.000447163289953714,0.0,0.0,0.25533340126656223,0.0004891664484891887,11,0.009287732547242331,0.002004525779473696,0.01360544217687075,0.0005562991772116537,0.0004025413672845296,0.0,0.0,0.26629514497993056,0.0005224376887103156,11,0.009427791495177848,0.0017580830516277946,0.013422818791946308,0.0004084350343659791,0.00027908167654494846,0.0,0.0,0.27647254408183164,0.0005406576535933137,0.08568299343990932,0.09571687995555328
1960-1961,Democratic Republic of Congo,11,0.009390929491542167,0.0022281791495568745,0.013793103448275864,0.0006216136983029131,0.00046437190636009596,0.0,0.0,0.26629514497993056,0.0005224376887103156,11,0.00953071532099938,0.0019393107892103803,0.01360544217687075,0.00046641677740016376,0.00030942118574537957,0.0,0.0,0.27647254408183164,0.0005406576535933137,11,0.009682881976112888,0.0018264197697659633,0.013422818791946308,0.00036376245248220015,0.0002562495744463113,0.0,0.0,0.281369420222369,0.0005034255514411002,0.10221355091682326,0.07220291798495596
1961-1962,Democratic Republic of Congo,11,0.00963541581223663,0.002156535374713338,0.013793103448275864,0.0005211782972670713,0.00035694842212631746,0.0,0.0,0.27647254408183164,0.0005406576535933137,11,0.00978740004429729,0.002014691832592759,0.01360544217687075,0.00041540244237202084,0.00028410696163764945,0.0,0.0,0.281369420222369,0.0005034255514411002,11,0.009967386374737024,0.001873044806795216,0.013422818791946308,0.00020847204879096852,0.00021221623468465402,0.0,0.0,0.3320631714073099,0.00046738170786821256,0.07710360635684647,0.06083682293482657
1962-1963,Democratic Republic of Congo,11,0.009893688868417686,0.0022393473551759937,0.013793103448275864,0.00046417442100348536,0.00032774592155791163,0.0,0.0,0.281369420222369,0.0005034255514411002,11,0.010073682513835903,0.0020661230987519107,0.01360544217687075,0.00023806689679800025,0.0002352866722870271,0.0,0.0,0.3320631714073099,0.00046738170786821256,11,0.010270031313914272,0.0016474922992419567,0.013422818791946308,0.00014678134047527375,0.0002154779635558879,0.0,0.0,0.2552790005533445,0.00048678993133053673,0.06496605093640936,0.050671301673168384
1963-1964,Democratic Republic of Congo,11,0.01018174281798204,0.0022958486294650275,0.013793103448275864,0.00026601808923006764,0.0002714268133188433,0.0,0.0,0.3320631714073099,0.00046738170786821256,11,0.010378218897104581,0.0018173200566962517,0.01360544217687075,0.00016761852937818386,0.00023890299001670285,0.0,0.0,0.2552790005533445,0.00048678993133053673,11,0.010584929890724175,0.0020402343140492256,0.013422818791946308,0.00020847204879096852,0.00017103690768532635,0.0,0.0,0.21824470009170985,0.0004891664484891887,0.05411055684219067,0.044814789576905614
1964-1965,Democratic Republic of Congo,11,0.010488163634205842,0.002022518999981828,0.013793103448275864,0.00018729845058035376,0.0002755985991143298,0.0,0.0,0.2552790005533445,0.00048678993133053673,11,0.010695085499727594,0.0022505469318354868,0.01360544217687075,0.00023806689679800025,0.00018963066094987105,0.0,0.0,0.21824470009170985,0.0004891664484891887,11,0.010914411082051037,0.002157440824904616,0.013422818791946308,0.00025527189647873695,0.0001667558885418319,0.0,0.0,0.1850066762666333,0.0005363007054691185,0.04785654085645946,0.041364523299462774
1965-1966,Democratic Republic of Congo,11,0.010806990967635308,0.0024984526553166434,0.013793103448275864,0.00026601808923006764,0.00021875801765082567,0.0,0.0,0.21824470009170985,0.0004891664484891887,11,0.01102662585402697,0.0023798353922737507,0.01360544217687075,0.00029151048587510234,0.00018488424392967164,0.0,0.0,0.1850066762666333,0.0005363007054691185,11,0.011256061997660645,0.002100036902355309,0.013422818791946308,0.00024038103585081062,0.00019162657118499017,0.0,0.0,0.16601554967251986,0.000364795383853071,0.04417209180223033,0.039364520315126064
1966-1967,Democratic Republic of Congo,11,0.011140582852076631,0.0026404861557757678,0.013793103448275864,0.0003257364357919195,0.00021328254879424957,0.0,0.0,0.1850066762666333,0.0005363007054691185,11,0.011370411989896396,0.0023165141252609127,0.01360544217687075,0.00027450570753238807,0.00021245866661844908,0.0,0.0,0.16601554967251986,0.000364795383853071,11,0.011616436270180915,0.0021233088386919045,0.013422818791946308,0.00026165369389070535,0.00024014478814459407,0.0,0.0,0.15454999039868006,0.0004622325873578001,0.04203634096112241,0.038680361124637345
