country_index,year,var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var8(t-2),var9(t-2),var10(t-2),var11(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t),var11(t)
South Korea,2003,8.0,0.022997947511987655,0.057522271877842576,0.053083236265648634,0.03298246894211649,0.0233932402262028,0.0,0.02762809205068104,0.028710025996805208,0.0668194769980238,0.024442363507257404,8.0,0.023187410222160355,0.062358632868666344,0.05639234342843499,0.035005984948521016,0.025136219213198575,0.0,0.031220549501002833,0.02877384345538259,0.0672150987330913,0.026582800579581768,8,0.023349621933485176,0.06407419251111533,0.05880328175896324,0.03614684383424007,0.026165314945894105,0.0,0.032928175015505566,0.028794202399223225,0.06654717588124455,0.027538759244839423
South Korea,2004,8.0,0.023187410222160355,0.062358632868666344,0.05639234342843499,0.035005984948521016,0.025136219213198575,0.0,0.031220549501002833,0.02877384345538259,0.0672150987330913,0.026582800579581768,8.0,0.023349621933485176,0.06407419251111533,0.05880328175896324,0.03614684383424007,0.026165314945894105,0.0,0.032928175015505566,0.028794202399223225,0.06654717588124455,0.027538759244839423,8,0.023488489185194836,0.06736978082433073,0.060616200713676224,0.03362657008423831,0.02721276346632451,0.0,0.0393962093935513,0.02902989632599367,0.06305590024051351,0.028243231882276273
South Korea,2005,8.0,0.023349621933485176,0.06407419251111533,0.05880328175896324,0.03614684383424007,0.026165314945894105,0.0,0.032928175015505566,0.028794202399223225,0.06654717588124455,0.027538759244839423,8.0,0.023488489185194836,0.06736978082433073,0.060616200713676224,0.03362657008423831,0.02721276346632451,0.0,0.0393962093935513,0.02902989632599367,0.06305590024051351,0.028243231882276273,8,0.023608653028826646,0.07000497710681418,0.06330493030143661,0.02970021933117323,0.028037299294851065,0.0,0.04308386037598516,0.028898346227331097,0.06260129907930817,0.028966825771415204
South Korea,2006,8.0,0.023488489185194836,0.06736978082433073,0.060616200713676224,0.03362657008423831,0.02721276346632451,0.0,0.0393962093935513,0.02902989632599367,0.06305590024051351,0.028243231882276273,8.0,0.023608653028826646,0.07000497710681418,0.06330493030143661,0.02970021933117323,0.028037299294851065,0.0,0.04308386037598516,0.028898346227331097,0.06260129907930817,0.028966825771415204,8,0.023726953936008575,0.07378217915181685,0.06465148095278155,0.02943921102521536,0.028993117838561375,0.0,0.04507926326064209,0.02892027124377486,0.06068063789696218,0.02947042134613404
South Korea,2007,8.0,0.023608653028826646,0.07000497710681418,0.06330493030143661,0.02970021933117323,0.028037299294851065,0.0,0.04308386037598516,0.028898346227331097,0.06260129907930817,0.028966825771415204,8.0,0.023726953936008575,0.07378217915181685,0.06465148095278155,0.02943921102521536,0.028993117838561375,0.0,0.04507926326064209,0.02892027124377486,0.06068063789696218,0.02947042134613404,8,0.023853755046069913,0.07797687911547299,0.06714794876325121,0.03383846392402131,0.030600527327836784,0.0,0.04901514968450667,0.028957856986249877,0.05960981662760238,0.03137496036756865
South Korea,2008,8.0,0.023726953936008575,0.07378217915181685,0.06465148095278155,0.02943921102521536,0.028993117838561375,0.0,0.04507926326064209,0.02892027124377486,0.06068063789696218,0.02947042134613404,8.0,0.023853755046069913,0.07797687911547299,0.06714794876325121,0.03383846392402131,0.030600527327836784,0.0,0.04901514968450667,0.028957856986249877,0.05960981662760238,0.03137496036756865,8,0.02398557631079348,0.079944979689194,0.06857456425087573,0.033564826183904196,0.03389786687021739,0.0,0.050885336461539254,0.0289046105177436,0.053416976883128825,0.032497918225680864
South Korea,2009,8.0,0.023853755046069913,0.07797687911547299,0.06714794876325121,0.03383846392402131,0.030600527327836784,0.0,0.04901514968450667,0.028957856986249877,0.05960981662760238,0.03137496036756865,8.0,0.02398557631079348,0.079944979689194,0.06857456425087573,0.033564826183904196,0.03389786687021739,0.0,0.050885336461539254,0.0289046105177436,0.053416976883128825,0.032497918225680864,8,0.024125808926101545,0.07995878837316302,0.06905473468280679,0.031422032188217854,0.03515094699045092,0.0,0.048137172415257626,0.02910428477464215,0.054037409807436,0.03308797511244387
South Korea,2010,8.0,0.02398557631079348,0.079944979689194,0.06857456425087573,0.033564826183904196,0.03389786687021739,0.0,0.050885336461539254,0.0289046105177436,0.053416976883128825,0.032497918225680864,8.0,0.024125808926101545,0.07995878837316302,0.06905473468280679,0.031422032188217854,0.03515094699045092,0.0,0.048137172415257626,0.02910428477464215,0.054037409807436,0.03308797511244387,8,0.02429241586428108,0.0854189560147046,0.07610006555698802,0.031062794949910256,0.03952547460710968,0.0,0.062321008699956576,0.02885371315814201,0.055357936179665126,0.03889501611848775
South Korea,2011,8.0,0.024125808926101545,0.07995878837316302,0.06905473468280679,0.031422032188217854,0.03515094699045092,0.0,0.048137172415257626,0.02910428477464215,0.054037409807436,0.03308797511244387,8.0,0.02429241586428108,0.0854189560147046,0.07610006555698802,0.031062794949910256,0.03952547460710968,0.0,0.062321008699956576,0.02885371315814201,0.055357936179665126,0.03889501611848775,8,0.02455663593364511,0.08839299915129167,0.08049304575692902,0.031657781625857216,0.0428904649363962,0.0,0.06742631105292102,0.03047538133867886,0.05356289351532699,0.042349935325483715
South Korea,2012,8.0,0.02429241586428108,0.0854189560147046,0.07610006555698802,0.031062794949910256,0.03952547460710968,0.0,0.062321008699956576,0.02885371315814201,0.055357936179665126,0.03889501611848775,8.0,0.02455663593364511,0.08839299915129167,0.08049304575692902,0.031657781625857216,0.0428904649363962,0.0,0.06742631105292102,0.03047538133867886,0.05356289351532699,0.042349935325483715,8,0.024900426194841233,0.090871712394891,0.08169614170551716,0.03183740024501101,0.04246459988377461,0.0,0.07332318423829431,0.02953808688570802,0.05331318841245769,0.042568790521595526
