year_range,country_index,country,population_t-2,gdp_t-2,primary_energy_consumption_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,co2_including_luc_t-2,population_t-1,gdp_t-1,primary_energy_consumption_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2_including_luc_t-1,co2_including_luc_t+1
2007-2007,India,India,1154638720.0,3752627778148.986,4603.61,59.687,721.469,1.704,50.439,43.071,352.376,1228.745,1172373760.0,4069855789009.416,4849.72,64.905,773.564,1.741,82.58,38.939,369.694,1331.424,1486.842
2008-2008,India,India,1172373760.0,4069855789009.416,4849.72,64.905,773.564,1.741,82.58,38.939,369.694,1331.424,1189691776.0,4403215152816.854,5263.111,68.333,842.477,1.842,87.956,94.336,391.897,1486.842,1637.771
2009-2009,India,India,1189691776.0,4403215152816.854,5263.111,68.333,842.477,1.842,87.956,94.336,391.897,1486.842,1206734848.0,4649548338809.07,5570.697,73.245,910.795,1.888,90.277,148.334,413.233,1637.771,1695.097
2010-2010,India,India,1206734848.0,4649548338809.07,5570.697,73.245,910.795,1.888,90.277,148.334,413.233,1637.771,1223640192.0,4993478622633.484,5986.512,81.268,983.947,1.879,112.463,82.88,432.66,1695.097,1795.778
2011-2011,India,India,1223640192.0,4993478622633.484,5986.512,81.268,983.947,1.879,112.463,82.88,432.66,1695.097,1240613632.0,5361371111075.972,6244.97,86.029,1015.983,1.704,134.121,118.441,439.5,1795.778,1862.452
2012-2012,India,India,1240613632.0,5361371111075.972,6244.97,86.029,1015.983,1.704,134.121,118.441,439.5,1795.778,1257621248.0,5720692792640.0,6586.134,91.314,1074.385,2.648,136.26,97.74,460.104,1862.452,2086.577
2013-2013,India,India,1257621248.0,5720692792640.0,6586.134,91.314,1074.385,2.648,136.26,97.74,460.104,1862.452,1274487168.0,6052427547157.702,6942.567,100.237,1206.452,3.592,125.605,160.877,489.814,2086.577,2212.392
2014-2014,India,India,1274487168.0,6052427547157.702,6942.567,100.237,1206.452,3.592,125.605,160.877,489.814,2086.577,1291132032.0,6424471175678.848,7172.946,107.82,1276.383,3.266,110.689,217.294,496.94,2212.392,2247.754
2015-2015,India,India,1291132032.0,6424471175678.848,7172.946,107.82,1276.383,3.266,110.689,217.294,496.94,2212.392,1307246464.0,6875185956108.676,7656.914,115.825,1407.057,3.529,109.467,99.411,512.465,2247.754,2386.868
2016-2016,India,India,1307246464.0,6875185956108.676,7656.914,115.825,1407.057,3.529,109.467,99.411,512.465,2247.754,1322866560.0,7391521128229.46,7922.428,117.508,1449.587,4.137,106.871,152.648,556.117,2386.868,2519.178
2017-2017,India,India,1322866560.0,7391521128229.46,7922.428,117.508,1449.587,4.137,106.871,152.648,556.117,2386.868,1338636288.0,8057465555113.433,8278.461,123.281,1499.401,3.756,113.622,164.52,614.597,2519.178,2547.878
2018-2018,India,India,1338636288.0,8057465555113.433,8278.461,123.281,1499.401,3.756,113.622,164.52,614.597,2519.178,1354195712.0,8550029707717.154,8594.206,121.047,1551.256,2.823,118.922,121.271,632.558,2547.878,2718.08
2019-2019,India,India,1354195712.0,8550029707717.154,8594.206,121.047,1551.256,2.823,118.922,121.271,632.558,2547.878,1369003264.0,9173201780735.316,9081.509,138.965,1668.318,2.49,126.201,125.022,657.084,2718.08,2708.915
2020-2020,India,India,1369003264.0,9173201780735.316,9081.509,138.965,1668.318,2.49,126.201,125.022,657.084,2718.08,1383112064.0,9595462849867.31,9310.841,143.664,1661.94,2.454,128.676,96.027,676.154,2708.915,2494.395
2021-2021,India,India,1383112064.0,9595462849867.31,9310.841,143.664,1661.94,2.454,128.676,96.027,676.154,2708.915,1396387072.0,8945313212694.963,8821.111,122.908,1561.799,2.806,127.994,72.843,606.045,2494.395,2725.703
2022-2022,India,India,1396387072.0,8945313212694.963,8821.111,122.908,1561.799,2.806,127.994,72.843,606.045,2494.395,1407563904.0,9801620870435.19,9584.976,149.033,1767.297,2.772,133.192,51.481,621.928,2725.703,2864.052
1992-1992,Indonesia,Indonesia,182159888.0,718548903869.9999,600.179,7.719,6.947,9.08,44.064,497.227,87.271,652.308,185361232.0,786440044992.9438,652.938,9.087,13.52,11.061,43.494,409.643,97.702,584.508,852.096
1993-1993,Indonesia,Indonesia,185361232.0,786440044992.9438,652.938,9.087,13.52,11.061,43.494,409.643,97.702,584.508,188558416.0,841780439780.087,716.86,9.777,12.509,11.809,52.373,652.677,112.95,852.096,663.911
1994-1994,Indonesia,Indonesia,188558416.0,841780439780.087,716.86,9.777,12.509,11.809,52.373,652.677,112.95,852.096,191737280.0,912702641601.2068,763.843,10.775,21.31,12.6,57.66,448.802,112.763,663.911,1011.031
1995-1995,Indonesia,Indonesia,191737280.0,912702641601.2068,763.843,10.775,21.31,12.6,57.66,448.802,112.763,663.911,194928544.0,986200296551.4216,799.647,12.538,26.648,10.942,60.309,791.66,108.934,1011.031,906.92
1996-1996,Indonesia,Indonesia,194928544.0,986200296551.4216,799.647,12.538,26.648,10.942,60.309,791.66,108.934,1011.031,198140160.0,1072204296474.335,870.284,13.312,25.175,9.634,64.574,684.51,109.715,906.92,983.158
1997-1997,Indonesia,Indonesia,198140160.0,1072204296474.335,870.284,13.312,25.175,9.634,64.574,684.51,109.715,906.92,201373792.0,1161281466037.9387,933.146,14.266,27.561,10.939,78.992,730.093,121.308,983.158,2754.782
1998-1998,Indonesia,Indonesia,201373792.0,1161281466037.9387,933.146,14.266,27.561,10.939,78.992,730.093,121.308,983.158,204628016.0,1221454520974.293,1012.695,16.01,29.389,11.951,82.042,2474.84,140.549,2754.782,1391.162
1999-1999,Indonesia,Indonesia,204628016.0,1221454520974.293,1012.695,16.01,29.389,11.951,82.042,2474.84,140.549,2754.782,207855488.0,1066065594222.6708,995.569,13.077,32.075,10.305,48.028,1146.639,141.038,1391.162,1451.972
2000-2000,Indonesia,Indonesia,207855488.0,1066065594222.6708,995.569,13.077,32.075,10.305,48.028,1146.639,141.038,1391.162,210996912.0,1079382549765.9032,1086.986,14.082,37.167,9.0,83.652,1159.971,148.101,1451.972,1117.817
2001-2001,Indonesia,Indonesia,210996912.0,1079382549765.9032,1086.986,14.082,37.167,9.0,83.652,1159.971,148.101,1451.972,214072416.0,1138300099827.1824,1163.577,16.446,50.906,8.57,48.592,836.486,156.816,1117.817,1144.792
2002-2002,Indonesia,Indonesia,214072416.0,1138300099827.1824,1163.577,16.446,50.906,8.57,48.592,836.486,156.816,1117.817,217112432.0,1185220892016.5657,1246.32,18.462,64.629,8.704,61.163,827.764,164.07,1144.792,1384.725
2003-2003,Indonesia,Indonesia,217112432.0,1185220892016.5657,1246.32,18.462,64.629,8.704,61.163,827.764,164.07,1144.792,220115088.0,1244249969512.5537,1280.054,18.137,66.665,7.077,59.764,1076.239,156.843,1384.725,1075.352
2004-2004,Indonesia,Indonesia,220115088.0,1244249969512.5537,1280.054,18.137,66.665,7.077,59.764,1076.239,156.843,1384.725,223080128.0,1309811242918.529,1388.661,17.811,89.49,6.947,62.662,735.995,162.447,1075.352,1178.733
2005-2005,Indonesia,Indonesia,223080128.0,1309811242918.529,1388.661,17.811,89.49,6.947,62.662,735.995,162.447,1075.352,225938592.0,1387446353198.2068,1375.442,19.047,82.216,5.978,61.886,835.711,173.895,1178.733,1126.777
2006-2006,Indonesia,Indonesia,225938592.0,1387446353198.2068,1375.442,19.047,82.216,5.978,61.886,835.711,173.895,1178.733,228805152.0,1474875285411.1775,1415.489,18.527,94.222,5.663,54.451,779.16,174.754,1126.777,1611.766
2007-2007,Indonesia,Indonesia,228805152.0,1474875285411.1775,1415.489,18.527,94.222,5.663,54.451,779.16,174.754,1126.777,231797424.0,1565012881849.6174,1439.761,19.047,111.641,6.021,57.426,1265.132,152.499,1611.766,922.997
2008-2008,Indonesia,Indonesia,231797424.0,1565012881849.6174,1439.761,19.047,111.641,6.021,57.426,1265.132,152.499,1611.766,234858288.0,1674227395598.5876,1545.187,19.567,140.066,4.923,57.078,535.139,166.225,922.997,962.75
2009-2009,Indonesia,Indonesia,234858288.0,1674227395598.5876,1545.187,19.567,140.066,4.923,57.078,535.139,166.225,922.997,237936544.0,1809491109528.5603,1563.029,20.542,121.845,4.716,60.313,597.031,158.303,962.75,1275.495
2010-2010,Indonesia,Indonesia,237936544.0,1809491109528.5603,1563.029,20.542,121.845,4.716,60.313,597.031,158.303,962.75,240981296.0,1905717536727.7288,1605.616,19.437,128.274,5.43,64.541,876.553,181.26,1275.495,944.802
2011-2011,Indonesia,Indonesia,240981296.0,1905717536727.7288,1605.616,19.437,128.274,5.43,64.541,876.553,181.26,1275.495,244016176.0,2039334409081.118,1737.839,19.461,152.667,4.274,73.73,498.996,195.674,944.802,1233.501
2012-2012,Indonesia,Indonesia,244016176.0,2039334409081.118,1737.839,19.461,152.667,4.274,73.73,498.996,195.674,944.802,247099696.0,2178184535640.0,1835.917,21.1,181.281,5.462,81.553,732.776,211.329,1233.501,1262.823
