country,year,iso_code,population,gdp,primary_energy_consumption,cement_co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2,trade_co2,cumulative_co2_including_luc,co2_including_luc
Japan,1992,JPN,124444696.0,3856515727360.0,5426.293,41.666,312.947,1423.01,0.209,126.467,-1.36,687.36,10.026,244.335,36640.5,1177.315
Japan,1993,JPN,124779576.0,3860865220608.0,5516.978,41.224,318.364,1394.221,0.212,129.365,-3.139,672.758,9.762,222.534,37809.051,1168.548
Japan,1994,JPN,125119264.0,3893220605952.0,5718.397,42.297,326.152,1467.884,0.232,135.668,0.4,712.832,9.52,241.182,39036.148,1227.102
Japan,1995,JPN,125433968.0,3997430972416.0,5911.905,42.142,336.098,1499.387,0.523,140.632,-3.867,710.136,9.518,260.339,40271.332,1235.181
Japan,1996,JPN,125726224.0,4118875209728.0,6029.414,42.56,344.903,1492.768,0.572,146.416,-5.057,707.677,9.418,241.223,41517.82,1246.488
Japan,1997,JPN,126027984.0,4160709459968.0,6146.964,39.926,350.437,1468.349,0.582,151.051,-7.075,692.814,9.442,224.098,42755.0,1237.176
Japan,1998,JPN,126308392.0,4111245246464.0,6049.681,35.363,328.065,1373.496,0.5,154.585,-6.562,676.905,8.984,169.093,43952.836,1197.841
Japan,1999,JPN,126555064.0,4098283012096.0,6144.011,35.01,346.075,1465.246,0.541,163.835,-7.479,686.478,9.098,224.209,45186.395,1233.557
Japan,2000,JPN,126803864.0,4209652006912.0,6253.323,35.086,372.898,1548.74,0.513,168.695,4.071,677.172,9.39,284.985,46454.223,1267.826
Japan,2001,JPN,127065736.0,4224163250176.0,6185.704,34.374,381.944,1511.964,0.55,167.833,-7.242,655.456,9.006,262.802,47696.141,1241.92
Japan,2002,JPN,127301744.0,4226576285696.0,6165.896,32.417,399.075,1501.686,0.526,171.744,-9.79,666.369,8.655,222.899,48965.137,1268.997
Japan,2003,JPN,127502352.0,4288493387776.0,6162.913,31.935,412.437,1527.005,0.507,177.139,-11.243,656.423,8.85,239.712,50241.188,1276.05
Japan,2004,JPN,127671288.0,4380398190592.0,6247.106,31.276,420.397,1535.167,0.479,176.05,-11.29,645.272,9.212,252.481,51512.582,1271.396
Japan,2005,JPN,127798376.0,4450600615936.0,6352.418,32.28,430.822,1543.184,0.509,174.681,-11.544,642.282,9.57,253.04,52791.184,1278.601
