year,country_index,population,gdp,temperature_change_from_co2,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1,cement_co2_diff_lag1_lag2,coal_co2_diff_lag1_lag2,flaring_co2_diff_lag1_lag2,gas_co2_diff_lag1_lag2,land_use_change_co2_diff_lag1_lag2,oil_co2_diff_lag1_lag2,co2_including_luc
1988,China,0.8441423417846713,0.3237134909272669,0.20915032679738563,0.16045753232912208,0.3608835941968951,0.0,0.022641865960085425,0.6597068938288887,0.127350821066874,0.18736439714846587,0.5560808820513583,0.38376263890956835,0.4840942709896136,0.3632841128865941,0.538332020747902,0.5389087354254326
1989,China,0.8581837960145531,0.32623343240274905,0.22222222222222224,0.18073462997274975,0.3858417319454134,0.0,0.02324619379857498,0.683275799842725,0.1359090554413727,0.20628422357681578,0.5649839854134895,0.38376263890956835,0.4865210593641919,0.43335489708848984,0.5444462118008541,0.5443915228060187
1990,China,0.8728047563878719,0.3266739007169453,0.22875816993464054,0.18057508503745054,0.3914561866230791,0.0,0.024531454412827416,0.6847084872826154,0.14038918637162467,0.08221407170162204,0.47653275812567797,0.38376263890956835,0.4907324057842842,0.3967260711173988,0.5244742222446372,0.5365635790212541
1991,China,0.8856312172418517,0.33863063725078946,0.2352941176470588,0.17978161489256247,0.4029629545066289,0.0,0.02494001407828514,0.6521691472444618,0.1308237048080507,0.07836553362950731,0.5034760415074218,0.38376263890956835,0.4853102972684153,0.34051251873393223,0.4556876331175002,0.5055286653907579
1992,China,0.8956268007723408,0.3623932206212809,0.2483660130718954,0.21550266227315373,0.41789270298248415,0.0,0.026197186215537356,0.50806368780811,0.14101737907389503,0.3000439094947826,0.5191280160183152,0.38376263890956835,0.4905586877444554,0.15590393447842915,0.5524555693064503,0.5276402728460209
1993,China,0.9047545318914713,0.39822999199265113,0.2549019607843137,0.2604730613694912,0.4311016856207091,0.0,0.025738407757867118,0.5250448298414706,0.15280728069796726,0.35619640458725066,0.5112596152770579,0.38376263890956835,0.47994609476582273,0.42245411656116544,0.5602728884509292,0.5572726870743919
1994,China,0.9134189879670872,0.4284133230618818,0.2679738562091503,0.30371824789879326,0.454347619569884,0.0,0.030410457765570168,0.5381549957514666,0.16974234197052088,0.3457226986258913,0.557154735582211,0.38376263890956835,0.5116785900412184,0.416048807981142,0.5854706491672516,0.5963400369228351
1995,China,0.9216488872008389,0.4642611814467351,0.27450980392156865,0.3496735710623779,0.48530163041594787,0.049704063310500764,0.03538126702863918,0.5836737775977051,0.1678264730544543,0.3621758446120469,0.5924008083730743,0.43434534847520945,0.5135263182830339,0.4696753815138831,0.4931506317868101,0.6163610412170434
1996,China,0.9293457533269321,0.4949278607407561,0.2875816993464052,0.39277197625120464,0.523865050860546,0.049584358582164,0.03612007909034191,0.5401844671348646,0.18545943819926541,0.34483159417295167,0.627195713534656,0.3836408180944517,0.4873528002821601,0.3223935902577506,0.5888885440388576,0.6427424241196966
1997,China,0.9365484917469271,0.510739663239036,0.3006535947712418,0.41024959209678213,0.5423441719224671,0.07427013367027997,0.037851350672719025,0.5610893621029205,0.20225032409752752,0.18928866618452334,0.5353579325336603,0.40888479811583806,0.49349083768944463,0.42894675499073304,0.5847645687283954,0.6437186763072013
1998,China,0.94339652156816,0.5153131322392284,0.3137254901960784,0.4315669227185606,0.5319790091438492,0.07215535013633038,0.03758663805614121,0.5613227979991904,0.2210006483930981,0.21259944209112497,0.4034641098015236,0.38161047117584157,0.481146328495549,0.3947416682285273,0.5943606674399926,0.613303348191789
1999,China,0.9499129337770928,0.5384683852113226,0.32026143790849676,0.44963804572345123,0.4983862596409571,0.05495777083194786,0.04298473263600143,0.5296380363291211,0.22151595653033246,0.1928918276681476,0.2972532840156157,0.36626104847114876,0.5161689381616419,0.3419265905284733,0.5050570101760931,0.6174148411844043
2000,China,0.9564814462369926,0.5745994433835,0.3333333333333333,0.4857015828984848,0.526156007676479,0.058961228968544256,0.04644982929866478,0.46398205913195134,0.23636483182378282,0.30212315321830774,0.5778403985189768,0.38783686839291276,0.5042139785116048,0.2857143816811532,0.5752538203995172,0.5987060409322146
2001,China,0.9630307485484911,0.6110081325234439,0.3464052287581699,0.5198782353053797,0.5303850430160881,0.06300458868125292,0.05089632032439638,0.36946325576901295,0.25693556826288083,0.2906679409029859,0.47019776802526514,0.38787747533128497,0.5102835815395628,0.23795503050162936,0.6032759028712644,0.5971112655279803
2002,China,0.9692359175449434,0.6578165415617211,0.35947712418300654,0.5761231431628614,0.5377072166158993,0.06361641284830752,0.05716175302738456,0.3323887637356726,0.26113962711653604,0.42464355821882394,0.48434150033744355,0.3843852786312755,0.5215331406642345,0.33300819758579986,0.5231221945911131,0.6352836290130146
2003,China,0.9752597543830022,0.6997364382897383,0.37254901960784315,0.6013525155981766,0.6153728543430125,0.05966615681319412,0.0459570042022064,0.29704453916303286,0.2586783475125589,0.23634931294555245,0.8059951229152136,0.3797425520107202,0.4134857840737406,0.33587127311469966,0.4904795527639945,0.7369624454957954
2004,China,0.9812806805925154,0.7559666318863879,0.3856209150326797,0.7523692422891933,0.734238001016844,0.0688967214204961,0.05170407682964509,0.3082701669330542,0.2879938749231098,1.0,0.994384640911582,0.39315637731967135,0.5183272532019392,0.4129304605843442,0.6461023971818853,0.7985219711848917
2005,China,0.9873981426487923,0.8305101923522592,0.40522875816993464,0.7836762131265065,0.7818543499435517,0.06905632772494513,0.06087624131917107,0.3437374020736415,0.3323531520341204,0.2732462031201576,0.6685912756857932,0.38392506666305715,0.5395103256950037,0.4530430757841717,0.7197772355011033,0.8573325343079213
2006,China,0.9936128196984937,0.9161213260583266,0.42483660130718953,0.8756868409464632,0.901947537537403,0.07432333577176299,0.07231250728810862,0.25365185086247455,0.33674178705376434,0.6417760099183799,1.0,0.38912275477469915,0.5535130525418106,0.24529073786333408,0.5240261327353632,0.9410364659139664
2007,China,1.0,0.9999999999999999,0.4444444444444445,1.0,1.0,0.07360510740174236,0.08831102285465746,0.26102680128272004,0.35589691143869195,0.8378835623514826,0.8992162360688004,0.3830317140188687,0.5817290735564293,0.4065587404079916,0.596343124056781,1.0
1923,Colombia,0.003438913690484424,0.001054367351310608,0.013071895424836602,0.0,0.0,0.0,0.0,0.18702072058210384,5.6640325614537625e-05,0.08318266349829528,0.4508600149892054,0.38376263890956835,0.4827834894163599,0.4023843735997834,0.502754489624109,0.05351142057042501
1924,Colombia,0.003564188204255474,0.0011331251136036764,0.013071895424836602,0.0,0.0,0.0,0.0,0.18402989928154517,7.406811811131844e-05,0.08318266349829528,0.4508600149892054,0.38376263890956835,0.4827834894163599,0.38940648618945606,0.5026187049243289,0.05420218007523994
