year,country_index,PC1,PC2,PC3,PC4,PC5
1994,South Korea,-0.026525940962901683,-0.03724403017196223,0.06837297191223572,-0.03116641218874833,0.038367193790344964
1995,South Korea,-0.019433042536625176,-0.0404994338819789,0.07089976766668868,-0.03304479879369736,0.04097116882683158
1996,South Korea,-0.012775737349497584,-0.04387691042354478,0.07307567735858359,-0.03503412346189686,0.0429140526330562
1997,South Korea,-0.005951766152743744,-0.047152296689759954,0.07444382475542116,-0.03714001215338433,0.04359100392621889
1998,South Korea,-0.004459248214126474,-0.04887835391966059,0.07360090316601782,-0.03795609668356444,0.04094754318418882
1999,South Korea,-0.01230548522329358,-0.04295537420660251,0.07263419690751473,-0.03433165658103031,0.039456003521559
1929,Spain,-0.10266403981811813,-0.008064649411499538,0.021435652435615977,-0.01894693079961184,-0.0025829239243941944
1930,Spain,-0.10254716731044687,-0.007790271842877433,0.021417982848982636,-0.018873463462270916,-0.0024881905447021084
1931,Spain,-0.10258540710767874,-0.008136740190632388,0.02169313635655733,-0.018839663191525285,-0.002867586014296122
1932,Spain,-0.10248706291506199,-0.008178095366751233,0.021790938328083265,-0.0188173837135653,-0.0030864861698068065
1933,Spain,-0.10262081587816746,-0.008095052087561179,0.021713936522714503,-0.018744808470048693,-0.0034866353742859847
1934,Spain,-0.10258184322046597,-0.008005060948921216,0.021754375218608176,-0.01867273502638966,-0.003698475743357925
1935,Spain,-0.10228117381061204,-0.007957816306981344,0.021851375666797755,-0.018686389302835293,-0.0036674450627232173
1936,Spain,-0.10289675035511277,-0.007628604045619589,0.021472377790464403,-0.018510514832293205,-0.004262802595004445
1937,Spain,-0.10413192225776441,-0.007435601472321772,0.020920387704938693,-0.01820014762995982,-0.005961487151760843
1938,Spain,-0.10422931922572688,-0.00731168745490359,0.020838296213050323,-0.0181247671714661,-0.006350267012484262
1939,Spain,-0.10340730903938918,-0.007048098230016354,0.02127512955417546,-0.01813405062795442,-0.005324001045373383
1940,Spain,-0.10280937810166986,-0.006908382062367385,0.021669238342948857,-0.01809954106439551,-0.004690837841100152
1941,Spain,-0.10367156377301101,-0.00998972186413689,0.025255898941728652,-0.01778597016921629,-0.00398705095570302
1942,Spain,-0.10404470862649828,-0.011354894500693243,0.026973280089834063,-0.017598562116901126,-0.003725461489223443
1943,Spain,-0.10405475117452846,-0.01215688902908156,0.02806013973378683,-0.01750479477233372,-0.0035043043072598124
1944,Spain,-0.10403839050406317,-0.012713742478097416,0.028880560073543157,-0.017415640913362635,-0.0033585044184834883
1945,Spain,-0.10432597044761023,-0.013033384879308448,0.029361136544114878,-0.0172747392235352,-0.003458483075400325
1946,Spain,-0.10395475431539344,-0.013501723461430979,0.029954610109431203,-0.01732894279256428,-0.00328219190584135
1947,Spain,-0.10395872958593086,-0.013719907693643653,0.030445780118384138,-0.01721652551354681,-0.0032181458464598275
1948,Spain,-0.10347963097336582,-0.014276412758223236,0.030821713545822856,-0.01739049808441899,-0.003324668285329206
1949,Spain,-0.10337159803079703,-0.014413493340173696,0.031176154755921014,-0.01732975726571107,-0.003257904275960134
1950,Spain,-0.10300682973731451,-0.01459411010067635,0.031523240146329366,-0.017363077007467132,-0.003113522212751034
1951,Spain,-0.10287801094057619,-0.014027091098322128,0.03158671985040016,-0.017199291803120142,-0.0025868325052758913
1952,Spain,-0.10239449714584412,-0.013931218533267386,0.03184661470023737,-0.01719110773882713,-0.0022348124470664586
1953,Spain,-0.10186115726139496,-0.013857645055244864,0.03198189902353842,-0.01725674755826106,-0.001934229629146149
1954,Spain,-0.10129143216806206,-0.013670219785122775,0.03220200279947273,-0.017254617597365046,-0.0015036182728461532
1955,Spain,-0.1008410092205548,-0.013482391688824827,0.032354236565898406,-0.017232814809660726,-0.001200265132629942
1956,Spain,-0.10014795582631804,-0.013350027512516538,0.032614478368194845,-0.01726011594853541,-0.0007394342824008889
1957,Spain,-0.09945714866941378,-0.013221019485678316,0.032689636007178016,-0.017349769551251622,-0.00047222615251703786
1958,Spain,-0.0980308824952284,-0.013097284344432341,0.032823174136049925,-0.017644623372524728,0.0002731413207713741
1959,Spain,-0.09717509317840184,-0.012691603281638935,0.032592559317967125,-0.017791884342317734,0.0005669367793099875
1960,Spain,-0.09541076991333299,-0.007979168502601724,0.028103410225597723,-0.018017166127494273,0.00022510700052174305
1961,Spain,-0.09752591576171928,-0.01372129193693971,0.034488872412549616,-0.01735678390926034,0.0007279177666741418
1962,Spain,-0.09615936850493431,-0.013737532502145704,0.03511370799772015,-0.017501764491618887,0.0017499932865862604
1963,Spain,-0.09523518608760216,-0.01605592636641292,0.037738122053977315,-0.017686682488700086,0.0027294422754701865
1964,Spain,-0.09588821328804147,-0.018311669783709333,0.04068238954373929,-0.01730684003067341,0.0032212926280572244
1965,Spain,-0.09390883452371002,-0.018594071469215035,0.04098557364093284,-0.01779462683062504,0.003867130961339822
1966,Spain,-0.0935042160322362,-0.021858475160165234,0.0448005264290004,-0.017784094203324975,0.005118858640952296
1967,Spain,-0.0886420711343595,-0.015654859472638224,0.03889478822051019,-0.018769571752029583,0.006165553396092508
1968,Spain,-0.08841865540202498,-0.02075513076242407,0.0441612144122627,-0.01887571534611044,0.007347332661570958
1969,Spain,-0.08196195860834182,-0.012597090842798874,0.03627857340214957,-0.02028118014887275,0.008736602691499866
1970,Spain,-0.08129839919112568,-0.020874196152249117,0.043250647234246625,-0.02086585515005545,0.009747142709113681
1971,Spain,-0.07264406395651263,-0.009767953862354972,0.031515777558405136,-0.02310317366527103,0.010614629165554371
1972,Spain,-0.07286526621417433,-0.019852482487215963,0.04107681094094109,-0.023393529540595086,0.011619806140119083
1973,Spain,-0.0705514514032731,-0.025208619841587166,0.04633652563556449,-0.02408785749066834,0.013463774132466872
1974,Spain,-0.06818813332488184,-0.02804608896777403,0.04953040139174771,-0.024580818959172804,0.015203635097454824
1975,Spain,-0.065512228560029,-0.030492881692118393,0.05110222167759899,-0.025640700292266252,0.015756696587266594
1976,Spain,-0.06419135951792775,-0.03212309017905139,0.053539867520370446,-0.025718517845646324,0.017308281526513803
1977,Spain,-0.06087879480554002,-0.03419580558173222,0.05462265045287758,-0.026888162532399357,0.017861669553153433
1978,Spain,-0.0609581858737244,-0.03316472843386448,0.05568465488236409,-0.026143184493249278,0.01969535889115671
1979,Spain,-0.05905634267206242,-0.03455826779163871,0.05653121072873172,-0.026779630284893562,0.01998789805646869
1980,Spain,-0.05858942650370448,-0.034675649365698814,0.05679801292623809,-0.026851339872816817,0.019836002814476984
1981,Spain,-0.057403124912729295,-0.0348480896661705,0.05695674639343985,-0.02715744067826134,0.020224362712437872
1982,Spain,-0.05538744227126966,-0.03391897335102837,0.05600702373116855,-0.027469855745761548,0.02124224181689361
1983,Spain,-0.05527640939005179,-0.032810949101222536,0.05632166200244651,-0.027006387470128387,0.02247921312851494
1984,Spain,-0.056032522744995865,-0.03194392153587177,0.05669614439611658,-0.026345013910595,0.023060643845136473
1985,Spain,-0.05687238412899793,-0.032565924361674166,0.05682499529988897,-0.026346076358674184,0.0216487794066331
1986,Spain,-0.05595247706748784,-0.03210216970430886,0.056785472869047546,-0.02642866089340247,0.022117302567937768
1987,Spain,-0.055622823321218734,-0.03208331795155088,0.05692707843412795,-0.024173819011015424,0.02355126025866004
1988,Spain,-0.05367317601294459,-0.03275546043898738,0.05752556435380998,-0.024921412705563296,0.023976613385957198
1989,Spain,-0.04938740260307216,-0.034994650711409524,0.05846095900906963,-0.026270527841329386,0.02458540048823857
1990,Spain,-0.04499780527590136,-0.03723882549933819,0.06040155411951136,-0.027416985668951184,0.026805143127444614
1991,Spain,-0.040480192196806,-0.04470977050792059,0.05398628823044611,-0.008878928063260634,0.029908489495853834
1992,Spain,-0.03877225588039445,-0.04654616682817342,0.055031545816683125,-0.009763550051694823,0.029572856196582373
1993,Spain,-0.035329910631992256,-0.05064342458192159,0.05475447163715598,-0.010446667331913526,0.028342438664607273
1994,Spain,-0.03556513236008236,-0.0504234728975737,0.055386857195705984,-0.010361141961402412,0.0285075438398263
1995,Spain,-0.033967533191409605,-0.058285137942360496,0.06131554325416929,-0.00774929724560664,0.03106061534402121
1996,Spain,-0.02617709419358096,-0.04803340686938581,0.05224041342211853,-0.012268494612654819,0.03090204142286307
1997,Spain,-0.026289897030315826,-0.051840365316110096,0.05581812438481591,-0.013158022579802605,0.029519057945241095
1998,Spain,-0.023825852213183094,-0.059531947579471105,0.06188408302041134,-0.013715980400604552,0.02928889690781519
1999,Spain,-0.01870385621114061,-0.0588785713830867,0.06041698567359255,-0.013329982175305911,0.03154731629035331
2000,Spain,-0.012607786865026607,-0.060512608635329965,0.061091778740993516,-0.014259080966945375,0.0334394382248885
2001,Spain,-0.0057224173354453785,-0.06579612927613719,0.06234865266007091,-0.014915544018706985,0.03416272769316107
2002,Spain,-0.002379956403063682,-0.06621652262971388,0.06280961375523851,-0.01691300703266633,0.03358601337436696
2003,Spain,0.003914028538265386,-0.06514882218832901,0.061034765230878495,-0.017905003930481927,0.034112840817749526
1909,Sweden,-0.11228182925729507,-0.017026228360382874,0.014975005885370415,-0.023436140725440622,-0.0004611842682389986
1910,Sweden,-0.11227904428568052,-0.01695689353437508,0.014894710344846847,-0.02342831374523617,-0.0005632279743839557
1911,Sweden,-0.11225106322425106,-0.017029280400395856,0.01503738643480391,-0.023413370031417045,-0.0004913674340219894
1912,Sweden,-0.11219716908541191,-0.017006554673975445,0.015043017435948318,-0.023411407230525896,-0.000499481660759892
1913,Sweden,-0.11206005992870748,-0.01700775344429049,0.015185324053535253,-0.023406626452608006,-0.00029236386172084135
1914,Sweden,-0.11190187999459116,-0.016954752313762762,0.015257490269045918,-0.023412608402313788,-9.501350740315384e-05
1915,Sweden,-0.11192538293595762,-0.016955427140084862,0.015252560898644366,-0.023399834695272754,-0.00019947048194682532
1916,Sweden,-0.11185141361781842,-0.01697886590075333,0.015345711296287028,-0.023393974625300303,-0.0001343741207977374
1917,Sweden,-0.11184319817027596,-0.016942998450388873,0.015361229448124139,-0.02337789397563933,-0.00010692152904182516
1918,Sweden,-0.11244876060872981,-0.017048172486325487,0.015083877250195879,-0.02328419261228482,-0.001084250335129823
1919,Sweden,-0.11236534056509753,-0.017023872819224538,0.015146214168027325,-0.02328197675838914,-0.0009755730421302018
1920,Sweden,-0.11228357876846569,-0.017111470611560993,0.015226998343496998,-0.02330116716810587,-0.0009869128098684322
1921,Sweden,-0.11213518486556763,-0.017008643568030102,0.015256950522882375,-0.02330724903243853,-0.0007543299525601475
1922,Sweden,-0.1123030689214626,-0.017055845647230197,0.015166435052207598,-0.02327983887160417,-0.0011351456640133193
1923,Sweden,-0.1120307715255712,-0.01703332724630185,0.015378708833536228,-0.023296329745097294,-0.0006710433113981094
1924,Sweden,-0.11180486819698754,-0.017003527235910167,0.015491387576714205,-0.023320286639818187,-0.0003911380385896109
1925,Sweden,-0.11163933329075929,-0.017008709650769855,0.015626104421940727,-0.02333404989531599,-0.00013940562331567154
1926,Sweden,-0.11163856976705544,-0.017060663548493143,0.015643448244803695,-0.02333415295613068,-0.00024130408364105696
1927,Sweden,-0.11161429348956567,-0.01712075109233093,0.015720712125889918,-0.02333145404958587,-0.0002407013495095228
1928,Sweden,-0.11129682237970827,-0.0170992008310288,0.015965325396271466,-0.023357901312742665,0.0003017997780535444
1929,Sweden,-0.1112772659346201,-0.01717150181138364,0.015977044783061556,-0.02337179467507494,0.0001750710351359025
1930,Sweden,-0.11102557927444276,-0.017170635009902235,0.016175182621507484,-0.023390115788896618,0.0005689190029425029
1931,Sweden,-0.11112131645604079,-0.017382293191334833,0.016339183332155945,-0.0233778996233085,0.00047767460779481413
1932,Sweden,-0.11121464346081476,-0.017525395945761548,0.016430020363438193,-0.023370813023666465,0.0003734662719857
1933,Sweden,-0.11120605461364001,-0.017635203350370117,0.016520490100955722,-0.02337807184745127,0.0003401360971757926
1934,Sweden,-0.11109771095881335,-0.017774137204654906,0.016711171057353105,-0.0233972313260834,0.00045835913212916956
1935,Sweden,-0.11088820971638723,-0.0178133715978678,0.016925146496622058,-0.023407016196724677,0.0007963125374742216
1936,Sweden,-0.11076848279543162,-0.017970514763709054,0.017165589354017942,-0.023417615029266974,0.0009849511581012387
1937,Sweden,-0.11060695944616025,-0.01805537095658348,0.017367866027986796,-0.02343464253543817,0.0012380556613508734
1938,Sweden,-0.11031296270086877,-0.018163580947891708,0.017642628789204754,-0.023480603534398466,0.0016561619495863715
1939,Sweden,-0.11029551958225427,-0.018344847656504484,0.01774170240185391,-0.02349368838289607,0.0014940962470987803
1940,Sweden,-0.11024655992325695,-0.018451423629534478,0.017946117978659127,-0.02348738000818006,0.0017012069108166133
1941,Sweden,-0.11111833865356022,-0.01809352090984709,0.017387766007402907,-0.023257809005994643,0.0006462138213673716
1942,Sweden,-0.11139246785638214,-0.01798768067363562,0.017334276728112087,-0.02314477994938708,0.0004013156935558444
1943,Sweden,-0.11141673246051764,-0.018021748642548,0.017404550754785763,-0.023107210091308714,0.0003127899149828194
1944,Sweden,-0.11115217424006132,-0.017975920495876766,0.0175754733278687,-0.02311586325241627,0.0006641427037947864
1945,Sweden,-0.11126993857821176,-0.01809446309937205,0.01765371984457213,-0.023071996833055636,0.0004230770911311082
1946,Sweden,-0.11146248617590905,-0.01833105681978416,0.017683149578369323,-0.02303756948386993,-0.00014332404662466036
1947,Sweden,-0.11007496740951271,-0.01881310929477059,0.018272000047278004,-0.02343244111356311,0.0009401825017922184
1948,Sweden,-0.1092308812431492,-0.019196924221041422,0.018584925508399602,-0.023711670366916595,0.0014235968537925645
1949,Sweden,-0.10865045547835857,-0.018985305076865085,0.018616646229537754,-0.023809146767697516,0.001975814223970896
1950,Sweden,-0.10826518279427129,-0.01783064821667085,0.017573551551888583,-0.023819275803020557,0.0018639874690694386
1951,Sweden,-0.1077340615366538,-0.01733974508865163,0.017226735424527607,-0.02390253093531134,0.002152002109080975
1952,Sweden,-0.10702188680863749,-0.01745528565103613,0.017197604333598775,-0.02414996419620233,0.0023826876154316987
1953,Sweden,-0.10671279374418005,-0.017545351874925626,0.017247221265189527,-0.02424251066941496,0.002454688645410037
1954,Sweden,-0.10654391617102754,-0.017713843153632097,0.017307024646762113,-0.024302629479392688,0.002333417464057099
1955,Sweden,-0.10613175478757884,-0.018130993457234377,0.017555223370788447,-0.024471832289810997,0.0023968186583198923
1956,Sweden,-0.10535329535897496,-0.018716296808059325,0.0178429259586346,-0.024792209954401057,0.00257097565263259
1957,Sweden,-0.10456438185806768,-0.019527710172562093,0.01821938150931745,-0.025162240994371338,0.0026205814452580373
1958,Sweden,-0.10509441216723256,-0.019655195117243104,0.018431224528927086,-0.024974052887459658,0.0023338630329100313
1959,Sweden,-0.10456188731690746,-0.020437506622276395,0.01891033249564981,-0.02523016398776518,0.0023994911997783546
1960,Sweden,-0.10442324755194167,-0.020886944786329166,0.019493027351808984,-0.02522868482175324,0.0026692416481418177
1961,Sweden,-0.1028641673392642,-0.020807236019203527,0.0189447926273777,-0.02580151678575347,0.002902690101317865
1962,Sweden,-0.1034030559642965,-0.022636478624923358,0.020877976956564858,-0.02566128493797387,0.0030984888439063085
1963,Sweden,-0.10333869562930484,-0.024449005600243885,0.02251017243225968,-0.025779457567479406,0.003279875507171239
1964,Sweden,-0.10272772488460608,-0.02559640316052758,0.023552517663766332,-0.02600642339662517,0.003689857380027124
1965,Sweden,-0.10208900429066538,-0.026897852889470567,0.0246165936270513,-0.026285490733407354,0.004021295614077461
1966,Sweden,-0.10172605295076988,-0.02762735930710891,0.025165505790796214,-0.026450926905283903,0.004099446038845538
1967,Sweden,-0.10019476846235802,-0.029081062829829942,0.025806709915659472,-0.027166605192356055,0.004295943709576515
1968,Sweden,-0.10076079934642788,-0.029302653726774,0.02650456141110844,-0.02685684702708977,0.004481671040303467
1969,Sweden,-0.09577926696624706,-0.03123628316855137,0.025630644982923,-0.02897575041413199,0.004866156591092905
1970,Sweden,-0.09422420421304455,-0.03253701027394393,0.026330471930983257,-0.029627919601103662,0.005274053104148831
1971,Sweden,-0.09333267044584614,-0.0330959920294209,0.026528051117828105,-0.03000205972741213,0.005459133637151769
1972,Sweden,-0.09438469609632628,-0.032643419608513226,0.026732746377784947,-0.02948112649102128,0.005396591432389703
1973,Sweden,-0.09417495110336628,-0.033176732765231975,0.027240256367152837,-0.02955382445954983,0.005507361470600395
1974,Sweden,-0.09354784107314792,-0.033283288195827807,0.027387211265878602,-0.029711196669549828,0.0058827338157338895
1975,Sweden,-0.09460308683299186,-0.0328003352524697,0.027389946929778156,-0.029256333338528073,0.0055901137385907925
1976,Sweden,-0.09454674289090356,-0.03283117449231318,0.027505135429044193,-0.029252357713306296,0.00570024977692517
1977,Sweden,-0.09361253119735932,-0.033915445264132926,0.02774792128348854,-0.029808422730195547,0.00551741386911393
1978,Sweden,-0.0938263808147889,-0.0339913754495489,0.02787168903568121,-0.02973030566174349,0.005389281454928689
1979,Sweden,-0.09464228843358918,-0.03364407023868827,0.02816333736396682,-0.02929331773404633,0.0054920380380564125
1980,Sweden,-0.09384253981420289,-0.034097898632199926,0.028375526787895636,-0.02960869055296856,0.005772041133933309
1981,Sweden,-0.09584266817159519,-0.03302062356944131,0.028434210298575298,-0.028657737005677805,0.005635736330580742
1982,Sweden,-0.09605267004845701,-0.03296794824317555,0.028462901081458217,-0.028566739050573064,0.005537893865763172
1983,Sweden,-0.09713858548244356,-0.03219746492480018,0.028559712818783476,-0.027972983609065343,0.005699907323369734
1984,Sweden,-0.09755121743046022,-0.031735989029565516,0.02872464929714624,-0.027650080942217412,0.006009576654980745
1985,Sweden,-0.09778041978618857,-0.03159073024997308,0.029042565398475523,-0.02744124907297874,0.006369805550213537
1986,Sweden,-0.09705502429811697,-0.03202406348422374,0.029255496886910037,-0.027722054309251225,0.006567696210449152
1987,Sweden,-0.09681196806814646,-0.032062248957169984,0.029347574712740854,-0.027748732053236014,0.006633288436711794
1988,Sweden,-0.09688728950331323,-0.03194101114147905,0.029469348639303027,-0.027625896743841454,0.006734200220568362
