year,country_index,population,gdp,temperature_change_from_co2,cement_co2_lag_1,cement_co2_lag_2,cement_co2_lag_3,coal_co2_lag_1,coal_co2_lag_2,coal_co2_lag_3,flaring_co2_lag_1,flaring_co2_lag_2,flaring_co2_lag_3,gas_co2_lag_1,gas_co2_lag_2,gas_co2_lag_3,land_use_change_co2_lag_1,land_use_change_co2_lag_2,land_use_change_co2_lag_3,oil_co2_lag_1,oil_co2_lag_2,oil_co2_lag_3,co2_including_luc
1955,Argentina,0.011962753059709678,0.009675930286415118,0.02314814814814815,0.0011793805663824772,0.0011544475869505082,0.0011992019912694344,0.0004986063937897381,0.00042600426332590303,0.0006861230061595791,0.0,0.0,0.0,0.0008811490942166301,0.0009109587421139888,0.0011894660575980536,0.08641141171529122,0.08522450763874899,0.08358301805545133,0.011721381076568893,0.011355087917926115,0.011081881657037598,0.026472091053599392
1956,Argentina,0.01220333225418589,0.009944767866287431,0.02314814814814815,0.0012913028028126057,0.0011897302149135435,0.001278940324456841,0.00043001787320393856,0.0005091804329155463,0.0004740596940716506,0.0,0.0,0.0,0.0008942679392918157,0.0009224029474169283,0.0009252263666267596,0.08740247039200527,0.08641141171529122,0.08522450763874899,0.012941349199982443,0.011721381076568893,0.011355087917926115,0.027210120014833195
1957,Argentina,0.01244542254769432,0.010463767609208861,0.02314814814814815,0.0014284075424395128,0.0013026346243952558,0.0013180277426859623,0.0005109308935824989,0.0004391373427347941,0.0005666185553419023,0.0,0.0,0.0,0.0009503874432245539,0.0009361359937804559,0.0009368498134436788,0.08826960781413803,0.08740247039200527,0.08641141171529122,0.014438686006541813,0.012941349199982443,0.011721381076568893,0.02771597552542491
1958,Argentina,0.012686766026363127,0.011112924081633899,0.02314814814814815,0.0016368627077906269,0.0014409425260103533,0.0014431074810191498,0.0004501121663443095,0.0005217663006824002,0.000488674251114322,0.0,0.0,0.0,0.0010626264510900302,0.0009948829143355455,0.0009507979496239817,0.08884344417643272,0.08826960781413803,0.08740247039200527,0.015748713811522493,0.014438686006541813,0.012941349199982443,0.02756387542039733
1959,Argentina,0.012926365481293401,0.01038430332949521,0.02777777777777778,0.0017082131335148338,0.0016512269886700425,0.0015963301604773042,0.0005065101490916174,0.00045965777931118636,0.0005806241725077956,0.0,0.0,0.0,0.0010786605950708127,0.0011123767554457248,0.0010104649766174997,0.08942444181725849,0.08884344417643272,0.08826960781413803,0.014269540302085904,0.015748713811522493,0.014438686006541813,0.028265596614624553
1960,Argentina,0.0131630897718801,0.011206224939558758,0.02777777777777778,0.0016368627077906269,0.0017232035497146342,0.0018292911731228657,0.0004996780894238913,0.000517251804635594,0.0005115094964934959,0.0,0.0,0.0,0.0010735588219860184,0.0011291615898900364,0.0011297990306045355,0.09016983750436293,0.08942444181725849,0.08884344417643272,0.016110844547907968,0.014269540302085904,0.015748713811522493,0.026525767671309125
1961,Argentina,0.013403955754900963,0.012017850932075694,0.02777777777777778,0.0018257314817664684,0.0016512269886700425,0.001909029506310273,0.0005232553933752598,0.0005102748561996205,0.0005756004185243774,0.0,0.0,0.0,0.0017222128284813043,0.0011238209607486646,0.0011468467526026837,0.0847067160649584,0.09016983750436293,0.08942444181725849,0.015586757745511019,0.016110844547907968,0.014269540302085904,0.02989238083471949
1962,Argentina,0.013651224255786656,0.011821499378207749,0.02777777777777778,0.0020090041439208037,0.001841753179670432,0.0018292911731228657,0.00047409135615848557,0.0005343521684492542,0.0005678364350954582,0.0,0.0,0.0,0.002937163647388767,0.0018028438087230782,0.0011414224774214548,0.09465342058469037,0.0847067160649584,0.09016983750436293,0.015938671627264926,0.015586757745511019,0.016110844547907968,0.030484786211526893
1963,Argentina,0.01390136646523651,0.011533519877222618,0.02777777777777778,0.0020229944234745694,0.002026634150196736,0.0020403632315601195,0.0002689956041724326,0.0004841455002923478,0.0005946297896736889,0.0,0.0,0.0,0.0037228367024471016,0.003074676491389761,0.0018310803218919874,0.09575065299962605,0.09465342058469037,0.0847067160649584,0.017057606410433,0.015938671627264926,0.015586757745511019,0.03029981285799336
1964,Argentina,0.014152102632687466,0.012735592682218437,0.02777777777777778,0.0017543810560422617,0.00204074720138195,0.002245181303080714,0.0003087823045903671,0.00027470024430263754,0.0005387595559793101,0.0,0.0,0.0,0.004248319330180923,0.003897133379161017,0.0031228327114789295,0.09628681480964854,0.09575065299962605,0.09465342058469037,0.01538015024073937,0.017057606410433,0.015938671627264926,0.031527113511915866
