year,country_index,population_lag_1,gdp_lag_1,temperature_change_from_co2_lag_1,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1,co2_including_luc
1940,Chile,5396359.0,4696.90455508983,1.853101322576945e-10,3.0946792087034984e-08,8.969010401272413e-07,0.0,0.0,7.652196601449236e-06,0.0,8.404141625079881e-06
1941,Chile,5492530.0,4765.547482125723,1.8206545981542205e-10,3.441037190511477e-08,9.232539467240051e-07,0.0,0.0,7.446477306450761e-06,0.0,8.273644700713403e-06
1942,Chile,5592215.0,4689.329885921768,1.7882002033183632e-10,3.182996361906686e-08,9.638399095885977e-07,0.0,0.0,7.277974827505739e-06,0.0,8.119378247075328e-06
1943,Chile,5695510.0,4755.487564063622,1.7557690180510613e-10,3.195499612852931e-08,9.874444957519169e-07,0.0,0.0,7.099978755194882e-06,0.0,7.966892965168712e-06
1944,Chile,5802513.0,4800.977022197107,1.7233912272148292e-10,3.1882737703474336e-08,1.0211093021247863e-06,0.0,0.0,6.913900925340452e-06,0.0,7.77007493496603e-06
1945,Chile,5911526.0,4801.440483557038,1.6916105925948732e-10,3.011066854818874e-08,1.0083690742458039e-06,0.0,0.0,6.731595192172038e-06,0.0,7.4826648415373655e-06
1946,Chile,6022587.0,5119.105149996173,1.660416030519775e-10,3.3872487022603405e-08,9.027681957936017e-07,0.0,0.0,6.546024158721161e-06,0.0,7.2472165111433266e-06
1947,Chile,6135735.0,5455.28920267906,1.629796593236181e-10,4.6775162225878394e-08,8.383673675606916e-07,0.0,0.0,6.362073981356757e-06,0.0,7.091655123196911e-06
1948,Chile,6251009.0,4780.397302259523,1.5997417376938668e-10,4.7672303783277226e-08,8.651403317448431e-07,0.0,0.0,6.1788424876687915e-06,0.0,6.974069663440763e-06
1949,Chile,6368448.0,5469.501602902308,1.5702412895575185e-10,4.161139417327424e-08,9.331943983840332e-07,0.0,0.0,5.999263870883456e-06,0.0,6.797754669365129e-06
1950,Chile,6492585.0,5249.525432474123,1.5402185724176117e-10,3.742731130974796e-08,8.628304442683462e-07,0.0,1.0781530006923282e-09,5.892876258069782e-06,3.3884808593187456e-09,6.836562922255856e-06
1951,Chile,6623650.0,5407.003222694436,1.5097416077238382e-10,3.8347436836185485e-08,7.169762895080506e-07,0.0,0.0,5.56068028956844e-06,5.205589063431794e-07,6.924468306899264e-06
1952,Chile,6748677.0,5559.28940976135,1.4817719087756014e-10,5.112113085275825e-08,8.447581651929703e-07,0.0,0.0,5.445363587559458e-06,5.830772461031992e-07,6.830631857055789e-06
1953,Chile,6882965.0,5792.979108276738,1.4528622475924258e-10,5.8550348577974755e-08,8.352505061408855e-07,1.699848829683138e-08,0.0,5.290016729708781e-06,6.298157843313165e-07,6.814927779760623e-06
1954,Chile,7024139.0,6084.082315569211,1.4236620317451007e-10,5.3814424799964806e-08,7.861461739296447e-07,1.4663718926974536e-08,0.0,5.333892168136195e-06,6.264112939678443e-07,6.9326663888040996e-06
1955,Chile,7171411.0,5750.598348916274,1.3944257273777782e-10,5.326706278583113e-08,7.654002817576625e-07,7.669341500577781e-09,1.282871669187556e-08,5.387642682869522e-06,7.061371883441069e-07,7.022614983235466e-06
1956,Chile,7323198.0,5838.852055618324,1.3655236414473567e-10,5.407473620131533e-08,7.45439355866112e-07,1.8571121523684052e-08,1.2562817501315682e-08,5.439017216248967e-06,7.529497358940725e-07,7.039635496574292e-06
1957,Chile,7480643.0,5787.788413375695,1.3367834823824637e-10,5.106512902701011e-08,7.397759791504554e-07,2.793877478179349e-08,1.2298408037918665e-08,5.458086958567599e-06,7.506039253577534e-07,7.027274098890347e-06
1958,Chile,7641939.0,6233.138558159127,1.3085684143775552e-10,4.7108462917591985e-08,6.659304660767379e-07,5.417473235523078e-08,1.2038829412273507e-08,5.4929776330326635e-06,7.551748319372871e-07,7.111823786532817e-06
1959,Chile,7806577.0,6434.9904753389355,1.2809711605995815e-10,4.611496178158494e-08,6.064117474278419e-07,1.004281389910072e-07,1.178493467751615e-08,5.516886594470278e-06,8.303255063006488e-07,7.155155839600198e-06
1960,Chile,7973551.0,5947.863034675516,1.254146364649828e-10,5.1921659496502875e-08,5.697586934604168e-07,1.3971190502199085e-07,1.1538146554778417e-08,5.562013712585522e-06,8.202117224809875e-07,7.126411200632389e-06
1961,Chile,8141826.0,6317.5328463172755,1.2282257075992537e-10,5.084854429460909e-08,5.539297941272633e-07,1.885326461164854e-07,1.1299676509913132e-08,5.471131414500875e-06,8.505463025124831e-07,6.145758142230403e-06
1962,Chile,8313539.0,6473.134116289104,1.2028571706946945e-10,5.244457264228868e-08,5.340685837884444e-07,2.7184572057700094e-07,1.2389428858155354e-08,4.407028101991221e-06,8.679817343732916e-07,5.979997464095504e-06
1963,Chile,8486124.0,6633.659363921621,1.1783942822423996e-10,5.9508911253241174e-08,5.623297514860731e-07,3.528112481033744e-07,1.2137461107096715e-08,4.0111362973249035e-06,9.820737948208157e-07,5.742601640687213e-06
1964,Chile,8656007.0,6904.910172092052,1.1552670879309594e-10,6.677443768240944e-08,5.316539138658276e-07,3.420745847363571e-07,1.1899251005688882e-08,3.739715090341309e-06,1.0505998897644145e-06,5.519179281145794e-06
1965,Chile,8825044.0,6909.732823088474,1.1331388262766735e-10,7.08211766422921e-08,4.99034339092247e-07,2.9065010893996675e-07,1.1671329910649737e-08,3.535506451865849e-06,1.111495874694789e-06,5.345115065778078e-06
1966,Chile,8994942.0,6819.356659776127,1.1117359066906713e-10,6.503655054140427e-08,4.847168553171327e-07,2.786010182166822e-07,1.2673789336273652e-08,3.372117352174144e-06,1.1319695001924415e-06,5.42260400692015e-06
1967,Chile,9161650.0,7436.719623211976,1.0915064426167776e-10,7.378583552089417e-08,4.7305889223011136e-07,2.423144302609246e-07,1.2443173445831264e-08,3.3735189621956743e-06,1.247482713266715e-06,5.353372784618074e-06
1968,Chile,9326270.0,7535.458228852478,1.0722400273635656e-10,6.540664166917749e-08,4.881908844586314e-07,2.643071667451189e-07,1.340300034204457e-08,3.2904901959733097e-06,1.2313604474243186e-06,5.345413191716126e-06
1969,Chile,9491502.0,7661.119845520761,1.0535740286416207e-10,6.437337315000302e-08,4.938101472243277e-07,3.096454070177723e-07,1.3485747566612745e-08,3.1115201787872984e-06,1.3524729805672484e-06,6.431551125886494e-06
1970,Chile,9656302.0,7799.384209814481,1.0355931287153199e-10,7.342355282591616e-08,4.898355498823463e-07,3.7447047534345965e-07,1.4808981740629071e-08,4.098256247578006e-06,1.3807563185161358e-06,6.431251904819753e-06
1971,Chile,9820483.0,7817.877581784928,1.0182798544633701e-10,1.0284626530080038e-07,4.851085226663495e-07,2.1302414555373703e-07,2.410268415514797e-07,3.9226176553637944e-06,1.4665266463981455e-06,6.65179209478969e-06
1972,Chile,9984377.0,8382.799769680172,1.0015647446004893e-10,6.65038990414725e-08,5.160061564181721e-07,3.468418710551495e-07,2.4958993435444197e-07,3.941958521798606e-06,1.530891712121848e-06,7.210399770859991e-06
1973,Chile,10145762.0,8160.383434975116,9.856332131583611e-11,6.4953228747136e-08,4.2944039097309797e-07,4.2185101523177856e-07,2.517307226406454e-07,4.436926472353678e-06,1.6054979409136545e-06,7.243896641879732e-06
1974,Chile,10307850.0,7595.4034348579,9.701344121227997e-11,6.237964269949601e-08,4.5324679734377196e-07,4.450006548407282e-07,2.196384309046018e-07,4.567489825715353e-06,1.4961412903757815e-06,6.368529062286231e-06
1975,Chile,10472748.0,7559.754495763672,9.54859221285569e-11,6.254327899420477e-08,4.285408185129634e-07,3.49096531302004e-07,2.1551172624415292e-07,3.897544369443435e-06,1.4152923377894704e-06,7.1560464960213485e-06
1976,Chile,10639534.0,6485.54090132143,9.398907884499453e-11,4.29530090321625e-08,3.353530333189405e-07,3.5603063066483923e-07,2.1213335095315266e-07,4.9992791037652585e-06,1.2102973682869945e-06,5.387752714607738e-06
1977,Chile,10804876.0,6631.121395192319,1.8510161523371486e-10,3.933409323716441e-08,3.3744024457106217e-07,4.262890198832453e-07,1.4789619057173818e-07,3.1638493583822713e-06,1.2728512571546403e-06,4.533054873510293e-06
1978,Chile,10969865.0,7187.07641197043,1.8231764930562044e-10,4.4394347605918575e-08,3.5105263373797214e-07,2.8158960935253075e-07,1.372851899271322e-07,2.434852206476561e-06,1.2838808864101791e-06,4.028011392602135e-06
1979,Chile,11137754.0,7666.712621593187,1.7956941767613112e-10,4.4802569710194714e-08,3.5168670451870276e-07,2.664810158313786e-07,8.188365446031579e-08,1.9771490733230415e-06,1.3060083747585014e-06,3.94123244080234e-06
1980,Chile,11304332.0,8188.977368322162,1.7692332461573138e-10,4.9715454217020526e-08,3.756966798215056e-07,2.725503815705342e-07,1.2543863715255354e-07,1.7535755319288217e-06,1.3642557561119047e-06,3.645827203117746e-06
1981,Chile,11469825.0,8728.094230557135,1.7437057670888614e-10,5.606014041190689e-08,4.462143057980397e-07,2.1499892108205662e-07,1.2484933292356248e-07,1.4574764654212247e-06,1.34631522276931e-06,3.2174977433090888e-06
1982,Chile,11637615.0,9139.181532985926,1.718565187110933e-10,6.358691192310452e-08,4.237981751415561e-07,1.0990224371574416e-07,1.4109420186180758e-07,1.1253164845202389e-06,1.3537137978872819e-06,2.6833147419023525e-06
1983,Chile,11807411.0,7798.550693966696,1.693851429411579e-10,3.7349424018525314e-08,2.7897733042408703e-07,7.978040232528537e-08,1.4363860121410189e-07,9.492343410422488e-07,1.194419335449575e-06,2.5789630526198807e-06
1984,Chile,11976519.0,7481.559477507613,1.66993431062899e-10,3.9911430024032856e-08,3.3741022746258743e-07,6.270603336411857e-08,1.5054457810320343e-07,8.527519557226936e-07,1.1356388279432448e-06,2.6630415276424535e-06
1985,Chile,12147764.0,7815.271948977606,1.6463935255903885e-10,4.272391198907058e-08,4.3012030856048895e-07,6.272759332499381e-08,1.4899861406593016e-07,8.51679370787908e-07,1.1268740485903414e-06,2.47850243319316e-06
1986,Chile,12326395.0,7855.795169958451,1.6225344068561814e-10,4.194251441723229e-08,4.102578247735855e-07,5.054194677357005e-08,1.4984105247316836e-07,7.510711769337263e-07,1.0747667911015345e-06,2.0981246647391442e-06
1987,Chile,12514509.0,8156.35898332088,1.5981450011342833e-10,4.05928830288108e-08,4.234285180505284e-07,3.252225077308267e-08,1.347236235956201e-07,3.384072039901845e-07,1.1285300925509742e-06,2.1622325743546692e-06
1988,Chile,12712786.0,8551.018365289874,1.5732192770333742e-10,4.334219108226946e-08,4.115541628719307e-07,2.8239286022749066e-08,1.299479122829567e-07,3.994403744387737e-07,1.1497086476559899e-06,2.665423994234578e-06
1989,Chile,12918395.0,9028.530578914795,1.5481799403099224e-10,4.899989511080905e-08,5.564932795444016e-07,2.1287474179261434e-08,1.7045461142812245e-07,6.063446736223811e-07,1.2618440603496021e-06,2.5829818431099982e-06
1990,Chile,13128625.0,9832.29440341239,1.5233887783374117e-10,5.0119490807300846e-08,7.529349036932657e-07,2.285083167506117e-08,2.4785535423549684e-07,1.44188747869636e-07,1.3650325148292377e-06,2.57987858089965e-06
1991,Chile,13342876.0,10039.454071521013,1.4989272177902275e-10,5.066373996130969e-08,8.024506860439984e-07,2.885434894246188e-08,1.9583484100429322e-07,1.1354373674760972e-07,1.3885312281999774e-06,2.2116295109861075e-06
1992,Chile,13561946.0,10595.430743051182,1.4747146169141214e-10,5.2721047554679834e-08,6.36191885736752e-07,1.7549103941278042e-08,1.6207113639886192e-07,-6.621468629944405e-08,1.40931102365398e-06,2.2539779282122723e-06
1993,Chile,13782300.0,11629.209206591062,1.4511366027440993e-10,6.319699904950552e-08,5.409837255030003e-07,1.75587528932036e-08,1.8951844031837938e-07,-6.784063617828665e-08,1.5105606466264702e-06,2.888904271613579e-06
1994,Chile,13998387.0,12171.783967967167,1.4287360393736793e-10,7.179398597852737e-08,5.449199254171213e-07,1.4144486789799426e-08,1.7487729121933834e-07,4.5305219808539366e-07,1.6301163841233994e-06,2.856865399826046e-06
1995,Chile,14210680.0,12592.131749923297,1.4073921867215363e-10,7.874359284706995e-08,6.588002826043511e-07,4.433285388172839e-08,1.8514244216321808e-07,1.8464985489786557e-07,1.7053371126504855e-06,3.169843735769639e-06
1996,Chile,14416799.0,13643.399417027316,1.387270502973649e-10,6.880861694749299e-08,7.152073078080648e-07,5.583763774468938e-08,1.814549817889533e-07,2.8688754001495063e-07,1.8615782879403398e-06,3.7361048952929317e-06
1997,Chile,14615489.0,14359.13651113555,1.368411279294179e-10,6.57521619700853e-08,9.862824295512794e-07,6.212587207995572e-08,1.835039525533494e-07,4.3645477753087836e-07,2.001917281043419e-06,4.7543808483985965e-06
1998,Chile,14809289.0,15009.459120961175,1.350503727761677e-10,6.387882632312732e-08,1.2563736179366883e-06,5.4627875787959845e-08,3.058215691516318e-07,9.768868714764093e-07,2.0967920877227797e-06,4.459367682787165e-06
1999,Chile,14996745.0,15201.801702969544,1.3336227294656274e-10,7.541636535128123e-08,1.1849237951302098e-06,4.707688235013665e-08,4.2949320002440527e-07,6.41272489463547e-07,2.0811182693311115e-06,4.836187300587003e-06
2000,Chile,15176418.0,14810.60606949545,1.3178340238124702e-10,6.266300783228295e-08,1.2201825226479661e-06,4.9550559295348874e-08,5.951338451537115e-07,7.899097138731945e-07,2.118747651784499e-06,5.1779585759405585e-06
2001,Chile,15351803.0,15199.55137517072,1.3027785726536485e-10,6.579031791900925e-08,9.277086215866632e-07,4.5857805757408424e-08,7.763908903729419e-07,1.3672009730713715e-06,1.9950099672331647e-06,4.9563987260220046e-06
2002,Chile,15523973.0,15436.950594026413,1.288329991297975e-10,6.525391405924243e-08,5.966900354696571e-07,4.232164021413848e-08,8.707178246187364e-07,1.5475419855471278e-06,1.8338089096135377e-06,4.6439364136074645e-06
2003,Chile,15693798.0,15502.226909254216,1.2743887744700168e-10,6.87532743826574e-08,5.976883352264379e-07,3.491825242047846e-08,8.605947393996023e-07,1.1498172717655728e-06,1.932164540412716e-06,5.317636281572855e-06
1951,China,543979200.0,803.1652334942219,1.654475024045037e-11,1.0790853767938185e-09,1.426800877680617e-07,0.0,2.757458373408395e-11,7.367708177077359e-07,1.137911155426531e-09,9.677410334929092e-07
1952,China,553614016.0,956.633988573006,1.8063126494254076e-11,1.8713399048047223e-09,1.8087150452491435e-07,0.0,1.2644188545977854e-11,7.832876109841843e-07,1.6943212651610322e-09,1.024271873393499e-06
1953,China,564954496.0,1054.330531682325,1.7700540611327395e-11,2.1293750355426857e-09,2.2204266164473537e-07,0.0,2.6550810916991092e-11,7.977067236225695e-07,2.3665622797344725e-09,1.0498811483668755e-06
1954,China,577378688.0,1165.0382464549853,1.7319655553341103e-11,2.797124371864588e-09,2.255659980300485e-07,0.0,3.8103242217350424e-11,8.181736004776123e-07,3.3063222451328164e-09,1.1116646551490332e-06
1955,China,589936000.0,1058.5558827262619,1.6950991293970872e-11,3.246114832795422e-09,2.637438637411516e-07,0.0,4.915787475251553e-11,8.38962192509018e-07,5.663326191315669e-09,1.1854883780704893e-06
1956,China,603320128.0,1128.8947277025043,1.823244325771939e-11,3.104487838337129e-09,3.03646425003742e-07,0.0,5.4697329773158176e-11,8.697008033519478e-07,8.981964546689216e-09,1.2584007508446507e-06
1957,China,616283008.0,1198.9977483591435,1.784894254296883e-11,4.316198833117917e-09,3.326767042715544e-07,0.0,7.78862947329549e-11,9.081980076270414e-07,1.3133576449344519e-08,1.3409697878775843e-06
1958,China,630003008.0,1209.0459419266772,1.746023409462832e-11,4.531724394560351e-09,3.8699815223739377e-07,0.0,2.0952280913553988e-10,9.349637898871746e-07,1.4266598549319942e-08,1.8230714527922233e-06
1959,China,643791552.0,1190.206179928251,1.863957357427393e-11,6.012815775501198e-09,7.893471084255545e-07,0.0,3.3085243094336223e-10,1.0081850219743176e-06,1.9197207483704292e-08,2.3912553482233106e-06
1960,China,652179200.0,1140.679706779977,1.8399850838542536e-11,7.830669852703061e-09,1.066329622287862e-06,0.0,8.540597430890161e-10,1.28703123313347e-06,2.9208229885283062e-08,2.0306901919763177e-06
1961,China,654170688.0,1077.8425104855814,1.9872489303586772e-11,9.957645794120326e-09,1.1440072350046964e-06,0.0,3.046605475542188e-09,8.096021569220785e-07,3.514679031292824e-08,1.6504355813672058e-06
1962,China,655260352.0,880.7620205533204,1.9839442383964045e-11,3.94499681250362e-09,7.973548199662781e-07,0.0,4.30058066446236e-09,7.795908884778672e-07,3.4087214237555454e-08,1.409246683840809e-06
1963,China,664614656.0,927.6096744757913,1.9560206628967265e-11,3.757064304040867e-09,6.197952396644109e-07,0.0,3.4952584614685355e-09,7.176910645798338e-07,3.2746795159449505e-08,1.3473054750269817e-06
1964,China,683903552.0,1031.6284504397486,2.047072274892937e-11,4.905662487332717e-09,5.938395828071383e-07,0.0,2.8615146014039126e-09,6.794042795086989e-07,3.402526559768474e-08,1.3264905405240924e-06
1965,China,704593792.0,1141.7997191096456,1.986960452810802e-11,7.14170357038854e-09,5.699368977693178e-07,0.0,2.8810926565756624e-09,6.727280390230858e-07,3.935459028285052e-08,1.3116706582320808e-06
1966,China,723846336.0,1238.006974121093,1.9341121594072698e-11,9.395640568663457e-09,5.981835901701657e-07,0.0,2.914983325963813e-09,6.205212041026342e-07,4.835142247649645e-08,1.3257351507778175e-06
1967,China,742948544.0,1248.187897028842,2.018982353641977e-11,1.1288803333330175e-08,6.322981635724155e-07,0.0,3.456497789435065e-09,5.861684547564037e-07,5.995973793845943e-08,1.166250571979517e-06
1968,China,761006272.0,1226.505518293547,1.971074424995015e-11,7.995991917396444e-09,5.040681189024419e-07,0.0,3.678024877040698e-09,5.614907731010133e-07,5.584579465857543e-08,1.2074382969122745e-06
1969,China,780371968.0,1169.1511622108908,1.9221602793400185e-11,6.731405298248745e-09,5.28875993659475e-07,0.0,3.4419483402048597e-09,5.724757145556515e-07,6.234334650011417e-08,1.3198641326286843e-06
1970,China,801430976.0,1255.4738710174338,1.996428947612826e-11,9.499258486360279e-09,6.253526691735958e-07,0.0,4.690360258797883e-09,5.616166750210563e-07,8.341329696744838e-08,1.5390212269573665e-06
1971,China,822534464.0,1390.8285445313572,1.945207246659515e-11,1.3030457043560426e-08,8.095296053151154e-07,0.0,6.69029717397957e-09,5.567499236117115e-07,1.1506508741255612e-07,1.6068604243896348e-06
1972,China,843285440.0,1442.2612685545714,2.0159247620829313e-11,1.556293916328023e-08,8.732796335248003e-07,9.379979334162346e-10,8.50720249598997e-09,5.286845697229161e-07,1.424084827078243e-07,1.6733743885589852e-06
1973,China,862840384.0,1429.6560689120458,1.9702369424563236e-11,1.7056457107135127e-08,8.932382098610721e-07,1.1844600912884486e-09,1.0756334742904199e-08,5.507496042280747e-07,1.6031702104476372e-07,1.8425079545208725e-06
1974,China,881652096.0,1513.4940701144774,2.0416216421040527e-11,1.753072450020013e-08,8.889458818912624e-07,1.4336720864552904e-09,1.3007398328694043e-08,6.988675043086383e-07,1.8013794865406864e-07,1.6446766243590164e-06
1975,China,899367680.0,1520.6591864008278,2.0014061434807175e-11,1.7056427911663448e-08,8.629407274230713e-07,1.8168320213597178e-09,1.6055724839923088e-08,5.015401487409466e-07,2.0300151324094724e-07,1.8782905243319677e-06
1976,China,915124672.0,1596.212682959989,2.0762198399126976e-11,2.0873658622111765e-08,9.907262122204044e-07,2.0816835763335207e-09,1.8546106906841216e-08,5.853355464991769e-07,2.2312916070084929e-07,1.917242453757701e-06
1977,China,929375936.0,1521.1395352504587,2.1519816927990698e-11,2.0716051765730246e-08,9.795713066536725e-07,2.049762562391114e-09,2.0839790713066192e-08,5.976246839255369e-07,2.5714567242679287e-07,2.0162716741831607e-06
1978,China,942581312.0,1584.4673219746585,2.121832858914139e-11,2.4301351733143633e-08,1.0594406947036946e-06,2.3127978162164117e-09,2.4652515071293923e-08,5.937620371578086e-07,2.7316900592232406e-07,2.1579551466807325e-06
1979,China,955138944.0,1745.873450135439,2.1986329980489208e-11,2.806921460842455e-08,1.1699313560813199e-06,2.8655516741237597e-09,2.7520603327006633e-08,5.950652557624119e-07,2.952366268503863e-07,2.1294818225062526e-06
1980,China,968298944.0,1860.3555337059213,2.2720256111319275e-11,3.131264387705457e-08,1.1851164427170954e-06,3.1632792940441338e-09,2.8686388818368887e-08,5.538713052649988e-07,2.87542397650286e-07,2.186912850001661e-06
1981,China,982372480.0,1927.765289581402,2.34127079781388e-11,3.32989784078642e-08,1.1428088865030096e-06,3.0660468013110465e-09,2.7809207358903213e-08,6.655998751105079e-07,2.781042889149338e-07,2.7781243943402014e-06
1982,China,997259520.0,1955.3137586653472,2.406595226085182e-11,3.39961658124858e-08,1.1280965259674834e-06,2.6963894012262728e-09,2.4455018489068925e-08,1.2975789892685105e-06,2.5707851853848436e-07,3.203554829522581e-06
1983,China,1013483200.0,2100.2795189974536,2.46674044522889e-11,3.8352880442418776e-08,1.232241442186708e-06,2.4904211535030873e-09,2.259534247829663e-08,1.6183435502433587e-06,2.54380141673784e-07,3.594107452770763e-06
1984,China,1029226880.0,2214.14966977932,2.526167991259614e-11,4.2872957223969897e-08,1.2843067215656086e-06,2.595151809482473e-09,2.277340444120542e-08,1.9480010082908056e-06,2.562807143163614e-07,3.8975179634734275e-06
1985,China,1044172224.0,2426.803009783949,2.5857803319617894e-11,4.794802892592554e-08,1.3926802174733965e-06,3.0770785950345293e-09,2.3201153452631967e-08,2.130732793750315e-06,2.599676507005036e-07,3.429312231192937e-06
1986,China,1060240000.0,2596.274185889987,2.64091149173772e-11,5.593167584697804e-08,1.494483324530295e-06,0.0,2.3409794008903646e-08,1.5447549611408737e-06,2.6842413038557307e-07,3.281874028958388e-06
1987,China,1077770496.0,2720.0030631530667,2.7835239609305468e-11,6.25012470187345e-08,1.5377958537102134e-06,0.0,2.4450474472813923e-08,1.3294982608245383e-06,2.811990132637663e-07,3.3225809239650815e-06
1988,China,1096851840.0,2896.750750336527,2.8262705015838785e-11,6.876863150450657e-08,1.6139545337317391e-06,0.0,2.425213600407508e-08,1.2642008240602487e-06,2.931325711228237e-07,3.4686122480453697e-06
1989,China,1115889792.0,3006.0883518934456,2.8676667023404406e-11,7.613744709298317e-08,1.6961334475582335e-06,0.0,2.447463915863118e-08,1.2946583169388827e-06,3.0749452361689855e-07,3.4483676304905494e-06
1990,China,1134414720.0,2980.003878313568,2.997140234569594e-11,7.482801351519839e-08,1.692713402026377e-06,0.0,2.540605255897949e-08,1.2766274753557498e-06,3.1244393584737683e-07,3.3396151515413754e-06
1991,China,1153704192.0,2934.133252208899,3.033706581175359e-11,7.325361265567804e-08,1.7133369313440095e-06,0.0,2.5397324724291196e-08,1.185810027809971e-06,2.86287422972283e-07,3.091686376232202e-06
1992,China,1170626176.0,2997.4965386866593,3.075277209588042e-11,8.653915492147683e-08,1.7511311826329774e-06,0.0,2.6291911654639097e-08,8.654453665659361e-07,3.0413381086055605e-07,3.1979094650810905e-06
1993,China,1183813376.0,3171.9842855230586,3.209965419414217e-11,1.0343268836320362e-07,1.786358426820141e-06,0.0,2.5543722188859605e-08,8.911379288216456e-07,3.258900497505445e-07,3.352315234684653e-06
1994,China,1195855616.0,3450.390926230345,3.26126327277289e-11,1.1939066730945552e-07,1.863724157147747e-06,0.0,2.987651646400764e-08,9.091682854128101e-07,3.58361824175269e-07,3.5642694952473657e-06
1995,China,1207286656.0,3676.635750043443,3.3960451559898633e-11,1.3615407673320628e-07,1.9718481838334837e-06,3.095370914130273e-09,3.443092805955771e-08,9.934310083188727e-07,3.5096221588653094e-07,3.6562742959704847e-06
1996,China,1218144384.0,3948.6288350659097,3.4478671454434096e-11,1.5157234431743685e-07,2.109564378207567e-06,3.0603925519554835e-09,3.483659290096107e-08,8.966367323497835e-07,3.8437972226451606e-07,3.787794710030184e-06
1997,China,1228298880.0,4174.5455251803205,3.58219002853768e-11,1.570082030849039e-07,2.1659231668435617e-06,4.546124799853273e-09,3.6204543311152414e-08,9.311463346771106e-07,4.157147810799925e-07,3.7646554034797593e-06
1998,China,1237801472.0,4274.7884335623085,3.716266383628925e-11,1.6389865789398576e-07,2.1082185302167744e-06,4.382770680692808e-09,3.5675349398841235e-08,9.244624650115135e-07,4.5076776253825623e-07,3.5536691744926832e-06
1999,China,1246836096.0,4281.800219219833,3.849744176799963e-11,1.6952428685542321e-07,1.9607797751790466e-06,3.3139881121953015e-09,4.050331889011978e-08,8.551685369237178e-07,4.4854492245947935e-07,3.553997092904701e-06
2000,China,1255433216.0,4443.488424636361,3.9030351734775196e-11,1.818671014038233e-07,2.0558576649926716e-06,3.5310520253113966e-09,4.346866030347249e-08,7.204931241838354e-07,4.7533472302201697e-07,3.4181759133511963e-06
2001,China,1264099072.0,4709.031690680649,4.034493903971476e-11,1.9332978356936886e-07,2.0581749149484384e-06,3.747332867277036e-09,4.730325440821145e-08,5.313760723969584e-07,5.131607279591453e-07,3.3855338941041376e-06
2002,China,1272739584.0,4973.317002300449,4.164245432944749e-11,2.1279137021010574e-07,2.072423167440355e-06,3.758035076561271e-09,5.276570387552274e-08,4.560163031748685e-07,5.180164177246175e-07,3.58832025654439e-06
2003,China,1280926080.0,5319.97410273667,4.293768458520261e-11,2.2069033054585006e-07,2.3566028103667e-06,3.5021536918039796e-09,4.215153461470626e-08,3.8513541702578185e-07,5.098545577274842e-07,4.160300176089296e-06
2004,China,1288873344.0,5623.999805349376,4.422467131107027e-11,2.7440943025663195e-07,2.794465427318202e-06,4.019013989321824e-09,4.7130309803350236e-08,4.0421427165460874e-07,5.64135338343998e-07,4.4923038811293345e-06
2005,China,1296816768.0,6038.596551447428,4.549601875598203e-11,2.840771411123518e-07,2.957463301399878e-06,4.003649650526419e-09,5.515119927875578e-08,4.691055937981209e-07,6.470405231527666e-07,4.803929649257624e-06
2006,China,1304887552.0,6592.85893459117,4.7513672657059726e-11,3.1546702960654804e-07,3.3906293252769113e-06,4.282361335607254e-09,6.510675948267457e-08,2.961519553218943e-07,6.515297036108136e-07,5.253993942236522e-06
2007,China,1313086592.0,7226.89855474817,4.950168587206167e-11,3.5800152317753617e-07,3.7357581974304403e-06,4.214497378707527e-09,7.901459098898483e-08,3.081373326520114e-07,6.842915048210316e-07,5.556504400482666e-06
1922,Colombia,6429040.0,1753.85532147879,3.1108843622064884e-10,0.0,0.0,0.0,0.0,3.272137053121461e-05,4.510782325199408e-09,3.377701389041776e-05
1923,Colombia,6586195.0,1837.736237083779,3.036654699716604e-10,0.0,0.0,0.0,0.0,3.375530180931478e-05,2.1712081102973718e-08,3.1884168371244066e-05
1924,Colombia,6747518.0,1918.9827180898221,2.9640528561761523e-10,0.0,0.0,0.0,0.0,3.1856454477038815e-05,2.7713894205247027e-08,3.187438131013036e-05
1925,Colombia,6912793.0,1991.0909735037633,2.8931865889807493e-10,0.0,0.0,0.0,0.0,3.18458834222289e-05,2.864254723090942e-08,3.1415752015358124e-05
1926,Colombia,7082116.0,1994.036864688463,2.8240147436161735e-10,0.0,0.0,0.0,0.0,3.135305888804984e-05,6.255192657109824e-08,3.090887489997362e-05
1927,Colombia,7255586.0,2132.2947147204927,2.7564968563531604e-10,0.0,0.0,0.0,0.0,3.079213725810706e-05,1.1659981702373868e-07,3.0322178358078946e-05
1928,Colombia,7433305.0,2269.2961518463185,2.690593215265619e-10,0.0,0.0,0.0,0.0,3.0211325917609997e-05,1.1085244046894349e-07,3.0109211927393748e-05
1929,Colombia,7615377.0,2377.6893556287496,2.626265252527879e-10,0.0,3.4666701333368004e-08,0.0,0.0,2.993207033611074e-05,1.4247488994963741e-07,2.8844848588368028e-05
1930,Colombia,7786555.0,2409.612462507489,3.8527949780101725e-10,0.0,3.390459580648952e-08,0.0,0.0,2.867917840431359e-05,1.317655882479479e-07,2.510299391808282e-05
