year,country_index,population_lag_1,gdp_lag_1,temperature_change_from_co2_lag_1,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1,co2_including_luc
1945,Argentina,15181952.0,7274.02311797587,3.293384144542151e-10,3.517334266371018e-08,1.0861580908700015e-07,0.0,7.456221703243429e-08,1.1704028572873895e-06,7.006345429098973e-07,1.611861459916231e-06
1946,Argentina,15474655.0,6905.017901336088,3.2310898045869196e-10,3.476652629735526e-08,1.3215157300760502e-07,0.0,6.727128973149966e-08,7.287399945265338e-07,6.489966981493287e-07,1.2258922699618163e-06
1947,Argentina,15773001.0,7379.898261339107,3.169973805238458e-10,3.569390504698503e-08,1.92797806834603e-07,0.0,6.130729339331177e-08,3.5719264837426946e-07,5.789006163126472e-07,9.465638637022677e-07
1948,Argentina,16077098.0,8043.833574442353,3.110014008747101e-10,4.186078855773598e-08,2.0239971168926133e-07,0.0,6.20136793344172e-08,4.372679696298424e-08,5.965628871578689e-07,8.3706295315102e-07
1949,Argentina,16387059.0,8331.098529394445,3.051188135711234e-10,3.771268535739085e-08,3.5485318018321653e-07,0.0,4.674420223909611e-08,-2.242623279747757e-07,6.220152133460921e-07,4.49684469401367e-07
1950,Argentina,16700599.0,8062.535234335008,2.993904589889261e-10,4.2872713727214215e-08,2.154413742884312e-07,0.0,6.8021512282284e-08,-4.703424110716029e-07,5.936912801750404e-07,2.475650714771426e-06
1951,Argentina,17017748.0,8010.931879353249,2.9381090847038047e-10,4.57169773579912e-08,2.0925212901260495e-07,0.0,0.0,7.174274763029749e-07,1.5032541320978547e-06,3.313931384472164e-06
1952,Argentina,17354614.0,8161.819915787237,2.88107819626527e-10,4.436860422248516e-08,3.151899546714205e-07,0.0,8.170737764608305e-08,1.2993086449517114e-06,1.5732991814165385e-06,3.740846540177562e-06
1953,Argentina,17693856.0,7596.808437912007,2.8258396586928256e-10,4.334838036434794e-08,2.5472118683457125e-07,0.0,8.675327752186974e-08,1.7008163737740378e-06,1.6551508048895617e-06,3.909609339630322e-06
1954,Argentina,18032748.0,7854.332970659824,2.77273325174843e-10,4.5361915998604314e-08,1.7268582691889222e-07,0.0,6.621287005175251e-08,1.9612096836266994e-06,1.6640835883693378e-06,4.133429958591663e-06
1955,Argentina,18369248.0,8029.314579671416,2.721940495332199e-10,4.589191675130087e-08,2.0262125047252888e-07,0.0,6.581652117713257e-08,2.1328036945224976e-06,1.6862965756682038e-06,4.380641905932425e-06
1956,Argentina,18700684.0,8449.39373896698,2.6736989941116595e-10,4.935648343130123e-08,1.7165147542196853e-07,0.0,6.561257331550013e-08,2.26521126179128e-06,1.828810111972375e-06,4.699756189835638e-06
1957,Argentina,19031200.0,8530.372404052294,2.6272647021732736e-10,5.364874521837824e-08,2.004077514817773e-07,0.0,6.851906343267897e-08,2.372209844886292e-06,2.0049707848165116e-06,4.885251814314056e-06
1958,Argentina,19363792.0,8815.92455031535,2.5821388703204416e-10,6.042204956549832e-08,1.7351973208553364e-07,0.0,7.529516945854407e-08,2.426642467549744e-06,2.149320752877329e-06,4.724311180329903e-06
1959,Argentina,19695358.0,9198.838602273692,2.538669264097662e-10,6.199430342926491e-08,1.919741697510652e-07,0.0,7.51446102172908e-08,2.4805337379498256e-06,1.9146643589824567e-06,5.003763384585144e-06
