year,country_index,country_t-3,population_t-3,gdp_t-3,temperature_change_from_co2_t-3,cement_co2_t-3,coal_co2_t-3,flaring_co2_t-3,gas_co2_t-3,land_use_change_co2_t-3,oil_co2_t-3,country_t-2,population_t-2,gdp_t-2,temperature_change_from_co2_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,country_t-1,population_t-1,gdp_t-1,temperature_change_from_co2_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2_t+1,co2_t+2
1952-1953,United Kingdom,40,0.036886321199900075,0.3068800475614523,0.4817833434363225,0.1498010909068244,0.6046265871718477,0.0,0.0,0.07653214196113252,0.021707875938520912,40,0.03677023092427519,0.29034965445164485,0.47982478683943325,0.15342567412819152,0.5903085064653469,0.0,0.0,0.0754989825873322,0.0520468406228221,40,0.036663541372434355,0.29492574593126025,0.4777551377865613,0.15256261285034908,0.6293656579381689,0.0,4.4012288795595915e-05,0.07529352923736117,0.06673880308599262,0.16658407840990436,0.168855976817051
1953-1954,United Kingdom,40,0.037043486122616535,0.3036401894934899,0.47982478683943325,0.1578600813847422,0.5903085064653469,0.0,0.0,0.0754989825873322,0.0520468406228221,40,0.036936680825588375,0.2980241843716348,0.4777551377865613,0.16012300645348954,0.6293656579381689,0.0,4.4012288795595915e-05,0.07529352923736117,0.06673880308599262,40,0.03682595489833508,0.2931064580463997,0.5037250807232876,0.16546917997626742,0.605684230873842,0.0,5.259201678005564e-05,0.07554260843731307,0.06559540421184332,0.168855976817051,0.1711435947236493
1954-1955,United Kingdom,40,0.03721096599504859,0.3116660151951951,0.4777551377865613,0.16475098430525895,0.6293656579381689,0.0,4.4012288795595915e-05,0.07529352923736117,0.06673880308599262,40,0.037100109389456584,0.2961857833656096,0.5037250807232876,0.17366917148425637,0.605684230873842,0.0,5.259201678005564e-05,0.07554260843731307,0.06559540421184332,40,0.03701194349846848,0.3035581216046625,0.5013041159014379,0.16585162909416745,0.6139010353654154,0.0,6.397019819112738e-05,0.07566522604475973,0.06869301362935115,0.1711435947236493,0.1766841320585669
1955-1956,United Kingdom,40,0.03737540583437839,0.30974346277856224,0.5037250807232876,0.17868866928763882,0.605684230873842,0.0,5.259201678005564e-05,0.07554260843731307,0.06559540421184332,40,0.037287260365011676,0.3067472502780439,0.5013041159014379,0.17407057325255007,0.6139010353654154,0.0,6.397019819112738e-05,0.07566522604475973,0.06869301362935115,40,0.03719603107980213,0.31486070381832487,0.4989307029932311,0.17602590358277964,0.6180697341033663,0.0,9.550099911923733e-05,0.07551859715012622,0.07673960256501731,0.1766841320585669,0.1755064713045147
1956-1957,United Kingdom,40,0.03756371487670414,0.3207883728222036,0.5013041159014379,0.17910167262733984,0.6139010353654154,0.0,6.397019819112738e-05,0.07566522604475973,0.06869301362935115,40,0.037472498440944586,0.3181685754488385,0.4989307029932311,0.18474904413845228,0.6180697341033663,0.0,9.550099911923733e-05,0.07551859715012622,0.07673960256501731,40,0.037366402642668786,0.3252391541025593,0.4967540656514395,0.18342714684416006,0.6356849239893563,0.0,7.491495505274253e-05,0.07593423591571359,0.08573685230073112,0.1755064713045147,0.174242368993282
1957-1958,United Kingdom,40,0.037750099182624695,0.332732500483304,0.4989307029932311,0.19008877952904826,0.6180697341033663,0.0,9.550099911923733e-05,0.07551859715012622,0.07673960256501731,40,0.03764393477722794,0.32865605992135877,0.4967540656514395,0.19251706344779876,0.6356849239893563,0.0,7.491495505274253e-05,0.07593423591571359,0.08573685230073112,40,0.03754059455150222,0.3279446774050264,0.5220230664603513,0.18621432824215675,0.6264718551057881,0.0,0.00010613633007107394,0.07598448841992113,0.08811457424146475,0.174242368993282,0.17000454606843327
1958-1959,United Kingdom,40,0.03792259634546128,0.34370004159700085,0.4967540656514395,0.19808131511567445,0.6356849239893563,0.0,7.491495505274253e-05,0.07593423591571359,0.08573685230073112,40,0.037819215335544935,0.33139000697969434,0.5220230664603513,0.19544236642105237,0.6264718551057881,0.0,0.00010613633007107394,0.07598448841992113,0.08811457424146475,40,0.03773953632146707,0.33161777885616756,0.5193889523147311,0.17359929774080265,0.6078149912046369,0.0,0.00017695264002360903,0.07624456596278448,0.098566386928167,0.17000454606843327,0.16783451378517647
1959-1960,United Kingdom,40,0.03809896151789545,0.346559133006722,0.5220230664603513,0.20109116707204916,0.6264718551057881,0.0,0.00010613633007107394,0.07598448841992113,0.08811457424146475,40,0.03801940043452881,0.3351016973939512,0.5193889523147311,0.1822021854052704,0.6078149912046369,0.0,0.00017695264002360903,0.07624456596278448,0.098566386928167,40,0.037951925587179206,0.32907731748701513,0.5166059670857132,0.16838616651624244,0.5748503118714687,0.0,0.00033213751282163567,0.0760995146031729,0.10927890460815,0.16783451378517647,0.17443624925844017
1960-1961,United Kingdom,40,0.038300385337171464,0.35044072323232295,0.5193889523147311,0.18746830985094465,0.6078149912046369,0.0,0.00017695264002360903,0.07624456596278448,0.098566386928167,40,0.038233117072252534,0.3325345463808085,0.5166059670857132,0.17673071222375145,0.5748503118714687,0.0,0.00033213751282163567,0.0760995146031729,0.10927890460815,40,0.038166154843800246,0.34095201657375096,0.5138289218339105,0.18068963821479087,0.5302563842221379,0.0,0.000383999008754371,0.07686002887009549,0.13616377555049042,0.17443624925844017,0.17469100676800275
1961-1962,United Kingdom,40,0.038515424426652387,0.3477560628301564,0.5166059670857132,0.1818386966415717,0.5748503118714687,0.0,0.00033213751282163567,0.0760995146031729,0.10927890460815,40,0.03844868520030077,0.3445339989847459,0.5138289218339105,0.1896438948271424,0.5302563842221379,0.0,0.000383999008754371,0.07686002887009549,0.13616377555049042,40,0.038396059114184346,0.35912812206158506,0.5377702153826042,0.18968766890111605,0.555080986172091,0.0,0.0004210990469832167,0.0755833983389114,0.15257616224776493,0.17469100676800275,0.17455691730815484
1962-1963,United Kingdom,40,0.0387323264632478,0.3603047812688226,0.5138289218339105,0.19512510433240007,0.5302563842221379,0.0,0.000383999008754371,0.07686002887009549,0.13616377555049042,40,0.03868002630645352,0.3629010594662242,0.5377702153826042,0.1990878319670263,0.555080986172091,0.0,0.0004210990469832167,0.0755833983389114,0.15257616224776493,40,0.03863882196116908,0.3690772675517837,0.5345327650431412,0.2007518901602932,0.5453728912747643,0.0,0.0004185639730545995,0.07559449852630772,0.16261639262185995,0.17455691730815484,0.17587788111803646
1963-1964,United Kingdom,40,0.03896509907915853,0.37951258000227434,0.5377702153826042,0.2048419962018068,0.555080986172091,0.0,0.0004210990469832167,0.0755833983389114,0.15257616224776493,40,0.03892430635162368,0.37295472894342974,0.5345327650431412,0.2107003518300932,0.5453728912747643,0.0,0.0004185639730545995,0.07559449852630772,0.16261639262185995,40,0.03888474910429403,0.3705974355511306,0.5312926204092804,0.1977938125225696,0.5352508398666342,0.0,0.0005990785766904588,0.07530518417012054,0.17316496373699805,0.17587788111803646,0.1755227446196236
